N	3gram	Ircho_Kome_1	FransuaR
1	то же время	4	8
2	в то же	4	8
3	в большинстве случаев	1	5
4	как мы уже	1	5
5	в конце концов	4	4
6	более или менее	1	3
7	в том числе	1	3
8	но и в	2	3
9	для того чтобы	1	3
10	с другой стороны	5	3
11	с самого начала	1	3
12	в этой же	1	3
13	таким образом в	2	3
14	подобно тому как	1	3
15	с одной стороны	3	2
16	и тот же	1	2
17	до наших дней	1	2
18	не только в	1	2
19	в то время	5	2
20	о том что	3	2
21	и по своей	1	2
22	как мы видели	1	2
23	и в конце	1	1
24	между людьми и	1	1
25	да и в	1	1
26	другой стороны в	1	1
27	в год и	1	1
28	из самых замечательных	1	1
29	достаточно сказать что	1	1
30	и все остальные	1	1
31	и к тому	1	1
32	то же самое	2	1
33	в хронологическом порядке	2	1
34	до сих пор	2	1
35	до конца в	1	1
36	в той же	1	1
37	в чем не	1	1
38	и в дальнейшем	1	1
39	в этом отношении	3	1
40	и в тех	1	1
41	он не мог	1	1
42	со всех сторон	1	1
43	в это время	1	1
44	то время как	4	1
45	за собой и	1	1
46	в самом начале	1	1
47	в данном случае	1	1
48	ни в одном	1	1
49	с тех пор	1	1
50	именно в этой	1	1
51	на этот раз	1	1
52	смысле этого слова	1	1
53	ни в чем	1	1
54	же как мы	1	1
55	в отличие от	1	1
56	и на его	1	1
57	заимствует у других	1	1
58	мы можем судить	2	1
59	мы уже знаем	1	1
60	и вот в	1	1
61	и независимо от	1	1
62	к этому времени	1	1
63	повлек за собой	1	1
64	когда же дело	1	1
65	как было сказано	1	1
66	и его современников	1	1
67	в соответствии с	1	1
68	в том что	9	1
69	соответствии с этим	1	1
70	в разговоре с	1	1
71	к тому же	5	1
72	брань по адресу	1	1
73	в том же	1	1
