N	3gram	Tiupa_Anal_3	OGranits
1	с точки зрения	2	5
2	не может быть	1	4
3	до тех пор	1	4
4	по отношению к	7	3
5	что иное как	1	2
6	в самом деле	1	2
7	в зависимости от	1	2
8	в данном случае	3	2
9	с одной стороны	2	2
10	с другой стороны	5	2
11	того или иного	1	2
12	есть не что	1	2
13	не что иное	1	2
14	в том что	7	2
15	один и тот	1	1
16	на самом деле	1	1
17	подобно тому как	2	1
18	и есть не	1	1
19	же время в	1	1
20	в отличие от	2	1
21	одна из существеннейших	1	1
22	между тем как	1	1
23	каждом отдельном случае	1	1
24	в этом отношении	3	1
25	по себе а	1	1
26	ту или иную	1	1
27	те же слова	1	1
28	для того чтобы	1	1
29	далеко не всегда	1	1
30	если говорить о	1	1
31	и тот же	1	1
32	нигде и никогда	1	1
33	тем не менее	2	1
34	и как бы	1	1
35	но и его	1	1
36	в связи с	1	1
37	а не как	1	1
38	само по себе	1	1
39	не должно быть	1	1
40	того же автора	1	1
41	в тех случаях	1	1
42	то же время	3	1
43	впервые в истории	1	1
44	в конечном счете	2	1
45	тех случаях когда	1	1
46	в то же	3	1
47	в каждом отдельном	1	1
48	эстетического объекта в	1	1
49	человека и его	1	1
50	как и в	4	1
