N	2gram	Berdyaev_O_1	Freidism
1	и не	13	23
2	не может	4	20
3	прежде всего	9	18
4	в этом	12	15
5	в его	7	15
6	и пр	1	15
7	в душе	2	13
8	может быть	11	13
9	и его	4	12
10	все эти	4	11
11	как и	6	11
12	как бы	3	11
13	то что	5	11
14	самом деле	1	10
15	но в	2	10
16	его в	2	10
17	жизни человека	1	10
18	с ним	3	10
19	так и	2	10
20	и потому	2	10
21	с его	4	9
22	и в	19	9
23	не только	11	8
24	он не	7	8
25	в своей	2	8
26	еще не	3	8
27	что он	3	8
28	так как	2	8
29	все это	6	8
30	и все	10	8
31	все что	3	8
32	в самом	5	7
33	отношение к	5	7
34	чувств и	1	7
35	к нему	3	7
36	один из	1	7
37	всяком случае	1	7
38	что же	2	7
39	сказать что	2	7
40	во всяком	1	7
41	в ней	1	6
42	и с	2	6
43	и ее	3	6
44	того что	3	6
45	для него	5	6
46	вовсе не	1	6
47	никогда не	9	6
48	хотя бы	3	6
49	совершенно не	1	6
50	на самом	1	5
51	и на	2	5
52	он сам	4	5
53	и к	2	5
54	в этой	5	5
55	не в	11	5
56	могут быть	3	5
57	для того	3	5
58	во внешнем	1	5
59	и прежде	1	5
60	а в	5	5
61	но и	13	5
62	связь с	1	5
63	его жизни	1	5
64	что в	4	5
65	смысле слова	1	4
66	мы не	1	4
67	в которой	2	4
68	совсем не	2	4
69	но не	1	4
70	человеческой психики	1	4
71	все же	2	4
72	не было	9	4
73	с их	1	4
74	в нем	10	4
75	в жизни	1	4
76	потому что	9	4
77	и для	2	4
78	того чтобы	4	4
79	характер и	1	4
80	с ними	1	4
81	уже не	1	4
82	в котором	1	4
83	от того	1	4
84	все позволено	1	4
85	в мир	1	4
86	и о	2	4
87	в этих	3	4
88	человека и	10	3
89	он хотел	1	3
90	и есть	3	3
91	он был	8	3
92	как в	1	3
93	и как	1	3
94	между двумя	1	3
95	учение о	2	3
96	в себе	3	3
97	о которой	2	3
98	и вот	3	3
99	что все	2	3
100	где оно	1	3
101	было бы	3	3
102	нисколько не	1	3
103	мысли и	3	3
104	нет никакого	1	3
105	одна из	1	3
106	в сознании	1	3
107	не могут	3	3
108	бы он	1	3
109	она не	1	3
110	и этим	2	3
111	если бы	1	3
112	вражда к	1	3
113	и что	1	3
114	со всеми	1	3
115	первый период	1	3
116	человека с	1	3
117	человека к	2	3
118	у него	22	3
119	в них	1	3
120	со стороны	1	3
121	на этот	1	3
122	и от	3	3
123	но это	1	3
124	сам человек	1	3
125	в голову	1	3
126	когда он	3	3
127	от всех	1	3
128	жизни и	1	3
129	ее в	2	3
130	отношения к	1	2
131	чтобы не	1	2
132	и то	2	2
133	тем же	1	2
134	когда человек	1	2
135	и до	1	2
136	уже указывали	1	2
137	в первый	1	2
138	в ее	2	2
139	себе и	1	2
140	что как	1	2
141	в своем	2	2
142	сознания в	1	2
143	от этого	1	2
144	в этот	2	2
145	что это	1	2
146	человек не	7	2
147	что она	1	2
148	психики на	1	2
149	есть та	1	2
150	в совершенно	1	2
151	в глубине	7	2
152	это было	3	2
153	это не	3	2
154	в свой	1	2
155	всю жизнь	1	2
156	приходит в	1	2
157	том что	2	2
158	как это	1	2
159	в отношении	1	2
160	в науке	1	2
161	тому кто	1	2
162	в процессе	1	2
163	в нас	1	2
164	и мысли	4	2
165	этом отношении	1	2
166	отличается от	1	2
167	они и	1	2
168	и самое	1	2
169	из всего	2	2
170	не делает	1	2
171	в виду	1	2
172	в глаза	1	2
173	о нем	1	2
174	в другом	2	2
175	и острота	1	2
176	необходим для	1	2
177	нуждается в	1	2
178	что и	2	2
179	во внутренней	1	2
180	человека как	1	2
181	мир в	1	2
182	проникнуть в	1	2
183	уже в	2	2
184	из них	1	2
185	его и	1	2
186	а потому	1	2
187	в конце	1	2
188	и даже	1	2
189	человека в	11	2
190	а с	1	2
191	до конца	7	2
192	а не	11	2
193	речи и	1	2
194	не существует	1	2
195	в силах	1	2
196	и ни	2	2
197	да и	1	2
198	и начинается	1	2
199	к его	1	2
200	влечет к	3	2
201	в своих	3	2
202	к этому	2	2
203	ту же	1	1
204	и через	1	1
205	науки о	1	1
206	но тем	1	1
207	не являлось	1	1
208	человеческой души	6	1
209	кажется что	1	1
210	не имеют	1	1
211	не умирает	1	1
212	человека все	2	1
213	вопрос о	10	1
214	жизни как	1	1
215	но от	1	1
216	было до	1	1
217	оказывается что	1	1
218	собой в	1	1
219	там и	1	1
220	природы и	2	1
221	одним словом	1	1
222	к которой	1	1
223	иногда и	1	1
224	что они	2	1
225	в истории	2	1
226	человеческой личности	6	1
227	в центре	1	1
228	что во	1	1
229	и нет	2	1
230	и ницше	1	1
231	при чтении	2	1
232	психологии и	1	1
233	человеком в	1	1
234	за собой	1	1
235	та же	1	1
236	бы и	1	1
237	он в	2	1
238	только один	1	1
239	говорят о	1	1
240	на то	1	1
241	люди а	1	1
242	а вовсе	1	1
243	что было	1	1
244	он ни	1	1
245	единство в	1	1
246	природной и	1	1
247	же это	2	1
248	свои собственные	1	1
249	в человеческой	1	1
250	не теряет	1	1
251	ином измерении	1	1
252	для человеческой	1	1
253	из него	1	1
254	этот период	1	1
255	и вечно	1	1
256	но всегда	1	1
257	это конечно	1	1
258	нормальное и	1	1
259	из всех	1	1
260	чтобы все	1	1
261	заложенных в	2	1
262	связанная с	1	1
263	должен был	2	1
264	нам все	1	1
265	бытие и	1	1
266	их взаимоотношения	1	1
267	он и	1	1
268	чем в	2	1
269	этом нужно	1	1
270	художественного творчества	1	1
271	и тут	1	1
272	он должен	1	1
273	и без	1	1
274	в одном	1	1
275	страха и	1	1
276	вещей и	1	1
277	представляется ему	1	1
278	любовь к	2	1
279	через человеческую	1	1
280	да ведь	1	1
281	можно ли	2	1
282	человека есть	2	1
283	а иногда	1	1
284	отметить что	1	1
285	этого нужно	1	1
286	на два	1	1
287	не по	1	1
288	него что	1	1
289	человека от	1	1
290	дело в	1	1
291	в форму	1	1
292	к ней	2	1
293	нужно искать	5	1
294	ли нам	1	1
295	и здесь	1	1
296	страсть и	1	1
297	его с	1	1
298	всего что	1	1
299	по сравнению	1	1
300	он никогда	1	1
301	о том	3	1
302	и это	1	1
303	это за	3	1
304	свои силы	1	1
305	совершенное произведение	1	1
306	мысль о	2	1
307	это для	1	1
308	свободу и	1	1
309	до самого	5	1
310	и когда	1	1
311	и сам	1	1
312	в мире	1	1
313	не с	1	1
314	нельзя найти	1	1
315	бы признать	1	1
316	в эпоху	1	1
317	ничего не	2	1
318	находится в	1	1
319	все его	1	1
320	никогда и	2	1
321	это я	1	1
322	после того	1	1
323	особого рода	1	1
324	любви к	1	1
325	в которую	1	1
326	свой метод	1	1
327	русской литературы	1	1
328	человек был	3	1
329	но нет	1	1
330	что человек	3	1
331	в форме	1	1
332	все время	1	1
333	иметь право	1	1
334	бросается в	1	1
335	он еще	1	1
336	во всем	1	1
337	связанным с	1	1
338	который в	1	1
339	и гармонии	1	1
340	бы ни	1	1
341	также и	1	1
342	а это	1	1
343	и других	1	1
344	уже с	1	1
345	только их	1	1
346	одно из	2	1
347	не так	1	1
348	самое совершенное	1	1
349	в корне	1	1
350	цели и	1	1
351	всегда оказывается	1	1
352	может служить	1	1
353	и влечет	1	1
354	как будто	1	1
355	тем что	2	1
356	а те	1	1
357	даже и	2	1
358	лишь для	1	1
359	момент в	2	1
360	связан с	1	1
361	на примере	1	1
362	и чем	1	1
363	с той	1	1
364	дана уже	1	1
365	всякого человека	1	1
366	во внешней	1	1
367	к человеку	9	1
368	одного только	2	1
369	и нигде	1	1
370	видеть его	1	1
371	человек в	1	1
372	было для	2	1
373	но никогда	2	1
374	чем на	3	1
375	только несколько	1	1
376	все основные	1	1
377	в строгом	1	1
378	сравнению с	1	1
379	смысле этого	1	1
380	и там	2	1
381	ко всему	1	1
382	у самого	1	1
383	распадается на	1	1
384	быть не	1	1
385	в это	1	1
386	этого слова	1	1
387	и формы	1	1
388	остается и	1	1
389	нужно отметить	1	1
390	ближе к	1	1
391	под влиянием	1	1
392	мира в	1	1
393	указать на	1	1
394	человека для	1	1
395	которого они	1	1
396	тянется к	1	1
397	ее и	1	1
398	это часто	1	1
399	бы в	1	1
400	себе даже	2	1
401	еще более	1	1
402	будто бы	1	1
403	в том	5	1
404	природа человека	1	1
405	любовь и	1	1
406	отношении к	1	1
407	нет ничего	7	1
408	это все	1	1
409	в культурном	1	1
410	но можно	1	1
411	жизни а	1	1
412	разум и	1	1
413	у толстого	1	1
414	на своем	1	1
415	положительное учение	1	1
416	это так	1	1
