N	3gram	Nazirov_Vr_1	StatiiOP
1	в том что	2	17
2	о том что	1	11
3	с точки зрения	2	8
4	до сих пор	1	7
5	в этом отношении	1	7
6	с другой стороны	1	6
7	во всяком случае	1	6
8	не может быть	2	5
9	то же время	4	4
10	на то что	1	4
11	в то же	4	4
12	так же как	1	3
13	и в этом	1	3
14	заключается в том	1	3
15	и в самом	1	3
16	что в этой	1	2
17	да и в	1	2
18	в той же	1	2
19	и то что	1	2
20	что в нем	1	2
21	может быть и	1	2
22	по крайней мере	1	2
23	как раз в	2	2
24	но в то	2	2
25	но в целом	1	2
26	в то время	1	2
27	на этот раз	1	2
28	речь идет о	1	2
29	тем более что	1	2
30	тем не менее	1	2
31	а между тем	1	1
32	далеко не все	1	1
33	в этом смысле	1	1
34	в соответствии с	1	1
35	в том же	1	1
36	приняты во внимание	1	1
37	но для нас	1	1
38	точно так же	1	1
39	быть приняты во	1	1
40	в это время	1	1
41	но и это	1	1
42	о том как	1	1
43	это не просто	1	1
44	и что в	2	1
45	и в то	1	1
46	быть и речи	1	1
47	а с другой	1	1
48	и во всей	1	1
49	и о том	2	1
50	и никогда не	1	1
51	в котором он	1	1
52	и не может	1	1
53	их и не	1	1
54	может быть иначе	1	1
55	но не менее	1	1
56	что как раз	1	1
57	но это не	1	1
58	в конце концов	1	1
59	он не только	2	1
