N	3gram	Voloshinov_1	Hudozhes
1	о том что	1	9
2	по отношению к	9	8
3	в то же	5	8
4	то же время	5	8
5	в том что	4	6
6	в самом деле	5	4
7	в следующей главе	3	3
8	в предыдущей главе	1	3
9	но в то	3	3
10	и т д	1	3
11	в этом отношении	2	3
12	с точки зрения	10	3
13	тем не менее	2	3
14	том что в	1	2
15	к себе самому	1	2
16	что он не	1	2
17	это прежде всего	1	2
18	в конечном счете	1	2
19	во второй половине	1	2
20	только потому что	1	2
21	мы уже знаем	2	2
22	что же касается	1	2
23	до сих пор	3	2
24	не может быть	3	2
25	в узком смысле	1	1
26	не чем иным	1	1
27	с одной стороны	1	1
28	с самого начала	5	1
29	не укладывается в	1	1
30	узком смысле слова	2	1
31	так и в	2	1
32	жизни так и	1	1
33	так обстояло дело	1	1
34	в одной из	1	1
35	при этом мы	1	1
36	можно не только	1	1
37	во многих отношениях	1	1
38	как по отношению	1	1
39	а также и	1	1
40	именно в этой	1	1
41	с ним в	1	1
42	в себя и	1	1
43	нем и быть	1	1
44	для него уже	1	1
45	в таком случае	2	1
46	во всяком случае	3	1
47	что все эти	3	1
48	уже не может	1	1
49	она не может	1	1
50	точки зрения в	1	1
51	обнаруживает себя в	1	1
52	ничего общего с	1	1
53	и она не	1	1
54	приходит в голову	1	1
55	на первый взгляд	1	1
56	на самом деле	2	1
57	потому что оно	1	1
58	мы не знаем	1	1
59	и того и	1	1
60	того и другого	1	1
61	в отличие от	1	1
62	чем иным как	1	1
63	удивительного в том	1	1
64	в чем не	2	1
65	как будто бы	1	1
66	жизни каждого человека	1	1
67	ничего не было	1	1
68	и быть не	1	1
69	то что мы	1	1
70	но все же	1	1
71	и по отношению	2	1
72	же время это	1	1
73	нет ничего удивительного	1	1
74	в данном случае	3	1
75	в свое время	1	1
76	но при этом	1	1
77	относится и к	1	1
78	в себе и	1	1
79	как бы в	1	1
80	в высшей степени	2	1
81	ничего удивительного в	1	1
82	ни в чем	2	1
83	том что он	2	1
84	до известной степени	1	1
85	так и по	1	1
86	к тому чтобы	3	1
87	в свою очередь	1	1
88	только еще начинает	1	1
89	является для него	1	1
90	сообщает об этом	1	1
91	а между тем	1	1
