N	3gram	Medvedev_V_1	VrazhdaK
1	отцов и детей	1	4
2	то же время	5	4
3	в то же	5	4
4	в связи с	3	3
5	в ноябре года	1	2
6	в письме к	8	2
7	отцы и дети	1	2
8	но в то	1	2
9	в письме от	5	2
10	не может быть	8	2
11	в том что	5	2
12	а между тем	1	1
13	от мая года	2	1
14	это то что	1	1
15	равно как и	4	1
16	в этом смысле	1	1
17	в соответствии с	1	1
18	в том же	1	1
19	у тургенева и	1	1
20	до сих пор	1	1
21	и не может	2	1
22	он и не	1	1
23	не было бы	4	1
24	в этом отношении	13	1
25	и тургенев не	1	1
26	в известном письме	1	1
27	по крайней мере	2	1
28	во время сна	1	1
29	может быть и	1	1
30	и в то	3	1
31	одно и то	1	1
32	о том как	3	1
33	так же как	1	1
34	о том же	3	1
35	в конце концов	2	1
36	и то же	1	1
37	письме от мая	1	1
38	быть и речи	1	1
39	каждый из них	1	1
40	все же не	1	1
41	служит для него	1	1
42	во всяком случае	1	1
43	с другой стороны	8	1
44	что они не	1	1
45	от апреля года	2	1
46	у него в	1	1
47	в то время	1	1
48	в свою очередь	1	1
49	это и есть	3	1
50	известном письме к	1	1
51	о том что	3	1
52	и достоевский в	1	1
53	и никогда не	1	1
54	не только не	2	1
55	между тем это	1	1
56	п в анненкова	1	1
57	в нем можно	1	1
58	в своем дневнике	1	1
59	в каком направлении	1	1
60	от марта года	2	1
61	целого ряда других	1	1
