N	3gram	Bakhtin_Pr_2	Istorich
1	и т д	4	16
2	в этих случаях	2	10
3	с другой стороны	3	8
4	о том что	1	5
5	с одной стороны	1	4
6	тем не менее	2	4
7	в том что	1	4
8	этой точки зрения	1	3
9	не может быть	4	3
10	то время как	2	2
11	и в других	1	2
12	но и в	1	2
13	после того как	1	2
14	на этот вопрос	2	2
15	до сих пор	7	2
16	но тем не	1	2
17	так и в	1	2
18	т е в	1	2
19	в то время	2	2
20	другой стороны и	2	2
21	но все же	2	2
22	как и в	3	2
23	мы увидим что	1	2
24	о том как	1	1
25	вовсе не входит	1	1
26	эти две стороны	1	1
27	еще один пример	1	1
28	хотя и не	2	1
29	так что он	1	1
30	на которой он	1	1
31	важна не только	1	1
32	с точки зрения	8	1
33	мере того как	1	1
34	по отношению к	5	1
35	в самом деле	4	1
36	мы увидим в	1	1
37	для наших целей	1	1
38	никак не может	3	1
39	по мере того	1	1
40	он не только	1	1
41	нам кажется что	2	1
42	же как и	1	1
43	то же самое	1	1
44	правильнее будет сказать	1	1
45	не меняет дела	1	1
46	сама по себе	4	1
47	что он не	1	1
48	не входит в	1	1
49	бы то ни	1	1
50	как мы увидим	3	1
51	и та же	2	1
52	т д но	1	1
53	и т п	9	1
54	в большинстве случаев	8	1
55	не знает что	1	1
56	можно было бы	3	1
57	увидим дальше что	1	1
58	как мы уже	1	1
59	вы говорите что	1	1
60	как если бы	2	1
61	и не в	1	1
62	у него нет	1	1
63	этого он не	1	1
64	мы увидим дальше	1	1
65	кроме того здесь	1	1
66	не говорит о	1	1
67	этому как будто	1	1
68	то ни было	1	1
69	и что он	1	1
70	не согласиться с	1	1
71	друг на друга	2	1
72	т е если	1	1
73	в различных формах	1	1
74	все же не	1	1
75	в связи с	1	1
76	то что он	1	1
77	героя и из	1	1
78	одна и та	2	1
79	почти никогда не	1	1
80	здесь перед нами	1	1
81	не в его	1	1
82	более или менее	3	1
83	но и на	1	1
84	приведем еще один	1	1
85	герой ничего не	1	1
86	никогда не говорит	1	1
87	сюда же относится	1	1
88	таким образом и	1	1
89	конечно не в	1	1
90	все это не	1	1
91	дело конечно не	1	1
92	и в каждом	1	1
93	но для наших	1	1
