N	3gram	Losev_Dial_1	Problema
1	и т п	2	13
2	не может быть	3	11
3	с точки зрения	12	6
4	с другой стороны	4	4
5	на самом деле	2	3
6	в самом деле	1	3
7	в этом смысле	3	3
8	можно было бы	4	3
9	далеко не всегда	1	3
10	с одной стороны	2	3
11	как мы увидим	1	3
12	то же время	4	3
13	в том что	7	3
14	в то же	4	3
15	тем не менее	1	3
16	и в нем	2	3
17	и не должна	2	2
18	в чем не	1	2
19	можно сказать что	3	2
20	в какой мере	1	2
21	имеет место в	1	2
22	то же самое	1	2
23	ни в коем	1	2
24	ни в чем	2	2
25	то или иное	2	2
26	в коем случае	1	2
27	и в то	2	2
28	и в частности	2	2
29	мы имеем дело	1	2
30	никогда не может	2	2
31	совершенно не нужно	1	2
32	может и не	2	2
33	коем случае не	1	2
34	и в них	1	2
35	мы можем сказать	2	2
36	точки зрения самого	2	2
37	той или иной	3	2
38	не может и	3	2
39	для того чтобы	1	2
40	в этом отношении	2	2
41	в этом его	1	1
42	и может быть	1	1
43	а между тем	1	1
44	что иное как	1	1
45	точка зрения на	1	1
46	хотя и не	1	1
47	отнюдь не в	1	1
48	иметь в виду	3	1
49	а не с	1	1
50	в виду что	1	1
51	не имеет границ	1	1
52	одной стороны и	2	1
53	имеется в виду	1	1
54	которое как мы	1	1
55	до сих пор	2	1
56	именно то что	1	1
57	до известной степени	1	1
58	сами по себе	1	1
59	бы ни было	1	1
60	на самом же	1	1
61	не было бы	2	1
62	или хотя бы	2	1
63	ни в какой	1	1
64	прямого отношения к	1	1
65	на то что	4	1
66	и потому в	1	1
67	может быть и	3	1
68	несмотря на то	2	1
69	и не в	1	1
70	и тем не	1	1
71	отнюдь не является	1	1
72	отношение к нему	1	1
73	то время как	1	1
74	не что иное	1	1
75	если бы мы	1	1
76	но в то	1	1
77	таким образом и	1	1
78	вопроса о том	1	1
79	она никогда не	1	1
80	и должно быть	1	1
81	и в этом	3	1
82	не есть ни	6	1
83	по сравнению с	2	1
84	которые могли бы	1	1
85	и ничего не	1	1
86	не в том	1	1
87	его не могут	1	1
88	в связи с	1	1
89	если бы все	1	1
90	не должна быть	2	1
91	самом же деле	1	1
92	внутреннего и внешнего	6	1
93	по себе не	5	1
94	а в том	1	1
95	есть не что	1	1
96	должно быть ясно	1	1
97	в него как	1	1
98	в нем нет	3	1
99	в то время	1	1
100	лежащая в основе	2	1
101	это и есть	2	1
102	этих двух миров	1	1
103	та или иная	3	1
104	и т д	19	1
105	то что не	1	1
106	хотя бы в	1	1
107	к выводу что	1	1
108	каково бы ни	1	1
109	можем сказать что	2	1
110	она же может	1	1
111	быть ясно что	1	1
112	к нему с	1	1
113	но лишь как	1	1
114	не больше как	1	1
115	к тому что	2	1
116	если бы не	1	1
117	относится не к	1	1
118	бы не было	1	1
119	она не может	1	1
120	не нуждается в	3	1
121	ничто не может	1	1
122	дело в том	1	1
