N	2gram	Tiupa_Lite_2	ViktorSh
1	конце концов	1	2
2	и в	19	2
3	том что	7	2
4	в том	10	2
5	в конце	2	2
6	и только	2	1
7	крайней мере	2	1
8	ни к	1	1
9	в другом	3	1
10	хотя бы	2	1
11	и не	11	1
12	все время	1	1
13	и его	3	1
14	потому что	2	1
15	я не	5	1
16	более чем	1	1
17	сводится к	1	1
18	и то	3	1
19	впрочем не	2	1
20	поэтического творчества	1	1
21	самом деле	1	1
22	и т.д	7	1
23	от других	1	1
24	именно в	1	1
25	в их	3	1
26	как же	1	1
27	но разве	1	1
28	с большой	1	1
29	в частности	4	1
30	так в	5	1
31	одно и	2	1
32	все то	1	1
33	столь же	5	1
34	ведь это	2	1
35	не играет	1	1
36	в самом	1	1
37	то же	12	1
38	на заре	1	1
39	так как	3	1
40	далеко не	1	1
41	что слово	1	1
42	но это	3	1
43	в этом	9	1
44	по крайней	2	1
45	от общего	1	1
46	тут ни	1	1
47	по существу	3	1
48	позволяя себе	1	1
49	к этому	1	1
50	гораздо более	1	1
51	связанным с	1	1
