N	2gram	Ircho_Kome_1	formyVre
1	и в	22	50
2	то есть	1	33
3	в этом	3	25
4	в нем	4	24
5	человека в	1	17
6	и его	8	16
7	в литературе	1	16
8	прежде всего	5	15
9	как мы	4	14
10	и не	8	14
11	в его	5	13
12	вовсе не	2	13
13	как раз	3	13
14	по существу	1	12
15	так и	5	12
16	то же	6	11
17	мы уже	1	11
18	таким образом	8	11
19	может быть	9	11
20	и как	3	10
21	но в	4	10
22	времени и	2	10
23	роль в	1	9
24	не только	10	9
25	в то	10	9
26	ничего не	3	9
27	же время	4	9
28	в том	11	9
29	в конце	6	9
30	в других	2	9
31	в особенности	1	9
32	и др	1	9
33	и т	9	8
34	того же	2	8
35	и на	3	8
36	в самом	2	8
37	ни в	6	8
38	т п	5	8
39	но и	11	8
40	как и	9	8
41	жизни и	1	8
42	это время	2	7
43	для себя	2	7
44	и во	2	7
45	в условиях	1	7
46	между двумя	1	6
47	во всех	1	6
48	как в	5	6
49	с этим	1	6
50	все же	3	6
51	в их	4	6
52	так как	4	6
53	с ее	2	6
54	в дальнейшем	1	6
55	в жизни	1	6
56	у него	3	6
57	то что	2	6
58	в частности	3	6
59	не может	2	6
60	так же	3	6
61	в результате	4	6
62	и все	3	6
63	отношению к	3	5
64	время как	4	5
65	еще не	2	5
66	но не	2	5
67	отнюдь не	1	5
68	и у	3	5
69	не в	6	5
70	он не	3	5
71	жизни но	1	5
72	того чтобы	1	5
73	точки зрения	4	5
74	могут быть	3	5
75	но все	1	5
76	в образе	3	5
77	до нас	5	5
78	для того	1	5
79	наряду с	2	5
80	в основном	1	5
81	что в	6	5
82	и другие	1	5
83	и это	1	4
84	мы и	1	4
85	в ней	1	4
86	в своем	1	4
87	то время	5	4
88	раз в	2	4
89	время и	2	4
90	и с	3	4
91	в них	3	4
92	том что	12	4
93	в котором	4	4
94	потому что	5	4
95	к себе	1	4
96	было и	1	4
97	жизнь и	1	4
98	и следовательно	1	4
99	только в	3	4
100	до конца	2	4
101	на этой	1	4
102	в той	1	4
