N	2gram	Losev_Prob_3	Freidism
1	таким образом	9	24
2	и не	35	23
3	не может	7	20
4	точки зрения	5	19
5	прежде всего	3	18
6	в этом	17	15
7	в его	9	15
8	в душе	1	13
9	мы можем	6	13
10	может быть	28	13
11	и его	5	12
12	все эти	7	11
13	как и	10	11
14	с точки	2	11
15	как бы	9	11
16	то что	23	11
17	самом деле	3	10
18	но в	12	10
19	его в	3	10
20	с ним	7	10
21	как мы	8	10
22	так и	10	10
23	и потому	7	10
24	во всех	2	9
25	и в	44	9
26	то же	13	8
27	не только	14	8
28	он не	8	8
29	в своей	5	8
30	еще не	5	8
31	что он	9	8
32	только в	19	8
33	так как	9	8
34	все это	5	8
35	и все	3	8
36	в самом	3	7
37	мы уже	4	7
38	ни в	8	7
39	мы видели	2	7
40	всяком случае	6	7
41	что же	8	7
42	сказать что	16	7
43	во всяком	9	7
44	в ней	5	6
45	за пределы	5	6
46	все те	1	6
47	и с	9	6
48	и ее	3	6
49	точку зрения	1	6
50	того что	8	6
51	для него	3	6
52	вовсе не	37	6
53	никогда не	6	6
54	хотя бы	3	6
55	совершенно не	4	6
56	на самом	7	5
57	и на	1	5
58	он сам	4	5
59	в чем	4	5
60	и к	6	5
61	в этой	3	5
62	что такое	3	5
63	знаем что	1	5
64	не в	13	5
65	мы должны	7	5
66	в то	9	5
67	в каком	4	5
68	могут быть	2	5
69	для этого	6	5
70	но мы	1	5
71	можно сказать	6	5
72	для того	1	5
73	по мнению	2	5
74	а в	5	5
75	но и	10	5
76	с этим	2	5
77	что в	8	5
78	смысле слова	8	4
79	и за	2	4
80	той же	1	4
81	мы не	7	4
82	в которой	2	4
83	говорить о	3	4
84	совсем не	2	4
85	но не	3	4
86	в собственном	1	4
87	все же	6	4
88	не было	5	4
89	из этих	1	4
90	в пределах	1	4
91	с их	2	4
92	сознания с	1	4
93	в нем	9	4
94	всех этих	2	4
95	то ни	6	4
96	связанные с	1	4
97	при этом	4	4
98	об этом	3	4
99	с другими	3	4
100	в жизни	1	4
101	на основании	2	4
102	во время	1	4
103	не менее	10	4
104	в основе	2	4
105	потому что	25	4
106	и для	2	4
107	к тому	3	4
108	если мы	16	4
109	того чтобы	1	4
110	данном случае	7	4
111	другими словами	6	4
112	которой мы	1	4
113	не имеющие	1	4
114	уже не	7	4
115	в котором	2	4
116	мы находим	7	4
117	как раз	8	4
118	от того	2	4
119	себя и	1	4
120	в данном	9	4
121	и о	5	4
122	в более	1	4
123	в этих	2	4
124	этот вопрос	3	4
125	в таком	5	4
126	таком случае	4	3
127	и есть	5	3
128	собственном смысле	1	3
129	такие же	1	3
130	а только	5	3
131	один и	1	3
132	как в	5	3
133	и той	1	3
134	и как	3	3
135	сказать о	1	3
136	учение о	1	3
137	и тот	1	3
138	в себе	8	3
139	но ведь	1	3
140	о которой	1	3
141	в узком	1	3
142	одной и	1	3
143	и по	2	3
144	что все	2	3
145	и может	2	3
146	конечно в	1	3
147	зрения на	2	3
148	может стать	1	3
149	было бы	8	3
150	отца и	1	3
151	мы имеем	2	3
152	нисколько не	2	3
153	мысли и	1	3
154	случае не	3	3
155	тому что	4	3
156	нет никакого	4	3
157	на него	1	3
158	чем не	3	3
159	ни о	3	3
160	не могут	1	3
161	бы он	1	3
162	она не	3	3
163	ничего общего	7	3
164	с ее	2	3
165	только то	2	3
166	если бы	3	3
167	и смерть	1	3
168	и что	7	3
169	бы то	4	3
170	которого оно	1	3
171	во втором	1	3
172	и она	1	3
173	со всеми	1	3
174	себя в	2	3
175	об его	4	3
176	у него	1	3
177	в них	1	3
178	на этот	4	3
179	вместе с	2	3
180	по своему	2	3
181	слова и	3	3
182	и от	9	3
183	но это	8	3
184	не является	11	3
185	узком смысле	1	3
186	это как	1	3
187	когда он	2	3
188	жизни и	6	3
189	ни на	3	3
190	ее в	1	3
191	в искусстве	4	3
192	по поводу	2	3
193	отношения к	3	2
194	в такой	1	2
195	не остается	1	2
196	и то	14	2
197	это и	7	2
198	тем же	2	2
199	в первом	1	2
200	и до	2	2
201	которой нам	1	2
202	нам в	1	2
203	благодаря тому	1	2
204	того же	2	2
205	между собой	1	2
206	не отличается	1	2
207	сказать и	1	2
208	в ее	4	2
209	видели что	1	2
210	но как	4	2
211	с которыми	2	2
212	ответ на	1	2
213	себе и	1	2
214	отличие от	3	2
215	или иное	2	2
216	относится к	1	2
217	всю эту	1	2
218	чем же	4	2
219	дает нам	2	2
220	в своем	5	2
221	от этого	1	2
222	в этот	1	2
223	что это	3	2
224	в нашем	5	2
225	всей его	2	2
226	что она	1	2
227	но все	3	2
228	в одну	1	2
229	же касается	4	2
230	них не	1	2
231	при помощи	8	2
232	это было	2	2
233	это не	9	2
234	своей основе	1	2
235	по всему	1	2
236	только о	3	2
237	этом мы	1	2
238	которой он	1	2
239	жизни но	2	2
240	том что	12	2
241	но если	6	2
242	и при	2	2
243	мы конечно	1	2
244	в их	2	2
245	мы говорили	2	2
246	в отличие	2	2
247	сих пор	2	2
248	иным как	1	2
249	на другую	1	2
250	миф и	1	2
251	возможно только	1	2
252	общего не	1	2
253	как это	2	2
254	в отношении	2	2
255	таких случаях	2	2
256	в таких	3	2
257	что с	1	2
258	но для	1	2
259	дело не	2	2
260	правда в	1	2
261	и притом	4	2
262	в процессе	2	2
263	не нуждается	1	2
264	только не	1	2
265	являются только	3	2
266	тем не	10	2
267	из того	3	2
268	только с	4	2
269	если его	3	2
270	когда мы	15	2
271	же что	1	2
272	отличается от	4	2
273	что оно	2	2
274	это содержание	1	2
275	оно не	1	2
276	приходится сказать	1	2
277	для себя	2	2
278	то или	3	2
279	из всего	1	2
280	образы и	3	2
281	в виду	10	2
282	в глаза	1	2
283	вещи и	7	2
284	это вовсе	4	2
285	не исчерпывается	1	2
286	и вообще	8	2
287	выводу что	1	2
288	в другом	2	2
289	и поэтому	1	2
290	до сих	2	2
291	произведение искусства	1	2
292	нуждается в	1	2
293	что и	9	2
294	во всей	3	2
295	ни об	3	2
296	от этих	1	2
297	что бы	1	2
298	всего этого	1	2
299	и об	1	2
300	своему содержанию	2	2
301	в него	1	2
302	быть и	3	2
303	даже если	2	2
304	очень много	3	2
305	для нее	2	2
306	с одной	2	2
307	для всех	1	2
308	не можем	1	2
309	и у	2	2
310	уже в	3	2
311	только на	5	2
312	и они	1	2
313	ни было	3	2
314	в нашей	2	2
315	из них	2	2
316	а потому	1	2
317	потому и	1	2
318	точка зрения	1	2
319	в конце	5	2
320	заметить что	1	2
321	и даже	14	2
322	с другой	7	2
323	здесь в	3	2
324	чем он	2	2
325	а с	2	2
326	до конца	1	2
327	ничем не	2	2
328	них и	1	2
329	одной стороны	1	2
330	которых мы	1	2
331	зависит от	1	2
332	а не	18	2
333	что мы	8	2
334	так же	5	2
335	самого себя	3	2
336	и всей	2	2
337	все наше	1	2
338	только для	1	2
339	же самое	9	2
340	к другим	1	2
341	это уже	3	2
342	и часто	1	2
343	не существует	1	2
344	формы и	3	2
345	для нас	16	2
346	и ни	3	2
347	конце концов	3	2
348	все они	2	2
349	да и	5	2
350	есть и	2	2
351	в заключение	3	2
352	вполне понятно	1	2
353	и другие	3	2
354	в своих	1	2
355	к этому	1	2
356	как на	2	2
357	они не	1	2
358	этим как	1	1
359	тоже еще	2	1
360	и т	13	1
361	не должны	1	1
362	одним из	1	1
363	же как	3	1
364	относится и	2	1
365	являются такими	1	1
366	мы имели	1	1
367	которое мы	5	1
368	и гораздо	1	1
369	не имеют	4	1
370	ведь и	1	1
371	оно было	1	1
372	когда это	2	1
373	и этот	1	1
374	целому ряду	1	1
375	а как	2	1
376	в семье	1	1
377	вопрос о	1	1
378	что самый	1	1
379	и новых	1	1
380	каком случае	2	1
381	никак нельзя	2	1
382	как то	1	1
383	оно есть	1	1
384	вместо этого	1	1
385	которое не	1	1
386	но даже	4	1
387	мы и	2	1
388	то это	10	1
389	конечно и	1	1
390	в целом	6	1
391	личной и	1	1
392	оказывается что	1	1
393	и самого	1	1
394	собой в	1	1
