N	4gram	Losev_Dial_1	StatiiOP
1	дело в том что	1	4
2	и т д но	2	4
3	в то же время	4	4
4	это не значит что	1	3
5	не имеет ничего общего	3	2
6	и т д и	2	2
7	но в то же	1	2
8	имеет ничего общего с	3	2
9	т д и т	2	1
10	в то или иное	1	1
11	что же это за	1	1
12	с точки зрения той	1	1
13	я имею в виду	1	1
14	и т д на	1	1
15	и т д в	1	1
16	ни в каком случае	4	1
17	и в то же	2	1
18	в то время как	1	1
19	и в голову не	1	1
20	в каком случае не	2	1
21	не значит что в	1	1
22	д и т д	2	1
23	а на самом деле	1	1
24	ни на одну минуту	1	1
25	до сих пор не	1	1
26	если бы мы стали	1	1
27	отделены друг от друга	1	1
28	потому что он не	1	1
29	если я скажу что	1	1
30	и в этом отношении	1	1
31	и о том что	1	1
