N	4gram	Nazirov_Tv_1	Tragedij
1	в униженных и оскорбленных	1	6
2	в то же время	12	5
3	униженных и оскорбленных в	1	2
4	записках из мертвого дома	1	2
5	но в то же	4	2
6	в записках из мертвого	1	2
7	в преступлении и наказании	3	2
8	бы неточка незванова прошедшая	1	1
9	и добро и зло	1	1
10	мечтателя из белых ночей	1	1
11	сновидения в стихах и	1	1
12	петербургские сновидения в стихах	1	1
13	в стихах и прозе	1	1
14	это как бы неточка	1	1
15	в году в петербурге	1	1
16	если так можно выразиться	1	1
17	романе униженные и оскорбленные	1	1
18	из униженных и оскорбленных	1	1
19	как бы неточка незванова	1	1
20	хотя бы и в	1	1
21	незванова прошедшая через каторгу	1	1
22	в романе униженные и	1	1
23	к этой теме в	1	1
24	то же время он	2	1
25	ведет к тому что	1	1
26	неточка незванова прошедшая через	1	1
