N	2gram	Savitsky_P_1	Marksizm
1	может быть	5	28
2	и пр	5	25
3	и в	14	19
4	как бы	4	19
5	и не	12	19
6	не может	4	18
7	точки зрения	3	17
8	то же	9	16
9	в этом	10	15
10	не только	17	13
11	с точки	3	13
12	в нем	3	11
13	если бы	4	11
14	не в	5	10
15	но и	6	10
16	в пределах	8	10
17	том что	4	10
18	как и	1	9
19	а не	2	9
20	с его	1	8
21	в то	7	8
22	же время	7	8
23	только в	7	8
24	отнюдь не	2	8
25	его в	1	7
26	и более	1	7
27	одна из	2	7
28	никогда не	1	7
29	в том	9	7
30	прежде всего	3	7
31	но в	9	7
32	во всех	2	6
33	и как	3	6
34	в самом	1	6
35	если мы	1	6
36	в смысле	6	6
37	того чтобы	1	6
38	для того	3	6
39	между тем	3	6
40	мы можем	1	6
41	хотя бы	8	6
42	и на	1	5
43	все же	1	5
44	на этой	1	5
45	в данном	1	5
46	и здесь	1	5
47	в его	2	5
48	в большинстве	1	5
49	большинстве случаев	1	5
50	отношении к	5	5
51	или иной	1	5
52	тем более	2	5
53	так же	1	5
54	тем же	1	4
55	должна быть	1	4
56	и ее	1	4
57	слова о	1	4
58	только на	1	4
59	в себе	3	4
60	на то	1	4
61	это не	3	4
62	было бы	6	4
63	и тем	2	4
64	в отношении	10	4
65	в русском	2	4
66	того что	2	4
67	в формах	1	4
68	с ними	3	4
69	в душе	1	4
70	как раз	2	4
71	в основном	1	4
72	то что	4	4
73	и то	1	3
74	в котором	4	3
75	в ней	6	3
76	еще не	1	3
77	столь же	3	3
78	в ее	2	3
79	отличие от	1	3
80	в истории	1	3
81	с этим	2	3
82	в этой	1	3
83	не к	2	3
84	не как	1	3
85	какой бы	1	3
86	одно и	1	3
87	по себе	4	3
88	в этих	1	3
89	в отличие	1	3
90	мысли и	1	3
91	не имеет	1	3
92	они являются	1	3
93	в каком	1	3
94	могут быть	3	3
95	не есть	1	3
96	и это	2	3
97	на основе	1	3
98	что и	1	3
99	в какой	1	3
100	с одной	3	3
101	в качестве	9	3
102	с другой	5	3
103	в живом	1	3
104	не было	2	3
105	одной стороны	3	3
106	да и	2	3
107	должно быть	2	3
108	быть именно	1	3
109	что оно	1	3
110	только что	1	3
111	в различных	1	3
112	а в	4	3
113	во всяком	1	3
114	отношения к	2	2
115	связана с	1	2
116	собственном смысле	1	2
117	вопрос о	1	2
118	почти исключительно	1	2
119	конечно и	1	2
120	он был	1	2
121	но как	1	2
122	из важнейших	2	2
123	основная задача	1	2
124	в собственном	1	2
125	стороны и	2	2
126	огромной исторической	1	2
127	в своем	4	2
128	более или	1	2
129	что это	1	2
130	xviii и	1	2
131	соприкасается с	1	2
132	и с	2	2
133	ощущается как	1	2
134	в жизни	2	2
135	далеко не	1	2
136	и потому	4	2
137	мы не	3	2
138	или менее	1	2
139	место в	1	2
140	является в	2	2
141	в идеологическом	1	2
142	находятся в	1	2
143	и именно	1	2
144	мы возьмем	1	2
145	темы и	1	2
146	должен быть	1	2
147	и о	5	2
148	оставаясь в	1	2
149	в обладании	1	2
150	не с	1	2
151	чтобы понять	1	2
152	сводится к	3	2
153	но к	2	2
154	в определенном	1	2
155	в значительной	2	2
156	всяком случае	1	2
157	эти последние	1	2
158	но не	3	2
159	себя в	1	2
160	уже в	1	2
161	в виде	2	2
162	но для	1	2
163	мы знаем	1	2
164	друг друга	1	2
165	бы это	1	2
166	именно как	2	2
167	именно в	2	2
168	а с	1	2
169	что не	1	2
170	они не	1	2
171	оно ни	1	2
172	вместе с	1	2
173	и особенно	1	2
174	xix века	6	2
175	там где	1	2
176	распадается на	1	2
177	в начале	2	2
178	еще более	2	2
179	к формам	1	2
180	что в	4	2
181	именно здесь	1	2
182	все основные	1	2
183	как на	2	2
184	из внешней	1	1
185	как известно	1	1
186	можно говорить	1	1
187	также и	1	1
188	например в	2	1
189	также что	1	1
190	к возможностям	1	1
191	бы что	1	1
192	что уже	1	1
193	говорить о	2	1
194	мы и	1	1
195	которое в	2	1
196	подчеркнуть что	1	1
197	время в	2	1
198	что его	1	1
199	из этих	1	1
200	не все	1	1
201	и чем	1	1
202	и я	1	1
203	что именно	1	1
204	поскольку они	1	1
205	– но	1	1
206	и где	1	1
207	могли бы	1	1
208	с определенной	1	1
209	к чему	2	1
210	в которой	1	1
211	и современная	1	1
212	формы в	1	1
213	чуть ли	1	1
214	у каждого	1	1
215	отчасти и	1	1
216	сложной и	1	1
217	о возникновении	1	1
218	этот вывод	1	1
219	не могла	1	1
220	взятые в	1	1
221	и если	4	1
222	как оно	1	1
223	главным образом	2	1
224	в статье	2	1
225	соприкасается со	1	1
226	в силу	2	1
227	и вот	2	1
228	исторических эпох	1	1
229	это значение	1	1
230	в каждом	1	1
231	ни были	1	1
232	связанные с	1	1
233	ясно что	1	1
234	этого процесса	1	1
235	заключается в	3	1
236	сознания к	1	1
237	и иных	1	1
238	к миру	1	1
239	из нее	1	1
240	в них	2	1
241	с тем	3	1
242	случаев только	1	1
243	последние в	1	1
244	с большою	1	1
245	может идти	1	1
246	все это	2	1
247	в восприятии	1	1
248	отрыве от	1	1
249	это ощущение	1	1
250	к предмету	1	1
251	не столько	2	1
252	большей степени	4	1
253	не менее	2	1
254	определяется как	1	1
255	вопрос ставится	1	1
256	идти в	1	1
257	друг другу	2	1
258	что было	1	1
259	обстановки и	1	1
260	и вся	1	1
261	нет никакого	1	1
262	что эта	1	1
263	что с	1	1
264	иной раз	1	1
265	есть прежде	1	1
266	в русской	4	1
267	та эпоха	1	1
268	тогда когда	1	1
269	она ни	2	1
270	и притом	1	1
271	с и	1	1
272	находится в	1	1
273	своем они	1	1
274	и всегда	1	1
275	на себя	1	1
276	что называют	1	1
277	история не	1	1
278	сторона вопроса	2	1
279	европейского мира	1	1
280	с другом	1	1
281	что все	1	1
282	ли не	1	1
283	числе и	1	1
284	более широкой	1	1
285	но также	4	1
286	среды в	1	1
287	в себя	1	1
288	стремиться к	1	1
289	в иной	1	1
290	на нее	1	1
291	было в	2	1
292	быть разрешена	1	1
293	еще в	1	1
294	когда в	1	1
295	в сочетании	2	1
296	пределах русского	1	1
297	по сравнению	2	1
298	в глубинах	2	1
299	к пределу	1	1
300	мысль о	2	1
301	могут стать	1	1
302	и что	1	1
303	притом в	1	1
304	этих двух	1	1
305	вопросу о	1	1
306	в отрыве	1	1
307	переходит в	1	1
308	или политической	1	1
309	во всей	2	1
310	и только	1	1
311	зоной между	1	1
312	которой в	1	1
313	и мир	1	1
314	ни к	1	1
315	эта проблема	1	1
316	в современной	1	1
317	мы видим	1	1
318	тот же	3	1
319	только знак	1	1
320	бы из	1	1
321	может оказаться	1	1
322	или его	1	1
323	их не	1	1
324	тот или	1	1
325	в окружающем	1	1
326	именно на	1	1
327	есть в	2	1
328	относятся следовательно	1	1
329	оказывается в	1	1
330	же в	4	1
331	если в	2	1
332	и везде	1	1
333	и других	2	1
334	из них	2	1
335	одно из	1	1
336	сохранению и	1	1
337	говорить об	1	1
338	иначе как	1	1
339	сами по	3	1
340	и должна	1	1
341	гораздо большей	4	1
342	к ним	1	1
343	не о	2	1
