N	3gram	Berdyaev_M_1	NovoeSre
1	в высшей степени	2	6
2	в новой истории	1	6
3	новой истории в	1	5
4	не может быть	17	4
5	не во имя	1	4
6	в наше время	1	3
7	не значит что	1	3
8	не было такого	1	3
9	во имя свободы	1	3
10	никогда не было	1	2
11	он не может	2	2
12	в нем нет	1	2
13	вместе с тем	5	2
14	не может уже	1	2
15	человека во имя	1	2
16	это не значит	2	2
17	когда мы говорим	1	2
18	она не может	1	2
19	в платоновском смысле	1	1
20	и учителей церкви	1	1
21	а не к	1	1
22	как формальное право	1	1
23	в ней нет	1	1
24	в конце новой	1	1
25	мы говорим что	1	1
26	возврат к старому	1	1
27	то нет и	3	1
28	человеке и его	5	1
29	а не в	4	1
30	на протяжении всей	1	1
31	то время как	2	1
32	потому что вообще	1	1
33	есть прежде всего	1	1
34	конце новой истории	1	1
35	человек а не	1	1
36	всемирной истории и	1	1
37	потому что не	1	1
38	до сих пор	2	1
39	и не может	2	1
40	если нет у	1	1
41	не были еще	1	1
42	смысле в каком	2	1
43	том случае если	1	1
44	в зависимости от	1	1
45	в отличие от	1	1
46	в свою противоположность	2	1
47	но и в	4	1
48	о человеке и	6	1
49	и это есть	1	1
50	заключает в себе	3	1
51	не знает что	1	1
52	можно было бы	1	1
53	ней нет ничего	1	1
54	нет у него	1	1
55	в этом он	2	1
56	в том случае	1	1
57	обращение к богу	1	1
58	том смысле в	1	1
59	в глубочайшем смысле	2	1
60	вообще не существует	1	1
61	не только в	2	1
62	слова а не	1	1
63	но она не	1	1
64	глубочайшем смысле слова	2	1
65	как будто бы	2	1
66	не могут быть	2	1
67	по природе своей	1	1
68	не в том	1	1
69	в нем не	2	1
70	а во имя	1	1
71	во всяком случае	1	1
72	лишь в том	1	1
73	если есть бог	1	1
74	переходит в свою	2	1
75	есть вместе с	1	1
76	смысле слова а	1	1
77	становится в центре	1	1
78	о том что	1	1
79	в то время	2	1
80	человека не может	1	1
81	что совершается в	1	1
82	в значительной степени	1	1
83	испытание человеческой свободы	3	1
84	и вместе с	4	1
85	это и есть	4	1
86	должна быть признана	1	1
87	это значит что	3	1
88	если нет бога	1	1
89	движения в глубину	1	1
90	выходит за пределы	1	1
91	движения духа в	1	1
92	в принятии истины	1	1
93	обречен на гибель	1	1
94	нет и человека	2	1
95	в том смысле	2	1
96	и возвращается к	1	1
97	он не хотел	1	1
98	в том что	1	1
99	добро и зло	1	1
100	до последних пределов	1	1
101	про себя а	1	1
102	уже нет в	1	1
