N	3gram	Vygotskiy__5	Marksizm
1	с точки зрения	2	20
2	не может быть	2	13
3	в самом деле	5	9
4	до сих пор	5	8
5	и того же	2	5
6	одного и того	2	5
7	в отличие от	2	5
8	с другой стороны	5	5
9	объективной точки зрения	1	5
10	с самого начала	3	4
11	с объективной точки	1	3
12	в этом случае	2	3
13	то же самое	3	3
14	в этом отношении	3	3
15	на этот вопрос	3	3
16	может быть и	2	3
17	в конце концов	2	3
18	и тот же	1	3
19	один и тот	1	3
20	можно сказать что	2	3
21	для того чтобы	19	3
22	в том что	14	3
23	тех пор пока	2	2
24	сводится к тому	2	2
25	же как и	1	2
26	и той же	2	2
27	самом деле если	2	2
28	на первый план	2	2
29	необходимо прежде всего	1	2
30	можно было бы	3	2
31	как если бы	1	2
32	так же как	2	2
33	смысле этого слова	1	2
34	мы говорили о	1	2
35	не могут быть	1	2
36	вопрос о том	2	2
37	одной и той	2	2
38	по отношению к	1	2
39	до тех пор	2	2
40	в свою очередь	1	2
41	в нем нет	1	2
42	в этом смысле	1	2
43	ничего общего с	1	2
44	и в сущности	1	1
45	между тем мы	1	1
46	же обстоит дело	2	1
47	как только мы	1	1
48	что он является	1	1
49	оно может быть	1	1
50	чуть ли не	1	1
51	одним и тем	3	1
52	ни к каким	1	1
53	равно как и	1	1
54	в тесной связи	1	1
55	том что он	1	1
56	почти все современные	1	1
57	как это делает	2	1
58	в этом слове	1	1
59	в одной из	1	1
60	именно то что	4	1
61	до известной степени	1	1
62	сами по себе	2	1
63	по отношению ко	1	1
64	с двух сторон	1	1
65	сказать что и	1	1
66	в основе своей	1	1
67	именно это содержание	1	1
68	с этой точки	1	1
69	и вовсе не	1	1
70	так сказать в	1	1
71	нет места для	1	1
72	если мы возьмем	1	1
73	и к проблеме	1	1
74	и не дает	1	1
75	деле если мы	1	1
76	и потому как	1	1
77	и тем же	3	1
78	лежит в основе	1	1
79	с одной стороны	12	1
80	этом отношении и	1	1
81	так как они	1	1
82	конце концов к	1	1
83	и как бы	4	1
84	в последнее время	1	1
85	все же не	1	1
86	могут быть сведены	1	1
87	а в том	1	1
88	того чтобы сделать	1	1
89	в целом ряде	1	1
90	вместо того чтобы	1	1
91	именно в том	2	1
92	влечет за собою	1	1
93	первой и второй	1	1
94	сих пор не	1	1
95	более или менее	1	1
96	так же обстоит	2	1
97	в русском языке	1	1
98	нет ничего общего	1	1
99	привело бы к	1	1
100	как бы на	1	1
101	тесной связи с	1	1
102	само по себе	2	1
103	рядом с этим	1	1
104	этой точки зрения	1	1
105	с тем что	3	1
106	и в самом	2	1
107	обстоит дело и	2	1
108	не только не	4	1
109	во времени и	1	1
110	не только в	2	1
111	не может стать	1	1
112	в результате мы	1	1
113	и в результате	2	1
114	еще почти не	1	1
115	друг от друга	2	1
116	в применении к	1	1
117	у нас не	1	1
118	к тому что	6	1
119	и здесь и	1	1
120	на самом деле	2	1
121	друг с другом	3	1
122	не было указано	1	1
123	одна из основных	1	1
124	дело и в	1	1
125	как вещь а	1	1
126	этого вопроса сводится	1	1
127	для этого необходимо	2	1
128	таким образом с	1	1
129	той или иной	2	1
130	это положение не	1	1
131	и в другом	1	1
