N	2gram	Berdyaev_O_1	Analitik
1	может быть	11	29
2	в том	5	27
3	не может	4	22
4	и не	13	21
5	в частности	1	19
6	и в	19	18
7	но и	13	17
8	а не	11	17
9	представляет собой	1	16
10	не только	11	15
11	не в	11	14
12	в этом	12	13
13	как и	6	13
14	в его	7	13
15	том что	2	12
16	в себе	3	11
17	но не	1	10
18	а в	5	9
19	есть не	1	8
20	в мире	1	8
21	но в	2	8
22	нуждается в	1	8
23	не есть	2	8
24	этого слова	1	7
25	особого рода	1	7
26	в сущности	1	6
27	в самом	5	6
28	это не	3	6
29	в своей	2	6
30	по своей	1	6
31	то что	5	6
32	прежде всего	9	6
33	и на	2	5
34	и как	1	5
35	в этой	5	5
36	лишь в	7	5
37	и его	4	5
38	о том	3	5
39	как бы	3	5
40	и состоит	1	5
41	что в	4	5
42	все же	2	4
43	сознания в	1	4
44	и более	1	4
45	по себе	2	4
46	могут быть	3	4
47	так и	2	4
48	не с	1	4
49	с ним	3	4
50	в другом	2	4
51	того что	3	4
52	уже не	1	4
53	для того	3	4
54	человека к	2	4
55	и есть	3	3
56	между двумя	1	3
57	во внешнем	1	3
58	что как	1	3
59	и к	2	3
60	в нем	10	3
61	он не	7	3
62	по природе	1	3
63	в силу	1	3
64	ведет к	1	3
65	в котором	1	3
66	того чтобы	4	3
67	о нем	1	3
68	как будто	1	3
69	не могут	3	3
70	если бы	1	3
71	к нему	3	3
72	с его	4	3
73	еще не	3	3
74	вопрос об	1	3
75	ни с	7	3
76	никто не	3	3
77	что и	2	3
78	не случайно	1	3
79	а именно	1	3
80	а с	1	3
81	что не	4	3
82	человек в	1	3
83	быть не	1	3
84	и все	10	3
85	хотя бы	3	3
86	будто бы	1	3
87	что он	3	3
88	отношения к	1	2
89	самом деле	1	2
90	на самом	1	2
91	науки о	1	2
92	также и	1	2
93	и то	2	2
94	то он	1	2
95	не все	2	2
96	отношение к	5	2
97	как к	2	2
98	то в	1	2
99	в которой	2	2
100	природе своей	1	2
101	все эти	4	2
102	думать что	1	2
103	и до	1	2
104	от которого	1	2
105	и с	2	2
106	самим собой	1	2
107	из них	1	2
108	вовсе не	1	2
109	так как	2	2
110	для него	5	2
111	художественного творчества	1	2
112	вопрос о	10	2
113	в процессе	1	2
114	никогда не	9	2
115	потому что	9	2
116	ничто не	2	2
117	в сознании	1	2
118	и заключается	1	2
119	отличается от	1	2
120	и о	2	2
121	быть может	3	2
122	не могу	1	2
123	мысль о	2	2
124	и сам	1	2
125	особенно в	1	2
126	на примере	1	2
127	должно быть	2	2
128	но к	1	2
129	каждом из	1	2
130	чем и	1	2
131	один из	1	2
132	ли он	1	2
133	который в	1	2
134	бы ни	1	2
135	его и	1	2
136	в новом	1	2
137	может служить	1	2
138	этом отношении	1	2
139	со стороны	1	2
140	было бы	3	2
141	но о	1	2
142	мира в	1	2
143	и потому	2	2
144	как от	1	2
145	что же	2	2
146	и тогда	1	2
147	нет ничего	7	2
148	была бы	1	2
149	в свое	1	2
150	например в	1	1
151	человека и	10	1
152	сам по	1	1
153	с кем	1	1
154	смысле слова	1	1
155	этого мира	2	1
156	он всегда	7	1
157	не имеют	1	1
158	должна быть	1	1
159	и больше	1	1
160	видеть в	1	1
161	мы не	1	1
162	не вполне	1	1
163	что достоевский	2	1
164	судьба человека	1	1
165	в ней	1	1
166	ожидать от	1	1
167	на нем	1	1
168	он был	8	1
169	он сам	4	1
170	художественном творчестве	2	1
171	что люди	1	1
172	в ее	2	1
173	в откровении	1	1
174	к которой	1	1
175	могут и	1	1
176	с духом	1	1
177	как в	1	1
178	знаменательно что	1	1
179	та же	1	1
180	с какой	1	1
181	что это	1	1
182	он в	2	1
183	не оставляет	1	1
184	учение о	2	1
185	только один	1	1
186	а вовсе	1	1
187	в человеческой	1	1
188	любой из	1	1
189	мысли как	1	1
190	из него	1	1
191	ни был	1	1
192	что все	2	1
193	же не	1	1
194	том случае	1	1
195	исследование возможностей	1	1
196	его в	2	1
