N	3gram	Berdyaev_M_1	Analitik
1	о том что	1	6
2	в том что	1	6
3	по отношению к	2	4
4	так и не	1	4
5	и он же	1	2
6	можно было бы	1	2
7	в значительной степени	1	2
8	а не только	2	2
9	не только в	2	2
10	в отличие от	1	2
11	по природе своей	1	2
12	и в самом	3	2
13	но когда он	1	1
14	что иное как	1	1
15	могут производить впечатление	1	1
16	как бы не	1	1
17	хотя бы и	2	1
18	человек и в	1	1
19	но и в	4	1
20	между тем как	1	1
21	во всех этих	1	1
22	ко всему этому	1	1
23	что в конце	1	1
24	только с одним	1	1
25	не принимает ни	1	1
26	прежде всего в	2	1
27	не может быть	17	1
28	том смысле что	1	1
29	в своей истории	1	1
30	не что иное	1	1
31	в самом деле	1	1
32	с собой он	1	1
33	он ничего не	1	1
34	в мире так	1	1
35	в том смысле	2	1
36	в отношении к	1	1
37	он не только	2	1
38	выходят за пределы	1	1
39	не только для	1	1
