N	2gram	Ircho_Kome_2	IolandNe
1	и с	5	3
2	должен быть	1	2
3	и не	14	2
4	в этом	10	2
5	оба они	1	2
6	он не	2	2
7	что в	9	2
8	ничего не	1	2
9	же это	1	1
10	себя в	3	1
11	все это	3	1
12	автора и	1	1
13	автор не	1	1
14	мы стали	2	1
15	а для	1	1
16	и в	26	1
17	в эту	1	1
18	то и	1	1
19	а по	1	1
20	то она	1	1
21	бы в	2	1
22	более чем	4	1
23	стало быть	1	1
24	бы столь	1	1
25	того же	3	1
26	с другой	2	1
27	и та	1	1
28	это было	4	1
29	а в	3	1
30	стали бы	2	1
31	в художественном	1	1
32	стороны он	1	1
33	причина того	1	1
34	и без	1	1
35	после смерти	3	1
36	это был	1	1
37	как о	1	1
38	а с	1	1
39	другой стороны	1	1
40	и чрезвычайно	1	1
41	и еще	2	1
42	в первую	3	1
43	не так	1	1
44	для него	1	1
45	а также	1	1
46	нам в	1	1
47	в основе	1	1
48	что для	4	1
49	говорить о	2	1
50	могло бы	1	1
51	и сам	3	1
52	что последний	1	1
53	отношению к	3	1
54	так и	12	1
55	бы его	1	1
56	напрасно мы	2	1
57	его цель	1	1
58	от этого	2	1
59	произведения и	1	1
60	того чтобы	6	1
61	бы искать	2	1
62	первую очередь	3	1
63	никогда не	1	1
64	следующим образом	1	1
65	только для	1	1
66	жизни и	3	1
67	и очень	1	1
68	тех же	3	1
69	тем что	3	1
70	в целом	4	1
71	по поводу	3	1
72	по отношению	3	1
73	в них	4	1
74	все эти	1	1
75	по существу	1	1
76	от нее	1	1
77	если бы	9	1
78	для того	5	1
79	не слишком	1	1
