N	2gram	Savitsky_E_1	Formalny
1	и в	37	38
2	в этом	12	27
3	т е	9	26
4	может быть	6	23
5	и его	1	21
6	таким образом	2	20
7	и не	14	20
8	в самом	4	16
9	не в	5	15
10	прежде всего	9	15
11	и т	1	14
12	не может	9	14
13	в нем	1	13
14	связи с	1	13
15	но и	14	13
16	в пределах	25	12
17	с его	1	11
18	с тем	3	11
19	в том	11	11
20	вовсе не	6	11
21	с другими	2	10
22	в его	2	10
23	в связи	1	10
24	не только	18	9
25	при этом	1	9
26	и с	2	9
27	как и	7	9
28	в процессе	4	9
29	отнюдь не	9	8
30	все же	1	8
31	точки зрения	23	8
32	так и	10	8
33	что и	3	8
34	тем что	3	8
35	как мы	5	7
36	в корне	1	7
37	лишь в	1	7
38	по себе	4	7
39	для него	1	7
40	в своей	8	7
41	с точки	17	7
42	язык и	1	7
43	во втором	2	7
44	уже не	1	7
45	этом отношении	3	7
46	в других	2	7
47	не могут	2	7
48	слова и	1	7
49	что в	21	7
50	и ее	1	6
51	в ней	4	6
52	в истории	2	6
53	все эти	1	6
54	в этой	2	6
55	то же	15	6
56	было бы	8	6
57	он не	2	6
58	в их	11	6
59	могут быть	2	6
60	для понимания	2	6
61	только в	9	6
62	то что	6	6
63	не было	1	6
64	вместе с	2	6
65	а не	2	6
66	в результате	3	6
67	хотя бы	15	6
68	а в	2	6
69	по преимуществу	2	5
70	должна быть	2	5
71	говорить о	1	5
72	всего этого	1	5
73	во всех	6	5
74	в общем	3	5
75	т д	1	5
76	в то	16	5
77	в основе	1	5
78	же время	14	5
79	если бы	2	5
80	сводится к	1	5
81	и только	3	5
82	всяком случае	3	5
83	если мы	1	5
84	именно в	4	5
85	с этим	2	5
86	что же	2	5
87	более того	1	5
88	и для	3	5
89	бы в	2	5
90	еще более	2	5
91	или иного	4	5
92	во всяком	3	5
93	литературы и	1	4
94	что оно	1	4
95	в сторону	2	4
96	независимо от	4	4
97	как в	3	4
98	и наконец	2	4
99	и к	3	4
100	не как	1	4
101	от нее	1	4
102	как они	1	4
103	входит в	1	4
104	мы видели	3	4
105	к тому	8	4
106	того или	4	4
107	но в	14	4
108	и теперь	2	4
109	в большинстве	2	4
110	что не	1	4
111	из них	3	4
112	так как	7	4
113	не о	1	4
114	и даже	6	4
115	в некоторых	2	4
116	другой стороны	2	4
117	там где	3	4
118	как бы	6	4
119	дело идет	2	4
120	известной степени	3	4
121	оно не	1	4
122	например в	1	3
123	же как	5	3
124	и отчасти	2	3
125	и до	1	3
126	из всего	1	3
127	мы не	4	3
128	то это	1	3
129	и на	6	3
130	бы она	1	3
131	значение и	1	3
132	если в	2	3
133	однако не	1	3
134	хотя и	2	3
135	и как	2	3
136	от этого	5	3
137	что это	2	3
138	но именно	2	3
139	всех этих	1	3
140	ни была	1	3
141	значительной степени	1	3
142	главным образом	2	3
143	в ином	1	3
144	для них	2	3
145	такой же	2	3
146	как таковой	1	3
147	следует что	1	3
148	к действительному	1	3
149	место в	3	3
150	только и	1	3
151	следует отметить	2	3
152	не является	3	3
153	в области	11	3
154	но все	1	3
155	не есть	2	3
156	своего развития	1	3
157	того чтобы	6	3
158	одного из	1	3
159	в значительной	2	3
160	к нему	2	3
161	того что	7	3
162	в какой	2	3
163	то и	1	3
164	большинстве случаев	3	3
165	мы знаем	1	3
166	и их	1	3
167	для того	6	3
168	с другой	7	3
169	и прежде	3	3
170	о возможности	1	3
171	их к	1	3
172	том смысле	1	3
173	быть и	1	3
174	или в	2	3
175	и все	2	3
176	жизни и	2	3
177	в такой	1	2
178	и то	2	2
179	идет о	3	2
180	в последних	1	2
181	столь же	5	2
182	но не	5	2
183	но как	2	2
184	очевидно что	3	2
185	нужно понимать	1	2
186	отличие от	1	2
187	к сожалению	1	2
188	при известных	1	2
189	в одной	1	2
190	все остальные	1	2
191	кроме того	1	2
192	то в	4	2
193	та же	1	2
194	уже в	1	2
195	он в	1	2
196	элементов в	1	2
197	борьбы с	1	2
198	своем развитии	1	2
199	в рамки	1	2
200	состоит в	1	2
201	не к	2	2
202	и более	2	2
203	или вовсе	1	2
204	и по	5	2
205	на этом	1	2
206	то ни	4	2
207	они должны	1	2
208	том случае	1	2
209	говорить не	1	2
210	но совершенно	1	2
211	для нее	1	2
212	и иных	1	2
213	и тем	3	2
214	бы совершенно	2	2
215	в развитии	2	2
216	должно быть	1	2
217	том что	6	2
218	в этих	2	2
219	во второй	3	2
220	мы приходим	1	2
221	представление о	2	2
222	в отличие	1	2
223	как их	2	2
224	тому чтобы	2	2
225	для этого	1	2
226	даже в	4	2
227	тому что	1	2
228	она не	2	2
229	занимают в	1	2
230	тем самым	5	2
231	что эта	1	2
232	с теми	1	2
233	и другое	1	2
234	не имеет	4	2
235	для всего	1	2
236	никогда не	3	2
237	правда в	1	2
238	на язык	2	2
239	есть только	1	2
240	всего в	2	2
241	что на	2	2
242	и это	1	2
243	и о	1	2
244	в ее	8	2
245	и от	3	2
246	с ним	1	2
247	в применении	3	2
248	является в	1	2
249	между тем	8	2
250	отметить что	3	2
251	во всей	2	2
252	этом смысле	3	2
253	один из	1	2
254	тем путем	1	2
255	с ними	1	2
256	этот вопрос	2	2
257	известных условиях	1	2
258	или же	1	2
259	по этому	1	2
260	не будет	3	2
261	потому что	3	2
262	в качестве	14	2
263	при помощи	2	2
264	и других	2	2
265	в известной	3	2
266	в котором	2	2
267	как его	1	2
268	имеет значение	1	2
269	со стороны	5	2
270	даже не	1	2
271	а именно	2	2
272	в каких	1	2
273	между ними	2	2
274	что для	1	2
275	все более	9	2
276	ни на	3	2
277	как это	4	2
278	в той	5	2
279	применении к	3	2
280	в тех	1	2
281	этого факта	1	2
282	но это	1	2
283	не отрицает	1	2
284	а к	1	2
285	ее и	1	2
286	значение лишь	1	2
287	поскольку он	2	2
288	сказать что	4	2
289	в характере	1	2
290	ее в	3	2
291	и другие	1	2
292	в таком	3	2
293	смысле что	1	2
294	и наиболее	2	1
295	как известно	1	1
296	до него	1	1
297	связана с	1	1
298	того же	3	1
299	но тем	1	1
300	нам кажется	7	1
301	в чисто	1	1
302	противном случае	1	1
303	ведь и	2	1
304	за свои	1	1
305	к созданию	1	1
306	и этот	2	1
307	поэзии и	1	1
308	той же	1	1
309	есть не	2	1
310	том насколько	1	1
311	и приобретают	1	1
312	что если	2	1
313	по-разному в	1	1
314	из того	2	1
315	которое не	1	1
316	сопоставление не	1	1
317	но даже	4	1
318	и со	3	1
319	которое в	2	1
320	как не	2	1
321	меньшей степени	2	1
322	время в	3	1
323	бы то	4	1
324	различия между	1	1
325	чем это	1	1
326	а тем	2	1
327	мы будем	1	1
328	точка зрения	2	1
329	силы и	1	1
330	значением и	1	1
331	только тогда	1	1
332	не дают	2	1
333	даже исключительно	1	1
334	или иное	1	1
335	с лица	1	1
336	что во	1	1
337	если вникнуть	1	1
338	дает нам	1	1
339	значение его	1	1
340	поставлена в	1	1
341	в своем	14	1
342	в противном	1	1
343	и где	1	1
344	и всецело	2	1
345	более или	1	1
346	этого предела	1	1
