N	3gram	Ircho_Kome_1	Psycholo
1	для того чтобы	1	19
2	в том что	9	12
3	о том что	3	10
4	на то что	2	6
5	то же самое	2	6
6	с самого начала	1	5
7	к тому что	1	5
8	что он не	1	4
9	можно было бы	1	4
10	одна из них	1	3
11	с одной стороны	3	3
12	и т п	5	3
13	до сих пор	2	3
14	смысле этого слова	1	3
15	так же как	1	3
16	в конце концов	4	3
17	том что он	4	3
18	во всяком случае	2	3
19	и в конце	1	2
20	до самого конца	2	2
21	сам по себе	1	2
22	мы узнаем о	1	2
23	от начала до	1	2
24	мы уже знаем	1	2
25	с другой стороны	5	2
26	к тому же	5	2
27	в то время	5	2
28	начала до конца	1	2
29	только что в	1	2
30	таким образом в	2	2
31	речь идет о	3	2
32	и т д	4	2
33	вместе с тем	1	2
34	то время как	4	2
35	на то чтобы	1	2
36	в это время	1	2
37	со всех сторон	1	1
38	конца и в	1	1
39	подобно тому как	1	1
40	так или иначе	1	1
41	может быть в	1	1
42	содержания и формы	1	1
43	что все это	1	1
44	заботится о том	1	1
45	мы знаем о	1	1
46	в этой пьесе	1	1
47	из них не	1	1
48	и здесь мы	1	1
49	и в тех	1	1
50	или хотя бы	1	1
51	в той же	1	1
52	в хронологическом порядке	2	1
53	что одна из	1	1
54	до конца и	1	1
55	на этом фоне	1	1
56	едва ли можно	1	1
57	ни в одном	1	1
58	которых мы можем	1	1
59	а может быть	1	1
60	так как он	1	1
61	в этой же	1	1
62	же как и	1	1
63	этой точки зрения	1	1
64	совершенно очевидно что	1	1
65	и к тому	1	1
66	потому что и	1	1
67	по отношению к	3	1
68	не что иное	1	1
69	но он не	1	1
70	т д все	1	1
71	не только в	1	1
72	в то же	4	1
73	и у него	1	1
74	и в каком	1	1
75	том что они	1	1
76	что иное как	1	1
77	том месте где	1	1
78	то же время	4	1
79	бы то ни	2	1
80	ставит нас перед	1	1
81	в предисловии к	1	1
82	с этой точки	1	1
83	мы ничего не	1	1
84	как раз на	1	1
85	идет о том	1	1
86	он может быть	1	1
87	потому что они	1	1
88	как мы уже	1	1
89	том что на	1	1
90	и таким образом	2	1
91	и независимо от	1	1
92	у него не	1	1
93	не заботится о	1	1
94	то ни было	2	1
