N	2gram	Losev_Vesc_1	Formalny
1	т е	55	32
2	и не	29	30
3	вовсе не	10	28
4	и в	21	27
5	может быть	16	25
6	не может	17	24
7	так и	3	21
8	и его	2	19
9	в этом	4	18
10	таким образом	8	18
11	а не	19	17
12	самом деле	4	16
13	точки зрения	5	16
14	то же	6	15
15	в нем	2	15
16	и пр	6	15
17	между ними	3	15
18	на самом	1	14
19	как и	8	14
20	с точки	3	14
21	не в	5	12
22	если бы	5	12
23	и т	19	11
24	в самом	9	11
25	в жизни	3	11
26	и от	3	11
27	но и	18	10
28	в действительности	7	9
29	не только	36	9
30	так как	7	9
31	так же	1	9
32	отнюдь не	5	8
33	как бы	12	8
34	при этом	1	8
35	ни в	1	8
36	как мы	4	8
37	в пределах	1	8
38	только в	14	8
39	как раз	9	8
40	то что	27	8
41	и все	5	8
42	что в	9	8
43	с тем	5	7
44	не менее	3	7
45	потому что	16	7
46	его в	2	7
47	в его	2	7
48	в том	8	7
49	если мы	8	7
50	все это	5	7
51	совершенно не	5	7
52	в то	3	7
53	действительности и	5	6
54	еще не	8	6
55	и понимания	2	6
56	но в	5	6
57	все эти	3	6
58	т д	19	6
59	в своей	5	6
60	и ее	18	6
61	всяком случае	2	6
62	все время	1	6
63	было бы	14	6
64	что он	1	6
65	с другой	6	6
66	вместе с	1	6
67	в данном	5	6
68	все же	4	6
69	и для	9	6
70	бы в	5	6
71	хотя бы	6	6
72	в своих	1	6
73	во всяком	3	6
74	в зависимости	1	5
75	зависимости от	1	5
76	но не	5	5
77	в истории	1	5
78	независимо от	5	5
79	что именно	1	5
80	ни было	4	5
81	того чтобы	3	5
82	сводится к	2	5
83	в ней	12	5
84	что они	6	5
85	в дальнейшем	1	5
86	никогда не	2	5
87	и их	7	5
88	тем что	2	5
89	именно так	1	5
90	и потому	5	5
91	тому как	4	5
92	что же	8	5
93	и формы	2	5
94	не является	1	5
95	в результате	3	5
96	другой стороны	2	5
97	можно говорить	2	4
98	не есть	49	4
99	мы не	6	4
100	смысл и	9	4
101	быть понято	2	4
102	бы то	4	4
103	и как	8	4
104	но ведь	2	4
105	на ее	3	4
106	бы ни	2	4
107	подобно тому	4	4
108	то ни	4	4
109	данном случае	2	4
110	в ее	7	4
111	в слове	2	4
112	мы знаем	1	4
113	том что	8	4
114	по себе	13	4
115	она не	4	4
116	в смысле	12	4
117	тогда когда	5	4
118	мы можем	4	4
119	могут быть	1	4
120	к тому	3	4
121	следовательно и	1	4
122	и восприятия	1	4
123	о том	6	4
124	как ее	2	4
