N	3gram	Bakhtin_Pr_1	VerxiiNi
1	с точки зрения	13	6
2	во всяком случае	3	6
3	более или менее	1	5
4	до сих пор	2	5
5	по крайней мере	1	5
6	друг с другом	1	5
7	для того чтобы	1	5
8	о том что	1	4
9	но все же	2	4
10	а так как	1	3
11	точно так же	1	3
12	в конце концов	5	3
13	так же как	1	3
14	всяком случае не	1	3
15	в том что	6	3
16	то же самое	1	2
17	в этом отношении	3	2
18	может быть и	1	2
19	то ни было	1	2
20	по сравнению с	1	2
21	бы то ни	2	2
22	таким образом в	1	2
23	то же время	9	2
24	этой точки зрения	1	2
25	с самого начала	1	2
26	можно сказать что	1	2
27	в то же	9	2
28	и в этом	5	2
29	и в сущности	2	1
30	даже там где	2	1
31	и есть то	1	1
32	мира должна была	1	1
33	притом не только	1	1
34	по отношению к	8	1
35	имеем в виду	1	1
36	в самом деле	2	1
37	в настоящее время	1	1
38	и люди и	1	1
39	своей индивидуальности и	1	1
40	а следовательно и	1	1
41	и в то	2	1
42	до известной степени	1	1
43	сами по себе	3	1
44	его мировоззрения в	1	1
45	что все эти	1	1
46	все те же	1	1
47	перестает быть тем	1	1
48	но и как	1	1
49	те же что	1	1
50	найти в нем	1	1
51	может быть по	1	1
52	в данном случае	2	1
53	не потому что	1	1
54	в первом случае	1	1
55	но в то	5	1
56	это однако не	1	1
57	и не могут	1	1
58	не только как	1	1
59	не в том	1	1
60	а не как	4	1
61	мы уже говорили	1	1
62	тем или иным	1	1
63	один из этих	1	1
64	друг к другу	1	1
65	до настоящего времени	1	1
66	с другой стороны	3	1
67	как бы в	2	1
68	из этих трех	1	1
69	не совпадает с	1	1
70	а в том	1	1
71	только то что	2	1
72	у него в	1	1
73	не может быть	4	1
74	но с другой	2	1
75	в то время	1	1
76	так и в	1	1
77	в свою очередь	1	1
78	это и есть	1	1
79	в одном из	1	1
80	и никогда не	1	1
81	не только не	1	1
82	и превращается в	1	1
83	мы имеем в	1	1
84	же что и	1	1
85	и не потому	1	1
86	он в конце	1	1
87	может показаться что	1	1
88	тем что в	1	1
89	их он может	1	1
90	что и в	1	1
91	и только в	1	1
92	именно потому что	2	1
