N	4gram	Vinokur_St_1	Freidism
1	в то же время	4	4
2	но в то же	2	2
3	может быть и речи	1	1
4	до сих пор не	1	1
5	ни в каком случае	1	1
6	протяжении всей его жизни	1	1
7	во что бы то	1	1
8	в каком случае не	1	1
9	только с точки зрения	1	1
10	во всяком случае в	2	1
11	ответ на этот вопрос	1	1
12	в том что в	2	1
13	на чем не основано	1	1
14	что же это за	1	1
15	с точки зрения его	1	1
16	я не сомневаюсь что	1	1
17	что бы то ни	1	1
18	не кем иным как	1	1
19	бы то ни стало	1	1
20	говорить о том что	1	1
21	так и в отношении	1	1
22	что с точки зрения	1	1
23	не может быть и	1	1
24	и в данном случае	1	1
25	ни на чем не	1	1
26	на протяжении всей его	1	1
27	во всяком случае не	1	1
28	в данном случае в	2	1
29	и по отношению к	1	1
30	для того чтобы получить	1	1
31	ничего общего с этим	1	1
32	нам до сих пор	1	1
