N	2gram	Bakhtin_sl_1	Sotsiolo
1	все это	5	7
2	в том	3	5
3	в этом	12	5
4	и только	1	3
5	для нас	2	3
6	не только	16	3
7	и в	41	3
8	не в	7	3
9	в его	13	3
10	за пределы	4	2
11	как только	3	2
12	но и	16	2
13	было бы	3	2
14	в смысле	4	2
15	исторического развития	2	2
16	только в	6	2
17	дело не	2	2
18	далеко не	5	2
19	в результате	3	2
20	тем более	1	2
21	том что	2	2
22	в частности	2	2
23	или даже	2	2
24	и что	1	2
25	еще не	4	2
26	только как	1	2
27	таким образом	9	2
28	может быть	14	2
29	как бы	12	2
30	по существу	3	2
31	то же	14	2
32	не из	2	1
33	крайней мере	1	1
34	в свои	1	1
35	что все	2	1
36	стиля как	1	1
37	же не	1	1
38	противном случае	1	1
39	быть не	1	1
40	наконец в	2	1
41	даже в	2	1
42	в этой	1	1
43	тому что	2	1
44	индивидуальность и	1	1
45	эти два	1	1
46	выходит за	3	1
47	на все	2	1
48	изучения и	1	1
49	с другой	5	1
50	его в	3	1
51	на определенных	1	1
52	с ним	7	1
53	лучшем случае	2	1
54	это не	6	1
55	науки о	1	1
56	новые и	1	1
57	на этот	1	1
58	именно в	3	1
59	они ни	1	1
60	все же	7	1
61	в противном	1	1
62	один из	4	1
63	и есть	1	1
64	перед нами	4	1
65	в то	14	1
66	и наконец	4	1
67	жанра и	1	1
68	а с	2	1
69	в процессе	4	1
70	прежде всего	8	1
71	слова но	1	1
72	произведение как	1	1
73	в них	6	1
74	так и	11	1
75	не было	3	1
76	одной стороны	4	1
77	те же	2	1
78	но только	1	1
79	и не	16	1
80	никогда не	3	1
81	он по	1	1
82	мы не	2	1
83	же время	12	1
84	ничего не	4	1
85	не мешает	1	1
86	и о	2	1
87	все эти	9	1
88	именно на	1	1
89	как и	4	1
90	между собой	2	1
91	бы в	1	1
92	с помощью	1	1
93	для этого	1	1
94	вне пределов	1	1
95	в сущности	13	1
96	формальных признаков	1	1
97	пришлось бы	1	1
98	но она	1	1
99	образом в	3	1
100	конечно не	3	1
101	и его	14	1
102	в этих	2	1
103	место в	1	1
104	автор не	4	1
105	связи с	2	1
106	лингвистику и	1	1
107	в лучшем	2	1
108	хотя бы	3	1
109	вступает в	1	1
110	в целом	2	1
111	не может	14	1
112	в своей	7	1
113	не от	1	1
114	а в	6	1
115	что она	1	1
116	о том	3	1
117	входящие в	1	1
118	не дает	1	1
119	к изучению	1	1
120	и потому	4	1
121	в него	3	1
122	но именно	4	1
123	в котором	2	1
124	между ними	2	1
125	точке зрения	2	1
126	автор с	1	1
127	литературе и	1	1
128	и стиля	2	1
129	все то	1	1
130	может не	8	1
131	столь же	2	1
132	время в	1	1
133	всяком случае	5	1
134	не выходит	3	1
135	вовсе не	7	1
136	ни были	3	1
137	не исчерпываются	1	1
138	с одной	4	1
139	а между	2	1
140	но не	2	1
141	у него	3	1
142	в виде	2	1
143	этого и	1	1
144	в данном	3	1
145	между тем	2	1
146	но как	1	1
147	два типа	1	1
148	и по	2	1
149	процессе живого	1	1
150	и остаются	1	1
151	по крайней	1	1
152	и более	1	1
153	том и	2	1
154	во всяком	7	1
155	бы они	1	1
156	в каждом	4	1
157	они не	1	1
