N	2gram	Voloshinov_1	TeoriaLi
1	не только	1	18
2	и не	1	16
3	и в	3	13
4	может быть	1	12
5	а не	1	10
6	то же	1	9
7	в его	1	9
8	но и	1	8
9	точки зрения	1	7
10	в то	1	7
11	во второй	1	7
12	же время	1	6
13	литературного произведения	1	4
14	не менее	1	4
15	не может	4	4
16	художественного произведения	1	3
17	для него	1	3
18	художественного целого	1	3
19	и больше	1	2
20	с точки	1	2
21	если бы	1	2
22	к тому	1	2
23	при анализе	1	1
24	и на	1	1
25	если в	2	1
26	в центре	2	1
27	он в	1	1
28	из этих	1	1
29	в иную	1	1
30	целого во	1	1
31	связи с	1	1
32	сравнении с	1	1
33	в каждом	1	1
34	вопрос что	1	1
35	на нее	1	1
36	деятельности в	1	1
37	ситуации и	1	1
38	может не	1	1
39	один из	2	1
40	на примере	1	1
41	по своим	1	1
42	бы в	1	1
43	с другими	1	1
44	мы видим	1	1
45	может и	1	1
46	о литературе	1	1
47	можно назвать	1	1
