N	3gram	Savitsky_P_1	Istorich
1	и т д	1	15
2	с другой стороны	1	7
3	в том что	4	5
4	с одной стороны	3	2
5	том что в	1	2
6	и то что	1	2
7	во всяком случае	1	2
8	заключается в том	2	1
9	так же как	1	1
10	в том числе	2	1
11	в большинстве случаев	1	1
12	друг с другом	1	1
13	с того света	1	1
14	и пр есть	1	1
15	что в этом	1	1
16	мы не будем	1	1
17	во многих случаях	1	1
18	но в этом	1	1
19	не только в	4	1
20	сами по себе	3	1
21	мы видим в	1	1
22	в этом стремлении	1	1
23	вместе с тем	1	1
24	мы знаем что	1	1
25	в северной америке	2	1
26	прежде всего мы	1	1
27	и эти черты	1	1
28	но и в	2	1
29	с точки зрения	3	1
30	не может быть	1	1
