N	2gram	Tiupa_Hudo_2	Komedia
1	и в	28	22
2	и не	18	21
3	т е	2	16
4	в дом	1	14
5	том что	19	13
6	в том	15	12
7	со стороны	3	11
8	так как	1	11
9	потому что	2	10
10	вместе с	2	9
11	сих пор	2	9
12	до сих	2	9
13	в самом	5	9
14	в этом	13	8
15	что и	4	8
16	к ней	2	8
17	его в	2	8
18	если бы	6	8
19	в его	11	8
20	о том	12	8
21	что он	8	8
22	в глазах	6	8
23	в своем	5	8
24	не по	2	7
25	в конце	1	7
26	об этом	7	7
27	а в	6	7
28	то же	6	7
29	о чем	8	7
30	едва ли	3	7
31	при этом	11	7
32	как раз	4	6
33	так что	1	6
34	того чтобы	4	6
35	еще не	3	6
36	к тому	7	6
37	для того	4	6
38	и его	5	6
39	в то	6	6
40	тому же	2	6
41	во время	1	6
42	и что	1	6
43	самом деле	3	6
44	может быть	8	6
45	к этому	1	6
46	же время	4	5
47	прежде всего	3	5
48	не менее	5	5
49	все это	3	5
50	к нему	3	5
51	как это	7	5
52	в своей	6	5
53	что в	5	5
54	с ним	7	5
55	отношение к	2	5
56	более чем	2	5
57	хотя и	1	5
58	по отношению	7	5
59	любви к	2	5
60	и сам	5	5
61	тем что	6	5
62	а по	2	5
63	он не	4	5
64	но в	2	5
65	к себе	3	5
66	не только	11	5
67	из них	2	5
68	вовсе не	2	4
69	в себе	9	4
70	и здесь	1	4
71	все же	2	4
72	и с	6	4
73	бы в	1	4
74	так же	3	4
75	и для	2	4
76	т п	2	4
77	так и	8	4
78	точки зрения	2	4
79	он знает	2	4
80	не в	13	4
81	но все	1	4
82	между собой	1	4
83	хотя бы	2	4
84	и т	4	4
85	но и	9	4
86	на себя	3	4
87	то что	6	4
88	на него	3	4
89	нет и	1	4
90	не является	2	4
91	он был	1	4
92	у него	5	4
93	когда он	1	4
94	до конца	1	4
95	несмотря на	3	4
96	с другой	3	4
97	сразу же	1	4
98	однако в	2	4
99	с самого	1	4
100	а не	14	4
101	в ней	3	4
102	что она	7	4
103	отнюдь не	2	4
104	самого начала	1	4
105	и тот	1	3
106	не могла	5	3
107	любовь к	1	3
108	не позволяет	1	3
109	прежде чем	2	3
110	в них	3	3
111	приводит к	2	3
112	не знает	1	3
113	говорить о	2	3
114	как и	11	3
115	в которой	1	3
116	перед ним	1	3
117	из себя	1	3
118	одной из	3	3
119	в двух	2	3
120	не может	4	3
121	на это	1	3
122	себе в	2	3
123	отношению к	7	3
124	как бы	5	3
125	что не	2	3
126	на ее	3	3
127	бы он	1	3
128	при виде	1	3
129	по имени	1	3
130	в нем	3	3
131	с этой	1	3
132	в т	2	3
133	который в	2	3
134	представляет собой	1	3
135	узнав о	1	3
136	в ее	18	3
137	дело с	2	3
138	в начале	1	3
139	должно было	1	3
140	никогда не	5	3
141	и даже	1	3
142	для произведения	1	3
143	на месте	1	3
144	с точки	2	3
145	и к	2	3
146	в других	4	3
147	теперь же	3	3
148	следует что	1	3
149	все что	3	3
150	то ни	1	3
151	среди которых	1	3
152	как он	3	3
153	в течение	1	3
154	со временем	1	3
155	один из	2	3
156	и еще	1	3
157	ничего не	5	3
158	том как	2	3
159	тем не	4	3
160	на них	1	3
161	не о	1	3
162	одной стороны	3	3
163	в этой	5	3
164	с одной	3	3
165	их в	1	3
166	из своего	1	3
167	с его	5	3
168	не зная	2	3
169	столь же	3	3
170	ему не	1	3
171	в частности	7	3
172	с дочерью	1	3
173	дома и	1	3
174	чем в	1	3
175	от нее	1	3
176	было бы	3	3
177	в глаза	1	3
178	отца не	1	3
179	же самое	3	3
180	всего лишь	3	2
181	с женой	2	2
182	ней в	1	2
183	одним из	1	2
184	исходя из	1	2
185	мешает ему	1	2
186	в другом	2	2
187	все еще	1	2
188	в герое	1	2
189	только как	1	2
190	видно что	1	2
191	бы то	1	2
192	что они	4	2
193	сам он	2	2
194	людей и	1	2
195	не будет	2	2
196	здесь и	1	2
197	время как	1	2
198	здесь не	2	2
199	сама она	1	2
200	но при	3	2
201	хочет быть	1	2
202	не было	6	2
203	и он	3	2
204	из этой	1	2
205	и все	7	2
206	как видим	2	2
207	к концу	1	2
208	своей любви	1	2
209	кого ты	1	2
210	к этой	1	2
211	обстоит дело	1	2
212	это в	1	2
213	мы не	1	2
214	в основе	2	2
215	бы не	3	2
216	который по	1	2
217	при всей	1	2
218	дело не	2	2
219	с другими	3	2
220	во всех	1	2
221	а на	1	2
222	наряду с	5	2
223	ли не	1	2
224	ли в	3	2
225	между ними	2	2
226	по ее	1	2
227	не мог	1	2
228	нуждается в	2	2
229	из города	1	2
230	ухода из	1	2
231	раз в	3	2
232	совершенно не	1	2
233	отношения к	1	2
234	в таком	1	2
235	человека не	1	2
236	а затем	1	2
237	о которой	2	2
238	между тем	8	2
239	то время	1	2
240	не с	2	2
241	к отцу	1	2
242	этом случае	1	2
243	трудно было	1	2
244	а как	2	2
245	как мы	2	2
246	все время	3	2
247	из этого	1	2
248	в качестве	4	2
249	человека и	3	2
250	конечном счете	3	2
251	это не	6	2
252	г в	1	2
253	в силу	1	2
254	в сущности	1	2
255	и о	4	2
256	она не	5	2
257	с радостью	1	2
