N	3gram	Berdyaev_O_1	StatiiOP
1	в том что	1	11
2	не может быть	2	5
3	как например в	1	4
4	в этом отношении	1	4
5	во всяком случае	1	4
6	о том что	1	4
7	прежде всего в	1	3
8	с тем что	2	3
9	не в том	1	3
10	на то что	1	3
11	может быть назван	1	2
12	но и в	2	2
13	и не в	1	2
14	что это за	1	2
15	что он был	1	2
16	и в этом	2	2
17	вот что нужно	1	2
18	всех действующих лиц	1	1
19	а иногда и	1	1
20	потому что в	1	1
21	а не в	2	1
22	в самом деле	1	1
23	не было и	1	1
24	сам по себе	1	1
25	ко всему этому	1	1
26	то что в	1	1
27	он должен был	1	1
28	в самом начале	1	1
29	я имею в	1	1
30	все это было	1	1
31	имею в виду	1	1
32	от того что	1	1
33	сказать что они	2	1
34	что у него	2	1
35	и в самом	1	1
36	для того чтобы	3	1
37	может быть он	1	1
38	нужно видеть в	1	1
