N	3gram	Tiupa_Lite_1	Morfolog
1	в связи с	4	8
2	не может быть	1	8
3	подобно тому как	2	5
4	по отношению к	2	4
5	с точки зрения	2	4
6	а также и	1	4
7	с другой стороны	1	4
8	тем не менее	2	4
9	на самом деле	1	3
10	но все же	1	3
11	состоит в том	5	2
12	с одной стороны	2	2
13	на первый взгляд	1	2
14	в большинстве случаев	1	2
15	в том что	11	2
16	между прочим и	1	1
17	это уже не	1	1
18	том что он	1	1
19	следующим образом если	1	1
20	до сих пор	1	1
21	для этой цели	1	1
22	бы то ни	1	1
23	можно было бы	1	1
24	во всех подобных	1	1
25	эти и подобные	1	1
26	нет не только	1	1
27	в данном случае	4	1
28	всех подобных случаях	1	1
29	иметь в виду	1	1
30	все более и	1	1
31	во всяком случае	2	1
32	см ниже в	1	1
33	то же время	5	1
34	по тем же	1	1
35	далеко не всегда	1	1
36	о том что	2	1
37	с самого начала	1	1
38	с собой в	1	1
39	на то что	1	1
40	в то же	5	1
41	может быть названа	1	1
42	более и более	1	1
43	все же в	2	1
44	здесь как и	1	1
