N	2gram	Medvedev_B_1	Narrotol
1	не только	1	26
2	а не	1	17
3	и не	2	14
4	и в	1	13
5	в данном	1	10
6	так и	1	9
7	все же	1	6
8	прежде всего	1	6
9	таким образом	1	5
10	далеко не	1	5
11	с другой	1	5
12	отнюдь не	1	4
13	об этом	1	4
14	в своей	1	4
15	что в	1	4
16	не следует	1	3
17	к ней	1	3
18	никак не	1	3
19	должна быть	1	2
20	в ней	2	2
21	еще не	1	2
22	на самом	1	2
23	было бы	1	2
24	и более	1	2
25	говорить о	1	2
26	не вполне	1	2
27	в области	1	2
28	у нас	3	2
29	можно было	2	2
30	не все	1	2
31	о них	1	2
32	тем более	1	2
33	видеть в	2	1
34	вопрос о	1	1
35	иначе не	1	1
36	за пределы	1	1
37	и нет	1	1
38	для которой	1	1
39	его не	1	1
40	учителя словесности	1	1
41	между ними	1	1
42	всяком случае	1	1
43	более что	1	1
44	как будто	1	1
45	и о	1	1
46	что все	1	1
47	словесного творчества	1	1
48	не со	1	1
49	и во	1	1
50	следовало бы	1	1
51	одной из	1	1
52	о художественном	1	1
53	не о	1	1
54	как часть	1	1
55	в речи	1	1
56	свести к	1	1
57	такое определение	1	1
58	и потому	1	1
59	все это	2	1
60	будто бы	1	1
61	во всяком	1	1
