N	4gram	Vygotskiy__4	Marksizm
1	одного и того же	5	4
2	бы то ни было	1	4
3	одно и то же	6	3
4	и то же слово	3	2
5	с одной стороны и	2	2
6	в собственном смысле слова	1	2
7	в том что он	1	2
8	все более и более	2	2
9	одним и тем же	3	2
10	с нашей точки зрения	2	2
11	к тому или иному	2	1
12	какое бы то ни	1	1
13	в том числе и	2	1
14	одной стороны и от	1	1
15	в самом деле как	1	1
16	не что иное как	1	1
17	друг с другом как	1	1
18	то же самое слово	1	1
19	но во всяком случае	1	1
20	бы они ни были	1	1
21	но для того чтобы	1	1
22	но как мы уже	1	1
23	мы можем сказать что	1	1
24	в том что это	1	1
25	не говоря уже о	1	1
