N	3gram	Medvedev_U_1	VeschiIm
1	не может быть	4	18
2	бы то ни	3	9
3	то ни было	3	9
4	по крайней мере	2	6
5	в том что	2	6
6	на то что	1	6
7	и то что	2	4
8	не только в	1	4
9	то же время	3	4
10	в то же	3	4
11	более или менее	1	3
12	в самом деле	2	3
13	и не только	1	3
14	и в то	1	3
15	сам по себе	1	3
16	но что такое	1	3
17	все же не	1	3
18	само по себе	1	3
19	можно сказать что	1	2
20	но даже и	2	2
21	ничего не значит	1	2
22	в отдельности и	1	2
23	и в частности	2	2
24	в данном случае	1	2
25	не только к	1	2
26	так или иначе	1	2
27	это было бы	1	1
28	в этом смысле	2	1
29	в этом случае	1	1
30	на первый план	1	1
31	до сих пор	2	1
32	в той же	1	1
33	а не то	1	1
34	хотя бы и	2	1
35	и с другой	1	1
36	но в то	1	1
37	с одной стороны	1	1
38	в конце концов	2	1
39	или по крайней	1	1
40	не в том	1	1
41	она все же	1	1
42	с другой стороны	3	1
43	и прежде всего	1	1
44	тех или иных	2	1
45	оно все же	1	1
46	друг с другом	1	1
47	прежде всего понятие	1	1
