N	3gram	Vinokur_Ku_3	Mirosoze
1	не может быть	3	8
2	есть прежде всего	1	5
3	для того чтобы	11	4
4	что и в	2	4
5	до сих пор	8	3
6	к тому что	1	3
7	так же как	1	3
8	от того что	2	3
9	и в этом	4	3
10	что она не	1	2
11	и той же	1	2
12	также и в	1	2
13	потому что он	1	2
14	но для этого	1	2
15	есть один из	1	2
16	может быть и	1	2
17	так как он	2	2
18	т е в	1	2
19	в каждом человеке	1	2
20	о том что	3	2
21	одной и той	1	2
22	по отношению к	2	2
23	после того как	4	2
24	в том что	8	2
25	мы увидим что	1	2
26	потому что в	2	1
27	ничего не стоит	1	1
28	и в нашем	1	1
29	только тогда когда	4	1
30	нельзя было бы	1	1
31	по своему значению	1	1
32	с точки зрения	16	1
33	и в той	1	1
34	сам по себе	3	1
35	а также в	1	1
36	что он не	1	1
37	но и в	1	1
38	а может быть	1	1
39	вполне и всецело	1	1
40	тому как в	1	1
41	все те же	1	1
42	и вот с	1	1
43	в той мере	1	1
44	не будет уже	1	1
45	который может быть	1	1
46	как в самом	1	1
47	не потому что	1	1
48	чтобы не было	1	1
49	той мере в	1	1
50	смысле этого слова	2	1
51	бы для этого	1	1
52	по природе своей	1	1
53	мере в какой	1	1
54	это не есть	1	1
55	удивительно что и	1	1
56	на наших глазах	1	1
57	но также и	1	1
58	а еще более	1	1
59	в котором в	1	1
60	той или иной	5	1
61	и отсутствие у	1	1
62	если бы не	2	1
63	сама по себе	2	1
64	на самом деле	3	1
65	нас прежде всего	1	1
66	чем у нас	1	1
67	должно быть в	2	1
68	что он в	1	1
69	именно потому что	1	1
