N	2gram	Losev_Vlad_1	VerxiiNi
1	и в	31	26
2	таким образом	3	22
3	с тем	2	18
4	в этом	14	15
5	вместе с	3	15
6	точки зрения	2	13
7	в том	11	11
8	из этих	2	10
9	не только	24	10
10	и с	14	10
11	может быть	6	10
12	после смерти	4	10
13	связи с	1	9
14	в области	1	9
15	так как	8	9
16	но и	19	9
17	что в	14	9
18	но не	3	8
19	в общем	3	8
20	главным образом	4	8
21	и у	4	8
22	с другой	3	8
23	и не	17	8
24	как на	2	8
25	но в	12	7
26	но все	1	7
27	из них	2	7
28	том что	14	7
29	потому что	11	7
30	в эпоху	1	7
31	к нему	4	7
32	с одной	1	7
33	то что	18	7
34	а с	5	7
35	одной стороны	1	7
36	того же	6	6
37	представление о	1	6
38	все же	3	6
39	все эти	3	6
40	в себе	4	6
41	всяком случае	2	6
42	в отношении	3	6
43	к тому	3	6
44	так и	6	6
45	о том	11	6
46	в конце	9	6
47	что и	5	6
48	несмотря на	4	6
49	и потому	6	6
50	все это	5	6
51	мы должны	2	6
52	во всяком	2	6
53	отношение к	3	5
54	и к	6	5
55	тому же	2	5
56	в силу	1	5
57	лишь в	2	5
58	или менее	3	5
59	того чтобы	2	5
60	никогда не	9	5
61	для того	2	5
62	образом в	2	5
63	в его	12	5
64	а не	1	5
65	к жизни	2	5
66	и для	2	5
67	так же	1	5
68	одной из	2	5
69	более или	3	5
70	в котором	6	4
71	то же	6	4
72	при жизни	2	4
73	в течение	9	4
74	в самом	2	4
75	учение о	2	4
76	в этой	4	4
77	и по	8	4
78	что все	2	4
79	то есть	3	4
80	с другими	1	4
81	он не	10	4
82	далеко не	1	4
83	бога и	2	4
84	и тогда	1	4
85	в то	8	4
86	очень мало	2	4
87	в нем	4	4
88	а в	9	4
89	и что	6	4
90	и только	1	4
91	только в	9	4
92	и вместе	1	4
93	на этот	6	4
94	не может	6	4
95	из которых	1	4
96	и от	5	4
97	в этих	1	4
98	во время	3	4
99	что он	12	4
100	в виде	3	4
101	не вполне	1	3
102	к богу	1	3
103	в своем	4	3
104	когда он	5	3
105	и как	4	3
106	в которой	4	3
107	так или	1	3
108	и те	1	3
109	и если	5	3
110	при этом	2	3
111	тем не	2	3
112	если бы	1	3
113	не менее	2	3
114	как о	1	3
115	представляет собой	1	3
116	к концу	2	3
117	в других	1	3
118	и о	2	3
119	по учению	2	3
120	уже с	1	3
121	с самого	1	3
122	ясно что	2	3
123	можно сказать	6	3
124	в значительной	1	3
125	того что	2	3
126	но с	1	3
127	хотя бы	2	3
128	в качестве	6	3
129	так что	10	3
130	уже не	3	3
131	а после	1	3
132	для него	7	3
133	в одном	1	3
134	случае не	1	3
135	и даже	15	3
136	или иначе	1	3
137	с ней	1	3
138	в связи	3	3
139	с этой	1	3
140	в результате	2	3
141	у них	1	3
142	конце концов	3	3
143	и другие	1	3
144	к этому	6	3
145	в таком	1	3
146	одним из	2	2
147	и это	2	2
148	когда человек	1	2
149	и больше	1	2
150	мы имеем	1	2
151	ни у	1	2
152	еще не	2	2
