N	3gram	Savitsky_E_1	DiskursI
1	в отличие от	1	12
2	в том что	6	6
3	в данном случае	2	6
4	то же время	14	5
5	с одной стороны	8	4
6	в то же	15	4
7	в этом отношении	3	4
8	так и в	2	3
9	той или иной	4	3
10	не может быть	2	3
11	в соответствии с	1	2
12	по большей части	1	2
13	в исторической перспективе	1	2
14	не более чем	2	2
15	что же касается	1	2
16	и прежде всего	3	2
17	и того же	1	2
18	в этом мире	1	2
19	одного и того	1	2
20	заключает в себе	3	2
21	в качестве примера	1	2
22	дело в том	1	2
23	не сводится к	1	2
24	с точки зрения	16	2
25	одной стороны и	6	2
26	представляется несомненным что	1	1
27	а также от	1	1
28	прежде всего в	2	1
29	в одном из	2	1
30	в том числе	1	1
31	в большинстве случаев	2	1
32	бы то ни	4	1
33	и в частности	2	1
34	а также и	1	1
35	и в то	8	1
36	можно сказать что	3	1
37	настоящего времени в	1	1
38	с другой стороны	2	1
39	то ни было	4	1
40	как и его	1	1
41	с другой в	1	1
42	может быть сведена	1	1
43	но даже при	1	1
44	то есть в	1	1
45	в этот период	1	1
46	так и с	1	1
47	в пределах одного	1	1
48	того или иного	4	1
49	в значительной степени	1	1
50	речь идет о	1	1
51	в себе потенцию	1	1
52	то что в	2	1
53	он сам в	1	1
54	мысль о возможности	1	1
55	в применении к	3	1
56	задаться вопросом не	1	1
57	говоря уже о	1	1
58	в полной мере	1	1
59	пожалуй и не	2	1
60	не могут быть	1	1
61	в себе не	1	1
62	в той или	3	1
63	оставляя открытым вопрос	1	1
64	та или иная	1	1
65	то что может	1	1
66	другой стороны в	1	1
67	но также и	1	1
68	не говоря уже	2	1
69	только в качестве	1	1
70	друг от друга	2	1
71	быть сведена к	1	1
72	и не быть	1	1
73	том числе и	1	1
74	во всяком случае	3	1
75	можно утверждать что	1	1
