N	3gram	Tiupa_Anal_2	Myslijsy
1	по отношению к	4	13
2	в том что	6	13
3	не может быть	1	9
4	тем не менее	3	6
5	и в этом	4	6
6	с другой стороны	2	5
7	но и в	1	4
8	в свою очередь	1	4
9	в этом смысле	2	4
10	в том смысле	1	4
11	а между тем	1	3
12	подобно тому как	3	3
13	с точки зрения	2	3
14	в противном случае	1	3
15	с одной стороны	4	3
16	сама по себе	1	3
17	а в том	1	3
18	то же время	2	3
19	не только в	2	3
20	в то же	2	3
21	что иное как	1	2
22	из самого себя	1	2
23	языка то есть	1	2
24	в таком случае	2	2
25	со стороны других	1	2
26	могут быть только	1	2
27	на этот вопрос	1	2
28	но и для	1	2
29	по крайней мере	3	2
30	то и другое	1	2
31	к тому что	1	2
32	в применении к	1	2
33	не только для	1	2
34	что при таком	1	2
35	не только не	2	2
36	не что иное	1	2
37	как и в	3	2
38	но и все	1	1
39	при таком воззрении	1	1
40	в каждом отдельном	1	1
41	в ответ на	2	1
42	потому что я	1	1
43	сами по себе	1	1
44	не совпадает с	1	1
45	только то что	1	1
46	в этом отношении	3	1
47	как и наоборот	1	1
48	можно было бы	2	1
49	в эту минуту	1	1
50	что же до	1	1
51	предполагает не только	2	1
52	с этой точки	1	1
53	не в состоянии	1	1
54	более или менее	1	1
55	в этом месте	1	1
56	все что ни	1	1
57	не имело бы	1	1
58	из виду что	1	1
59	в нас самих	1	1
60	заключается в том	1	1
61	жизни но и	1	1
62	в связи с	1	1
63	это не так	1	1
64	то что на	1	1
65	между тем как	1	1
66	до такой степени	1	1
67	не может вполне	1	1
68	между нами и	1	1
69	и воля и	1	1
70	том смысле что	1	1
71	во всех языках	1	1
72	и тем самым	2	1
73	о том что	6	1
74	этой точки зрения	1	1
75	другой стороны и	1	1
76	не менее в	1	1
77	на то что	2	1
78	которые могут быть	1	1
79	а не его	1	1
80	точно так же	1	1
81	от него ничего	1	1
