N	3gram	Tiupa_Hudo_2	Otkroven
1	у него в	1	5
2	для того чтобы	3	3
3	и в этом	2	2
4	человека в его	1	2
5	а не в	2	2
6	это было бы	1	2
7	не может быть	3	2
8	сказать что они	1	2
9	человека к богу	1	1
10	как будто бы	2	1
11	как например в	1	1
12	сказать про него	1	1
13	с утра до	1	1
14	том что в	3	1
15	в самом деле	3	1
16	как бы в	1	1
17	и в том	1	1
18	развивал в своей	1	1
19	о том как	2	1
20	так и не	4	1
21	все та же	1	1
22	в его жизни	1	1
23	и все же	1	1
24	человека а не	1	1
25	том случае если	1	1
26	после того как	1	1
27	о том что	7	1
28	в этом отношении	1	1
29	самое главное в	1	1
30	как это часто	1	1
31	ни с какой	1	1
32	и в самом	1	1
33	ли может быть	1	1
34	ни с чем	1	1
35	в том что	11	1
36	а иногда и	1	1
37	нет у него	1	1
38	это часто случается	1	1
39	в том случае	1	1
40	и то что	1	1
41	которым можно было	1	1
42	что нет у	1	1
43	утра до вечера	1	1
44	что это за	1	1
45	в самом начале	1	1
46	и все что	1	1
47	как и в	3	1
48	я верю в	1	1
