N	2gram	Losev_Vlad_1	Psycholo
1	то что	18	37
2	и в	31	30
3	в том	11	27
4	что в	14	24
5	потому что	11	23
6	и что	6	23
7	том что	14	21
8	таким образом	3	20
9	того чтобы	2	20
10	для того	2	20
11	на то	5	17
12	что он	12	17
13	и мы	2	16
14	не только	24	16
15	в этом	14	14
16	в самом	2	14
17	так же	1	13
18	в нас	4	13
19	как раз	7	13
20	то есть	3	13
21	вместе с	3	12
22	одной стороны	1	12
23	с одной	1	12
24	как на	2	11
25	если бы	1	11
26	что мы	2	11
27	может быть	6	11
28	о том	11	10
29	не может	6	9
30	никогда не	9	9
31	мы увидим	3	9
32	сказать что	7	9
33	и когда	1	9
34	с другой	3	9
35	и то	10	9
36	так как	8	9
37	сейчас же	1	8
38	не в	5	8
39	с тем	2	8
40	а не	1	8
41	к тому	3	8
42	и это	2	8
43	мы имеем	1	8
44	при этом	2	8
45	того что	2	8
46	тому что	1	8
47	самом деле	1	8
48	заключается в	1	8
49	все же	3	7
50	точки зрения	2	7
51	в нем	4	7
52	как это	7	7
53	и т	2	7
54	то же	6	7
55	мы можем	1	7
56	этих двух	1	7
57	и как	4	7
58	но не	3	7
59	и здесь	3	6
60	как и	4	6
61	или в	1	6
62	о котором	2	6
63	жизни и	5	6
64	и для	2	6
65	совершенно не	2	6
66	но и	19	6
67	и не	17	6
68	и его	7	6
69	что если	1	6
70	ясно что	2	6
71	тем что	2	6
72	по мнению	1	6
73	и тем	1	6
74	мы уже	7	6
75	именно в	1	6
76	факт что	1	6
77	и если	5	6
78	на этом	2	6
79	говорит что	4	6
80	уже в	7	6
81	что она	2	6
82	никак не	4	6
83	что все	2	6
84	что с	2	6
85	в своем	4	6
86	в себе	4	5
87	бы в	1	5
88	еще не	2	5
89	что они	3	5
90	искусства и	1	5
91	с и	2	5
92	ответ на	2	5
93	сводится к	1	5
94	по этому	2	5
95	дело с	1	5
96	как мы	9	5
97	в целом	3	5
98	один из	4	5
99	и потому	6	5
100	а с	5	5
101	только в	9	5
102	только не	1	5
103	другой стороны	3	5
104	в этой	4	5
105	когда он	5	5
106	несмотря на	4	5
107	в своих	5	5
108	но в	12	5
109	и есть	1	5
110	было бы	2	5
111	же самое	1	5
112	и совершенно	1	4
113	говорит о	1	4
114	прежде всего	1	4
115	есть не	1	4
116	этому поводу	1	4
117	и все	4	4
118	показать как	1	4
119	в конце	9	4
120	от него	2	4
121	в своей	4	4
122	а в	9	4
123	только что	2	4
124	в его	12	4
125	мысль о	1	4
126	которых мы	1	4
127	у нас	6	4
128	уже давно	1	4
129	о чем	1	4
130	вызывает в	1	4
131	в них	2	4
132	внимание на	1	4
133	как ни	1	4
134	не есть	1	4
135	от того	1	4
136	из которых	1	4
137	в результате	2	4
138	и к	6	4
139	в частности	2	4
140	в ней	1	4
141	с такой	1	4
142	только на	3	4
143	именно это	1	4
144	указывает на	2	4
145	на его	3	3
146	для нас	4	3
147	одно и	1	3
148	вопрос о	1	3
149	но он	5	3
150	он только	1	3
151	и сейчас	2	3
152	т д	2	3
153	учения о	1	3
154	но только	3	3
155	вовсе не	5	3
156	где мы	1	3
157	на этот	6	3
158	хотя бы	2	3
159	и другие	1	3
160	так что	10	3
161	которое мы	1	3
162	в этих	1	3
163	так в	1	3
164	что на	2	3
165	об этом	7	3
166	в их	1	3
167	так и	6	3
168	по его	2	3
169	и только	1	3
170	к этому	6	3
171	учении о	1	3
172	и насколько	1	3
173	для него	7	3
174	мы не	1	3
175	в таком	1	3
176	с теми	1	3
177	это не	1	3
178	из этих	2	3
179	с которым	2	3
180	что у	4	3
181	тот же	3	3
182	мы должны	2	3
183	в силу	1	3
184	и о	2	3
185	когда она	1	3
186	и поэтому	1	3
187	ни в	2	3
188	мне кажется	1	3
189	мы сейчас	7	3
190	под влиянием	3	3
191	в состоянии	1	3
192	той же	2	3
193	одна из	1	3
194	у него	15	3
195	не существует	1	3
196	чем у	1	3
197	этом отношении	1	3
198	что и	5	3
199	в которой	4	3
200	он говорит	2	3
201	не могут	1	3
202	и на	3	3
203	человека в	1	3
204	он не	10	3
205	заставляет нас	1	3
206	не как	1	3
207	бы мы	1	3
208	первый план	2	3
209	с самого	1	3
210	есть нечто	1	3
211	и вся	1	3
212	в каком	2	3
213	и уже	1	3
214	что здесь	1	3
215	как в	3	3
216	со стороны	2	3
217	так например	2	3
218	по поводу	12	3
219	в данном	1	3
220	в свою	1	3
221	все эти	3	2
222	что по	1	2
223	если я	1	2
224	о которых	1	2
225	ни одного	1	2
226	почти не	2	2
227	со своим	5	2
228	но она	3	2
229	и того	1	2
230	и с	14	2
231	сейчас увидим	2	2
232	и вот	3	2
233	в письме	8	2
234	его на	2	2
235	что их	1	2
236	конце концов	3	2
237	можно сказать	6	2
238	в противоположность	1	2
239	бы на	1	2
240	и ни	2	2
241	того же	6	2
242	до тех	1	2
243	время как	1	2
244	связи с	1	2
245	это совершенно	1	2
246	все это	5	2
247	в ответ	2	2
248	говорил что	1	2
249	строго говоря	1	2
250	стороны мы	1	2
251	и так	3	2
252	но мы	2	2
253	с помощью	1	2
254	иное как	1	2
255	еще в	4	2
256	бы по	1	2
257	во всех	1	2
258	между ними	1	2
259	в одном	1	2
260	в нашем	4	2
261	однако эта	2	2
262	совсем не	4	2
263	но все	1	2
264	том и	1	2
265	с той	1	2
266	все то	1	2
267	этом смысле	4	2
268	в течение	9	2
269	с этой	1	2
270	что касается	3	2
271	нам кажется	1	2
272	отношения к	1	2
273	что даже	1	2
274	на самом	1	2
275	деле это	1	2
276	которых он	2	2
277	и даже	15	2
278	и можно	2	2
279	не с	1	2
280	что иное	1	2
281	и той	1	2
282	по отношению	1	2
283	знаем что	2	2
284	из этого	2	2
285	в качестве	6	2
286	пор пока	1	2
287	которые он	1	2
288	в то	8	2
289	как он	4	2
290	в отношении	3	2
291	что весь	1	2
292	дело в	4	2
293	во всем	4	2
294	в одной	1	2
295	это и	2	2
296	ничего не	3	2
297	он был	14	2
298	но его	2	2
299	даже и	9	2
300	это делает	2	2
301	едва ли	3	2
302	любви и	1	2
303	себе и	1	2
304	в каждом	1	2
305	ни один	1	2
306	на первый	2	2
307	себе не	1	2
308	в котором	6	2
309	нет ни	1	2
310	обратить внимание	2	2
311	он в	3	2
312	что когда	1	2
313	это же	1	2
314	не что	1	2
315	в полной	2	2
316	и он	3	2
317	себя и	1	2
318	до конца	1	2
319	и эта	1	2
320	с его	11	2
321	и хотя	1	2
322	что тот	1	2
323	для чего	1	2
324	с которой	1	2
325	то о	1	2
326	же в	1	2
327	по существу	2	2
328	которого мы	1	2
329	его повести	1	2
330	был глубоко	2	2
331	что дело	2	2
332	чем в	1	2
333	и до	2	2
334	то здесь	1	2
335	чем не	2	2
336	фантазии и	1	2
337	том чтобы	2	2
338	есть только	1	2
339	одной и	1	2
340	ту же	1	2
341	вернее сказать	1	2
342	что ему	1	2
343	из них	2	2
344	он как	3	2
345	но во	1	2
346	тех пор	1	2
347	связь между	1	2
