N	3gram	Bakhtin_Pr_3	Analitik
1	не может быть	1	16
2	в том что	3	9
3	в то же	5	8
4	в отличие от	1	6
5	то же время	5	6
6	той или иной	1	6
7	что иное как	1	5
8	по отношению к	1	5
9	мы имеем дело	1	4
10	большей или меньшей	3	4
11	с точки зрения	2	4
12	и не может	1	4
13	не что иное	1	4
14	о том что	2	3
15	в той или	1	3
16	состоит в том	1	3
17	а не в	1	3
18	в том числе	11	3
19	имеем дело с	1	3
20	есть не что	1	3
21	нет и не	1	2
22	то же самое	1	2
23	но и в	1	2
24	в этом отношении	1	2
25	вместе с ним	1	2
26	но в то	1	2
27	с другой стороны	1	2
28	в широком смысле	1	2
29	тех или иных	1	2
30	по своей природе	1	1
31	как и его	1	1
32	или хотя бы	1	1
33	все еще не	1	1
34	по своей жанровой	1	1
35	по своей сущности	1	1
36	и той же	1	1
37	отношению ко всем	1	1
38	более или менее	3	1
39	сохраняется и на	1	1
40	равно как и	1	1
41	как и во	1	1
42	также и в	1	1
43	один и тот	1	1
44	в соответствии с	2	1
45	до сих пор	5	1
46	во всей своей	1	1
47	в зависимости от	2	1
48	на самом же	1	1
49	в собственном смысле	2	1
50	том числе и	10	1
51	по крайней мере	1	1
52	всех последующих этапах	1	1
53	то есть его	1	1
54	еще раз что	2	1
55	смысле этого слова	1	1
56	по отношению ко	1	1
57	как и на	1	1
58	в большей или	2	1
59	на всех последующих	1	1
60	или меньшей степени	2	1
61	и на всех	1	1
62	или иной форме	1	1
63	зрения исторической поэтики	1	1
64	прежде всего в	1	1
65	во всяком случае	1	1
66	я не могу	1	1
67	самом же деле	1	1
68	включает в себя	1	1
69	но не может	1	1
70	в той же	1	1
71	а вместе с	1	1
72	литературе нового времени	2	1
73	и тем самым	1	1
74	перед собой не	1	1
75	или во всяком	1	1
76	широком смысле этого	1	1
77	в этом смысле	1	1
78	в связи с	1	1
79	одной и той	1	1
80	всей своей полноте	1	1
81	в процессе его	1	1
82	как и в	3	1
83	здесь как и	1	1
84	конечно далеко не	1	1
85	и тот же	1	1
86	с самим собой	1	1
