N	2gram	Vinokur_Ku_1	Hudozhes
1	в качестве	7	19
2	состоит в	3	16
3	и не	12	16
4	не только	10	15
5	и в	24	15
6	в том	30	15
7	тогда как	2	13
8	может быть	13	13
9	в частности	4	13
10	при этом	6	12
11	и его	5	12
12	а в	5	12
13	но не	5	11
14	в этом	14	11
15	в себе	3	11
16	я в	1	11
17	то же	8	10
18	по отношению	8	10
19	как бы	7	10
20	так и	7	10
21	а не	8	10
22	отношению к	9	10
23	но и	6	10
24	точки зрения	14	9
25	в его	12	9
26	в рамках	4	8
27	своего рода	1	8
28	сводится к	3	8
29	себя в	1	8
30	я и	1	7
31	отличие от	1	7
32	но в	2	7
33	в отличие	1	7
34	в то	2	7
35	или иной	3	7
36	с другой	7	7
37	в искусстве	1	7
38	с его	4	6
39	отношение к	1	6
40	том что	21	6
41	не в	11	6
42	же время	2	6
43	в ее	1	6
44	не может	7	6
45	что в	17	6
46	в их	3	5
47	более или	3	5
48	в самом	10	5
49	то что	9	5
50	ни в	2	5
51	тем самым	4	5
52	могут быть	1	5
53	той или	1	5
54	можно сказать	3	5
55	а также	1	5
56	того что	9	5
57	и одновременно	1	5
58	только в	11	5
59	уже не	8	5
60	между ними	2	5
61	другой стороны	6	5
62	или менее	3	5
63	в нем	4	5
64	и то	3	4
65	мы имеем	6	4
66	говорить о	1	4
67	еще не	5	4
68	а только	8	4
69	как к	1	4
70	хотя и	3	4
71	и как	2	4
72	роли в	2	4
73	он не	2	4
74	без исключения	1	4
75	и тем	2	4
76	в слове	2	4
77	в этих	4	4
78	в ходе	1	4
79	в своей	2	4
80	не столько	2	4
81	между тем	5	4
82	в форме	1	4
83	для него	1	4
84	со стороны	4	4
85	к которому	3	4
86	прежде всего	9	4
87	а на	2	4
88	не знает	1	4
89	как это	3	4
90	например в	5	4
91	к тому	5	4
92	по пути	1	4
93	сказать что	1	4
94	речи и	5	4
95	того же	4	3
96	на деле	1	3
97	со своей	1	3
98	в целом	4	3
99	что можно	2	3
100	в виду	5	3
101	как правило	1	3
102	как говорит	1	3
103	субъекта и	1	3
104	в акте	1	3
105	или иного	3	3
106	всего лишь	1	3
107	в которой	6	3
108	не следует	1	3
109	он должен	1	3
110	одно и	1	3
111	лишь в	2	3
112	его в	1	3
113	это не	7	3
114	этом смысле	3	3
115	как и	2	3
116	иначе говоря	2	3
117	одного и	2	3
118	с точки	9	3
119	но он	1	3
120	тем не	4	3
121	однако в	1	3
122	не менее	7	3
123	литературы как	1	3
124	в структуре	2	3
125	как раз	8	3
126	потому что	23	3
127	объекта и	1	3
128	говорит и	1	3
129	в пределах	4	3
130	мог бы	1	3
131	к его	1	3
132	если бы	9	3
133	и что	5	3
134	того или	4	3
135	в конечном	1	3
136	что он	6	3
137	во втором	2	3
138	и того	2	3
139	не случайно	6	3
140	в области	7	3
141	далеко не	1	3
142	не на	4	3
143	человеческой жизни	1	3
144	была бы	3	3
145	по своему	1	3
146	о чем	2	3
147	в данном	4	3
148	в той	5	3
149	и для	2	3
150	таким образом	12	3
151	в свою	3	3
152	в таком	3	3
153	в роли	1	3
154	это и	4	2
155	идет о	2	2
156	по преимуществу	2	2
157	противном случае	1	2
158	и больше	1	2
159	к собственной	1	2
160	собою в	1	2
161	в году	1	2
162	знания о	2	2
163	я не	2	2
164	этого термина	2	2
165	и на	4	2
166	в чем	1	2
167	но как	1	2
168	не все	2	2
169	еще один	2	2
170	данный момент	1	2
171	в своем	3	2
172	в противном	1	2
173	в себя	1	2
174	все эти	6	2
175	в нашем	1	2
176	бы не	1	2
177	в этой	3	2
178	с их	3	2
179	но на	1	2
180	в силу	10	2
181	наших глазах	1	2
182	на этом	1	2
183	об этом	1	2
184	времени в	1	2
185	по себе	2	2
186	в них	7	2
187	к какому-либо	2	2
188	несмотря на	3	2
189	от себя	2	2
190	в имени	1	2
191	втором случае	2	2
192	и более	2	2
193	том и	2	2
194	вовсе не	10	2
195	даже в	3	2
196	тому что	3	2
197	дело не	2	2
198	одна из	1	2
199	и притом	1	2
200	не могло	1	2
201	слова как	3	2
202	не является	2	2
203	языка в	12	2
204	художественной литературы	1	2
205	в стилистическом	1	2
206	оно не	3	2
207	для себя	1	2
208	на наших	1	2
209	того чтобы	17	2
210	свою очередь	3	2
211	здесь не	3	2
212	в организации	1	2
213	к жизни	2	2
214	роль в	4	2
215	с языком	2	2
216	и сам	1	2
217	или в	2	2
218	о том	9	2
219	однако с	1	2
220	именно в	6	2
221	а именно	2	2
222	в литературе	1	2
223	тот или	1	2
224	с одной	1	2
225	есть в	4	2
226	за пределами	1	2
227	или даже	1	2
228	одно из	2	2
229	слова в	1	2
230	в одном	3	2
231	для того	16	2
232	соединении с	1	2
233	на почве	1	2
234	стилистическом отношении	1	2
235	в данный	1	2
236	или иначе	2	2
237	а с	3	2
238	себя и	1	2
239	нового времени	1	2
240	превращается в	2	2
241	одной стороны	1	2
242	в сторону	2	2
243	так же	4	2
244	и потому	4	2
245	как в	4	2
246	к своему	2	2
247	так или	2	2
248	было и	1	2
249	и по	1	2
250	жизни в	1	2
251	в контексте	2	2
252	о его	1	2
253	и позволяет	1	2
254	во всех	1	2
255	речь идет	2	2
256	собственно говоря	1	2
257	тем более	2	2
258	с ним	5	2
259	отношении к	1	2
260	поскольку не	1	2
261	культуры в	1	2
262	только о	1	2
263	говоря о	1	1
264	также и	2	1
265	в сфере	1	1
266	же как	1	1
267	чеховым в	1	1
268	и есть	2	1
269	в строгом	1	1
270	достоевского в	1	1
271	можно говорить	2	1
272	из его	1	1
273	едва ли	1	1
274	действительности и	1	1
275	в зависимости	5	1
276	той же	3	1
277	есть не	1	1
278	жизни по	1	1
279	из своих	1	1
280	в сущности	3	1
281	это всегда	1	1
282	что иное	1	1
283	как я	2	1
284	и со	1	1
285	никогда не	2	1
286	которое в	2	1
287	не знают	2	1
288	зависимости от	6	1
289	так называемые	3	1
290	языковом сознании	2	1
291	в каждой	1	1
292	не что	1	1
293	смысла так	1	1
294	момент в	1	1
295	думаю что	2	1
296	начало и	1	1
297	структура его	1	1
298	иное как	2	1
299	столь же	1	1
300	время в	1	1
301	позицию по	1	1
302	что его	2	1
303	в различных	1	1
304	события в	1	1
305	связи между	1	1
306	тем как	1	1
307	иных случаях	2	1
308	с совершенно	1	1
309	охарактеризовать как	1	1
310	себе и	2	1
311	с легкой	1	1
312	а всего	1	1
313	друг от	1	1
314	или к	1	1
315	что они	4	1
316	на основе	1	1
317	отнюдь не	1	1
318	в истории	3	1
319	мере в	6	1
320	не входят	1	1
321	от друга	1	1
322	с некоторыми	1	1
323	что касается	2	1
324	перед нами	1	1
325	от этого	2	1
326	совершенно иными	1	1
327	при чтении	1	1
328	ее полные	1	1
329	могли бы	2	1
330	только то	1	1
331	шире и	1	1
332	говорят о	1	1
333	и идет	1	1
334	бы и	2	1
335	что это	5	1
336	а во-вторых	2	1
337	таковы например	1	1
338	из этих	4	1
339	большей части	2	1
340	этом что	1	1
341	в известном	1	1
342	говорение в	1	1
343	нас на	1	1
344	отношение между	1	1
345	имеем в	1	1
346	во многих	2	1
347	после чего	2	1
348	на то	4	1
349	в случае	1	1
350	духовной культуры	2	1
351	на его	3	1
352	исходит из	1	1
353	что она	3	1
354	все это	6	1
355	в первую	4	1
356	формы поэтому	1	1
357	к одному	1	1
358	данном отношении	2	1
359	у читателя	1	1
360	необходимо для	1	1
361	свое время	2	1
362	чтобы в	2	1
363	когда на	1	1
364	является не	1	1
365	или иных	1	1
366	именно это	1	1
367	многих других	1	1
368	то ни	1	1
369	что все	2	1
370	в совершенно	1	1
371	речь в	4	1
372	том случае	1	1
373	не с	3	1
374	это было	2	1
375	первую очередь	2	1
376	внимание не	1	1
377	отчет в	1	1
378	все христианство	1	1
379	и иных	1	1
380	было бы	15	1
381	и где	1	1
382	лишь на	1	1
383	в жизни	1	1
384	нет в	1	1
385	рядом с	5	1
386	на второй	1	1
387	соответствии с	3	1
388	как об	2	1
389	речь о	1	1
390	об основной	2	1
391	и становится	2	1
392	нового для	1	1
393	в такой	1	1
394	и без	1	1
395	в котором	3	1
396	в условиях	1	1
397	всякий раз	1	1
398	которой каждая	1	1
399	но во	1	1
400	друг другу	1	1
401	по крайней	5	1
402	в конце	1	1
403	и общества	1	1
404	чем собственно	1	1
405	с такими	1	1
406	том же	2	1
407	мы встречаемся	1	1
408	это особенно	1	1
409	в историческом	1	1
410	случае мы	1	1
411	фраза в	1	1
412	приводят к	1	1
413	таких случаях	1	1
414	в таких	4	1
415	из нас	1	1
416	но для	1	1
417	некоторого рода	1	1
418	не имеет	2	1
419	что такое	6	1
420	субъектов и	1	1
421	позволило бы	1	1
422	виду не	1	1
423	не составляет	1	1
424	когда они	1	1
425	в систему	1	1
426	иметь в	1	1
427	к такому	1	1
428	но только	1	1
429	это еще	1	1
430	каждый из	1	1
431	нельзя не	1	1
432	минуя их	1	1
433	казалось бы	3	1
434	только и	3	1
435	в самой	4	1
436	поскольку оно	2	1
437	такова например	2	1
438	иными словами	4	1
439	не проходит	1	1
440	с отвращением	1	1
441	и является	4	1
442	этих случаях	2	1
443	и теперь	1	1
444	связи с	7	1
445	в центр	1	1
446	из того	1	1
447	как будто	1	1
448	и делает	1	1
449	языков в	1	1
450	в каком	2	1
451	однако это	1	1
452	этот закон	1	1
453	только мы	1	1
454	именно таковы	1	1
455	и здесь	3	1
456	все то	1	1
457	и конкретном	2	1
458	когда мы	2	1
459	ли не	3	1
460	этого объекта	1	1
461	всегда так	1	1
462	в каждом	2	1
463	в настоящее	1	1
464	говорит о	1	1
465	должен быть	4	1
466	не ограничивается	1	1
467	как мы	1	1
468	значения и	1	1
469	точно так	1	1
470	этой фразе	1	1
471	та или	1	1
472	языка и	8	1
473	в собственном	2	1
474	области языка	2	1
475	в особенности	3	1
476	действия и	2	1
477	значение в	1	1
478	как с	2	1
479	не содержит	1	1
480	как содержание	1	1
481	здесь как	2	1
482	в научном	1	1
483	чужой речи	1	1
484	в сочетании	1	1
485	термина не	1	1
486	можно только	1	1
487	разного рода	1	1
488	для этого	3	1
489	к языку	5	1
490	из других	1	1
491	лишает их	1	1
