N	2gram	Nazirov_Tr_1	Dialekti
1	не есть	1	54
2	т е	1	48
3	и не	7	27
4	а не	1	26
5	и т	1	24
6	и в	18	24
7	не только	8	23
8	по себе	1	20
9	не может	5	19
10	не просто	2	18
11	ничего не	2	17
12	и есть	1	16
13	и что	4	15
14	что все	2	14
15	то что	4	14
16	в таком	2	14
17	таким образом	1	13
18	что он	6	13
19	может быть	7	13
20	и даже	4	13
21	что это	5	12
22	того что	1	12
23	есть и	1	12
24	не менее	1	11
25	не имеет	2	11
26	отнюдь не	3	10
27	тем не	1	10
28	только не	1	10
29	что она	2	9
30	ни в	2	9
31	стало быть	1	9
32	но и	4	9
33	в этом	9	8
34	и как	3	8
35	так что	2	8
36	в виде	2	8
37	прежде всего	4	8
38	том что	4	8
39	это и	1	7
40	в самом	2	7
41	как и	5	7
42	никогда не	2	7
43	потому что	2	7
44	что оно	1	7
45	в виду	1	7
46	только на	1	7
47	в особенности	1	7
48	ничем не	2	7
49	что в	4	7
50	самом деле	1	6
51	должна быть	1	6
52	я не	4	6
53	то же	5	6
54	об этом	4	6
55	и с	7	6
56	утверждать что	1	6
57	вы не	1	6
58	что и	2	6
59	о том	2	6
60	даже не	1	6
61	– в	1	6
62	и все	4	6
63	все это	4	6
64	от всего	2	6
65	но если	1	6
66	сам по	1	5
67	вопрос о	2	5
68	он не	2	5
69	так и	5	5
70	в них	1	5
71	в том	2	5
72	в то	5	5
73	и притом	1	5
74	и его	6	5
75	только в	1	5
76	уже не	2	5
77	одно из	1	5
78	как же	2	5
79	что не	1	5
80	как это	3	5
81	с этой	1	5
82	но это	4	5
83	личности и	2	5
84	и то	2	4
85	в чем	1	4
86	и мира	1	4
87	в истории	1	4
88	это не	5	4
89	тому что	1	4
90	но только	1	4
91	не могут	2	4
92	а что	2	4
93	и это	2	4
94	жизнь и	3	4
95	о нем	1	4
96	к тому	2	4
97	для него	3	4
98	говорит о	2	4
99	так же	4	4
100	хотя бы	1	4
101	только что	1	4
102	из самых	2	3
103	той же	1	3
104	и на	7	3
105	за пределы	1	3
106	и я	2	3
107	что именно	1	3
108	в своем	3	3
109	все же	5	3
110	перед нами	2	3
111	все эти	3	3
112	в нем	4	3
113	не значит	1	3
114	он есть	1	3
115	на свои	1	3
116	он и	2	3
117	должно быть	3	3
118	миф о	1	3
119	не в	2	3
120	того кто	1	3
121	раз и	2	3
122	тем самым	3	3
123	она не	1	3
124	одна из	2	3
125	на себя	1	3
126	же время	6	3
127	во всем	1	3
128	и о	1	3
129	быть может	1	3
130	это было	1	3
131	к нему	3	3
132	все время	1	3
133	и ее	2	3
134	вопрос об	1	3
135	это же	1	3
136	с одной	1	3
137	есть в	1	3
138	то и	2	3
139	друг друга	2	3
140	тем что	2	3
141	не было	1	3
142	может ли	1	3
143	его как	1	3
144	как бы	7	3
145	на свете	1	3
146	и от	1	3
147	при его	1	3
148	только о	2	3
149	я вижу	1	3
150	я и	1	2
151	например в	1	2
152	от самой	1	2
153	в частности	2	2
154	это значит?	1	2
155	а из	1	2
156	от самого	1	2
157	в первом	2	2
158	исходит из	1	2
159	и он	3	2
160	в ней	1	2
161	еще не	4	2
162	на них	1	2
163	всего этого	1	2
164	с его	2	2
165	но не	1	2
166	своей и	1	2
167	но в	6	2
168	вы сами	1	2
169	то в	1	2
170	в условиях	1	2
171	в себе	4	2
172	и если	1	2
173	вообще не	1	2
174	при этом	3	2
175	перестает быть	1	2
176	что нужно	1	2
177	и вот	1	2
178	и по	1	2
179	на этом	1	2
180	и чтобы	1	2
181	говорил что	1	2
182	этого не	1	2
183	несмотря на	5	2
184	к истории	1	2
185	всяком случае	1	2
186	что этот	2	2
187	но они	2	2
188	на котором	1	2
189	тогда и	1	2
190	не вполне	1	2
191	ну а	1	2
192	могут быть	1	2
193	очевидно нет	1	2
194	как мы	1	2
195	и здесь	2	2
196	она всегда	1	2
197	нет это	1	2
198	в его	3	2
199	и она	1	2
200	в третий	1	2
201	отца и	2	2
202	только он	1	2
203	даже если	2	2
204	и чисто	1	2
205	никто не	3	2
206	чтобы она	1	2
207	у него	6	2
208	именно в	1	2
209	только к	2	2
210	но как	1	2
211	исходит от	1	2
212	и потому	1	2
213	в данном	2	2
214	оказалось что	1	2
215	быть не	1	2
216	она должна	2	2
217	для нас	1	2
218	из себя	1	2
219	бы в	1	2
220	превратился в	1	2
221	совершенно не	1	2
222	о себе	1	2
223	но еще	1	2
224	точно так	2	2
225	к этой	1	2
226	а я	5	2
227	во всяком	1	2
228	занятие но	1	1
229	скажет что	1	1
230	ту же	1	1
231	в применении	1	1
232	в сфере	1	1
233	чтобы не	1	1
234	x мы	1	1
235	понятие в	1	1
236	он всегда	4	1
237	что эти	2	1
238	высшей степени	1	1
239	и за	2	1
240	а как	2	1
241	даже я	1	1
242	что уже	1	1
243	из ее	1	1
244	такие ее	1	1
245	но этого	2	1
246	во всех	1	1
247	он вообще	2	1
248	в общем	1	1
249	тогда как	1	1
250	в x	1	1
251	тут же	2	1
252	где на	1	1
253	чем же	1	1
254	опирается на	1	1
255	о жизни	2	1
256	и наконец	1	1
257	силе и	1	1
258	x в	1	1
259	них он	1	1
260	именно эта	1	1
261	чего же	1	1
262	с своим	1	1
263	со своей	1	1
264	есть особое	1	1
265	в которой	1	1
266	право на	1	1
267	только один	1	1
268	если он	1	1
269	ли сейчас	1	1
270	они только	1	1
271	творца и	1	1
272	чем у	1	1
273	не к	1	1
274	сказал что	1	1
275	что тут	1	1
276	этом мире	1	1
277	от нее	1	1
278	факт что	1	1
279	им как	1	1
280	в мире	3	1
281	видит что	1	1
282	вещей это	1	1
283	на ту	1	1
284	его в	2	1
285	знает что	2	1
286	времени так	1	1
287	известно что	1	1
288	виде что	1	1
289	нет в	2	1
290	которой он	1	1
291	о чем	3	1
292	с такой	1	1
293	он сказал	1	1
294	и ко	1	1
295	но я	1	1
296	или вообще	1	1
297	не выдерживает	1	1
298	я увидел	2	1
299	я его	1	1
300	взгляд на	1	1
301	в такой	1	1
302	почти не	1	1
303	в котором	1	1
304	то для	1	1
305	представление о	1	1
306	не как	1	1
307	по своей	1	1
308	одном из	2	1
309	но он	1	1
310	содержит в	1	1
311	вплоть до	1	1
312	ну да	1	1
313	что эта	1	1
314	впадает в	1	1
315	что с	3	1
316	вместе и	1	1
317	считает что	1	1
318	того как	1	1
319	это хорошо	1	1
320	что ему	1	1
321	я буду	2	1
322	в самой	1	1
323	по вопросу	1	1
324	связи с	1	1
325	без их	1	1
326	и при	1	1
327	входят в	1	1
328	что на	1	1
329	ли это	1	1
330	перед ним	1	1
331	в стиле	1	1
332	эти же	1	1
333	но все	2	1
334	уже было	1	1
335	что вы	3	1
336	нем ничего	1	1
337	как свой	1	1
338	есть необходимость	1	1
339	мы отнюдь	1	1
340	как некое	1	1
341	откуда же	1	1
342	на нечто	1	1
343	образы и	1	1
344	отца он	1	1
345	с ее	3	1
346	не хочу	1	1
347	в ее	2	1
348	данном случае	2	1
349	он с	1	1
350	и совершенно	1	1
351	и сам	3	1
352	iii в	3	1
353	умирает в	1	1
354	было в	2	1
355	мог бы	3	1
356	во многом	1	1
357	и глубоким	1	1
358	с ним	3	1
359	но может	1	1
360	то есть	3	1
361	вот почему	1	1
362	и личность	2	1
363	на вопрос	1	1
364	и который	1	1
365	мы понимаем	1	1
366	все в	1	1
367	есть с	1	1
368	бы и	2	1
369	он был	2	1
370	необыкновенное и	1	1
371	к ней	1	1
372	нет он	1	1
373	его собственная	1	1
374	непроходимой пропастью	1	1
375	как нечто	1	1
376	в обществе	1	1
377	и хочу	1	1
378	вот что	1	1
379	всем его	1	1
380	чтобы он	1	1
381	а это	1	1
382	я люблю	4	1
383	но от	1	1
384	не так	2	1
385	в одном	2	1
386	и бешенство	1	1
387	в такое	1	1
388	к ним	1	1
389	характерны для	1	1
390	ведь уже	1	1
391	таком виде	1	1
392	в каких	1	1
393	близок к	1	1
394	времени x	1	1
395	обратиться к	1	1
396	не правда	1	1
397	берется в	1	1
398	вопросу об	1	1
399	не смог	1	1
400	когда я	1	1
401	и служит	1	1
402	в связи	1	1
403	ни за	1	1
404	вместе с	1	1
405	для самого	1	1
406	как сейчас	1	1
407	если так	1	1
408	с своими	1	1
409	применении к	1	1
410	я хочу	1	1
411	него есть	1	1
412	для понимания	1	1
413	в это	2	1
414	нее самой	1	1
415	не мог	2	1
416	на одной	1	1
417	самое главное	1	1
418	об отношении	1	1
419	его с	1	1
