N	2gram	Medvedev_V_1	Problema
1	то есть	1	46
2	в его	14	43
3	и не	19	42
4	и в	26	38
5	познания и	4	30
6	не может	17	27
7	может быть	22	26
8	как бы	5	22
9	по отношению	7	21
10	в художественном	10	20
11	отнюдь не	3	19
12	отношению к	7	19
13	и его	6	16
14	в этом	26	15
15	в нем	6	15
16	и т	23	14
17	только в	7	13
18	т п	9	13
19	прежде всего	13	13
20	но не	2	12
21	за пределы	1	12
22	художественного творчества	18	12
23	в единстве	4	12
24	в искусстве	6	12
25	художественного произведения	6	11
26	во всех	6	11
27	в области	2	11
28	ни в	1	11
29	и для	2	11
30	отношение к	1	10
31	таким образом	31	10
32	в их	5	10
33	материала в	1	10
34	художественном творчестве	6	10
35	не только	25	9
36	в поэзии	1	9
37	не имеет	1	9
38	его в	3	9
39	но и	10	9
40	и как	3	8
41	входит в	1	8
42	было бы	7	8
43	точки зрения	3	8
44	произведения как	5	8
45	в том	15	8
46	и др	9	8
47	художественное произведение	5	8
48	то что	6	8
49	еще не	2	7
50	в самом	4	7
51	в плане	5	7
52	как и	7	7
53	не в	6	7
54	содержание в	1	7
55	как мы	1	7
56	художественное творчество	6	7
57	с другой	11	7
58	как форма	1	7
59	между тем	5	7
60	отметить что	2	7
61	совершенно не	1	7
62	в своей	4	7
63	что в	10	7
64	самом деле	1	6
65	на основе	5	6
66	в м	1	6
67	и наконец	2	6
68	в пределах	5	6
69	не всегда	1	6
70	дело с	1	6
71	содержания и	1	6
72	все же	5	6
73	а в	3	6
74	художественном произведении	4	5
75	в своем	8	5
76	все эти	6	5
77	то же	10	5
78	в музыке	1	5
79	это не	7	5
80	в них	4	5
81	далеко не	2	5
82	творчества и	1	5
83	так и	5	5
84	произведения в	7	5
85	форму в	1	5
86	в основе	1	5
87	никогда не	4	5
88	с ним	1	5
89	может иметь	1	5
90	конечно не	1	5
91	художника и	7	5
92	дело и	1	5
93	а не	7	5
94	могут быть	5	5
95	должно быть	2	5
96	формы и	2	5
97	все они	2	5
98	содержания в	1	4
99	в виду	4	4
100	в ней	2	4
101	конечном счете	5	4
102	относится к	2	4
103	как в	1	4
104	но в	2	4
105	в себе	6	4
106	в данном	1	4
107	не должна	1	4
108	не менее	2	4
109	о значении	1	4
110	в то	6	4
111	должны быть	2	4
112	здесь не	1	4
113	в ее	4	4
114	данном случае	1	4
115	только со	1	4
116	можно было	2	4
117	о том	10	4
