N	3gram	Losev_Vlad_2	Sotsiolo
1	в том что	9	2
2	в конце концов	3	2
3	не в том	3	2
4	но только в	1	1
5	все же это	1	1
6	в настоящее время	2	1
7	конечно не в	1	1
8	не может не	1	1
9	только то что	1	1
10	вот в чем	1	1
11	по крайней мере	4	1
12	этом не было	1	1
13	то что в	1	1
14	которые базируются на	1	1
15	может не вызвать	1	1
16	и русская идея	1	1
17	не было бы	1	1
18	в то же	3	1
19	что все это	1	1
20	по существу это	1	1
21	в этом не	1	1
22	в связи с	8	1
23	на первый план	2	1
24	а в том	2	1
25	то же время	3	1
26	и никак не	1	1
27	в него и	1	1
28	чуть ли не	1	1
29	и наконец в	1	1
30	и в то	1	1
31	в те же	1	1
32	во всяком случае	6	1
