N	2gram	Bakhtin_Pr_4	Retstnzi
1	не может	19	4
2	и в	46	3
3	в центре	3	2
4	один из	1	2
5	если в	2	2
6	достоевского и	2	2
7	нет и	2	1
8	и не	27	1
9	тому что	1	1
10	не только	14	1
11	связи с	1	1
12	этой проблемы	1	1
13	бы на	1	1
14	себя от	1	1
15	точки зрения	11	1
16	конечно и	3	1
17	во второй	1	1
18	языка как	1	1
19	но и	12	1
20	и заставляет	1	1
21	контекста не	1	1
22	не менее	2	1
23	в системе	2	1
24	по своим	1	1
25	в ней	1	1
26	с теми	1	1
27	в то	5	1
28	с точки	9	1
29	подхода к	1	1
30	и на	11	1
31	первая часть	1	1
32	это направление	1	1
33	для него	2	1
34	и социальной	1	1
35	в конкретном	2	1
36	мы видим	1	1
37	может не	1	1
38	в языке	2	1
39	на нее	1	1
40	к тому	2	1
41	речь и	2	1
42	а не	11	1
43	может быть	23	1
44	при анализе	1	1
45	несмотря на	1	1
46	в его	9	1
47	или иными	1	1
48	же время	5	1
49	без учета	1	1
50	то же	6	1
51	и все	9	1
52	из этих	3	1
53	можно назвать	1	1
54	нуждаются в	1	1
55	язык как	1	1
56	если бы	3	1
57	в каждом	6	1
58	бы в	3	1
