N	2gram	Bakhtin_Fr_4	Mirosoze
1	может быть	2	30
2	не только	10	29
3	и в	29	28
4	не может	2	28
5	но и	9	25
6	он не	3	24
7	в этом	11	20
8	у него	5	17
9	потому что	1	16
10	в ней	3	15
11	в своей	5	15
12	переходит в	1	15
13	человека и	1	14
14	и есть	4	14
15	он был	2	14
16	никогда не	2	14
17	до конца	5	14
18	в нем	5	13
19	и он	1	12
20	и это	2	12
21	в самом	1	11
22	для него	1	11
23	и не	16	11
24	во имя	1	10
25	в своем	3	10
26	человек не	1	10
27	что в	1	10
28	в мире	1	10
29	прежде всего	8	10
30	что он	4	10
31	был бы	1	10
32	и потому	1	10
33	и все	13	10
34	но он	6	9
35	и его	8	9
36	в его	8	9
37	человек в	1	9
38	из самых	1	8
39	в котором	2	8
40	но не	2	8
41	но в	12	7
42	в себе	3	7
43	быть может	2	7
44	в конце	9	7
45	в самой	1	7
46	к нему	3	7
47	того что	3	7
48	нет ничего	2	7
49	должна быть	1	6
50	и на	11	6
51	он сам	1	6
52	в которой	4	6
53	в этой	13	6
54	все в	2	6
55	только в	2	6
56	все это	4	6
57	в том	7	6
58	нет и	1	5
59	это не	5	5
60	в самую	1	5
61	как и	12	5
62	у нас	1	5
63	то что	4	5
64	мира и	4	5
65	смысле слова	1	4
66	отношения к	1	4
67	это и	5	4
68	и этот	1	4
69	был еще	2	4
70	отношение к	1	4
71	за пределы	1	4
72	не как	1	4
73	и по	5	4
74	он знал	2	4
75	в них	7	4
76	в этих	2	4
77	точки зрения	4	4
78	в их	2	4
79	свободу и	1	4
80	что и	1	4
81	один из	4	4
82	уже не	2	4
83	уже в	2	4
84	ни с	2	4
85	тем что	4	4
86	был в	1	4
87	и там	1	4
88	с этой	1	4
89	которых он	2	4
90	от него	1	4
91	вряд ли	1	3
92	не была	1	3
93	с его	4	3
94	с этим	1	3
95	этого мира	1	3
96	бы и	1	3
97	на том	1	3
98	этот процесс	6	3
99	и вот	3	3
100	на этом	2	3
101	и с	9	3
102	то есть	21	3
103	его в	9	3
104	в жизни	2	3
105	мир в	2	3
106	не мог	2	3
107	том что	3	3
108	ничего не	1	3
109	к тому	2	3
110	в ее	3	3
111	особенно в	3	3
112	только и	1	3
113	все его	1	3
114	в него	1	3
115	через горнило	1	3
116	себя в	2	3
117	конечно не	4	3
118	и их	3	3
119	так как	7	3
120	в боге	1	3
121	людьми и	1	3
122	для нас	1	3
123	интерес к	1	3
124	будто бы	1	3
125	в свете	1	3
126	мы увидим	2	3
127	есть и	4	3
128	с новыми	1	2
129	также и	4	2
130	в этот	1	2
131	связана с	4	2
132	не хочет	1	2
133	века в	1	2
134	а как	2	2
135	ни того	2	2
136	время как	1	2
137	в виду	2	2
138	литературы и	1	2
139	не все	1	2
140	а две	1	2
141	относится к	1	2
142	как в	2	2
143	все же	3	2
144	и как	3	2
145	и к	2	2
146	за собой	1	2
147	и у	2	2
148	под ним	1	2
149	он в	1	2
150	все эти	9	2
151	бога в	1	2
152	бы не	2	2
153	с их	1	2
154	только один	1	2
155	пройти через	1	2
156	как он	2	2
157	если бы	1	2
158	не значит	1	2
159	в россии	1	2
160	легенды о	1	2
161	людей и	1	2
162	прежде чем	1	2
163	него и	1	2
164	через все	2	2
165	этом он	2	2
166	входит в	1	2
167	на протяжении	1	2
168	и мы	2	2
169	его был	1	2
170	был очень	1	2
171	которую он	4	2
172	место в	2	2
173	мысли и	1	2
174	сих пор	1	2
175	был не	1	2
176	на земле	1	2
177	в то	10	2
178	в идее	1	2
179	в основе	2	2
180	того чтобы	3	2
181	по своей	3	2
182	на помощь	1	2
183	он мог	1	2
184	и от	1	2
185	то время	2	2
186	и что	1	2
187	еще в	1	2
188	с ним	2	2
189	о своей	2	2
190	о том	2	2
191	с того	1	2
192	и во	1	2
193	и она	1	2
194	мы видим	3	2
195	начало в	1	2
196	жизни и	4	2
197	ведь это	3	2
198	как будто	2	2
199	даже и	2	2
200	для того	3	2
201	и загадки	1	2
