N	3gram	Losev_Prob_2	Russkaja
1	в то же	4	10
2	в том что	4	7
3	на самом деле	2	6
4	во всяком случае	10	6
5	для того чтобы	2	6
6	до сих пор	4	5
7	более или менее	4	4
8	на то что	4	4
9	бы то ни	2	4
10	к тому чтобы	1	4
11	в том случае	2	4
12	не может быть	3	4
13	не может не	1	3
14	то ни стало	1	3
15	во что бы	1	3
16	в этом случае	7	3
17	том случае если	1	3
18	вместе с тем	1	3
19	с тем чтобы	1	3
20	можно было бы	2	3
21	и не может	1	3
22	и то что	7	3
23	что бы то	1	3
24	в данном случае	5	3
25	в конце концов	7	3
26	той или иной	1	3
27	самого себя и	1	3
28	точно так же	3	2
29	в настоящее время	16	2
30	только в том	4	2
31	в значительной мере	3	2
32	в противоречие с	1	2
33	не могут не	1	2
34	мы говорили в	1	2
35	по самому своему	2	2
36	того или иного	5	2
37	о том что	14	2
38	и тем самым	1	2
39	и не будет	1	2
40	ни одна из	1	2
41	друг от друга	2	2
42	в другом случае	1	2
43	сама по себе	4	2
44	должны были бы	2	1
45	для нас важно	1	1
46	что же это	1	1
47	или хотя бы	2	1
48	то есть не	3	1
49	так же и	2	1
50	в самом деле	2	1
51	но как бы	1	1
52	но даже и	1	1
53	в том числе	2	1
54	но не о	1	1
55	то же самое	5	1
56	является не только	1	1
57	важно то что	1	1
58	он не может	1	1
59	и не только	1	1
60	но для нас	1	1
61	можно было говорить	2	1
62	котором мы говорили	1	1
63	только то что	3	1
64	в этом отношении	1	1
65	что не только	1	1
66	совершенно ясно что	1	1
67	том числе и	2	1
68	нем самом и	1	1
69	что все это	1	1
70	тот или иной	4	1
71	иначе и не	1	1
72	несмотря на то	1	1
73	отражением того или	1	1
74	по крайней мере	6	1
75	то и другое	1	1
76	есть то что	2	1
77	отказаться от того	1	1
78	говорить не о	1	1
79	всяком случае при	1	1
80	не есть только	4	1
81	и в частности	3	1
82	и в своем	1	1
83	между собой все	1	1
84	тем что он	1	1
85	то ни было	1	1
86	собой и не	2	1
87	только один из	1	1
88	самое большее что	1	1
89	и в этом	3	1
90	к которой они	1	1
91	всяком случае не	2	1
92	те или другие	4	1
93	в связи с	5	1
94	в себе те	1	1
95	также и то	2	1
96	идет речь не	1	1
97	друг к другу	2	1
98	ее в качестве	1	1
99	тем что они	1	1
100	сих пор мы	1	1
101	о котором мы	1	1
102	и если эта	1	1
103	так же как	1	1
104	не существуют в	1	1
105	потому что они	1	1
106	но можно ли	2	1
107	потому что и	1	1
108	что на этой	1	1
109	а в том	1	1
110	между собой и	2	1
111	близких друг к	1	1
112	от того что	1	1
113	заключается в том	2	1
114	говорить о том	1	1
115	даже и в	3	1
116	это и есть	2	1
117	случае не будет	1	1
118	с самого начала	2	1
119	вопрос о том	2	1
120	но это же	1	1
121	но все же	1	1
122	мы не знаем	1	1
123	было говорить о	3	1
124	только в этом	1	1
125	тем не менее	12	1
126	речь не будет	1	1
127	и прежде всего	2	1
128	том случае когда	1	1
129	на первый взгляд	1	1
130	которую можно назвать	1	1
131	и только в	1	1
132	со стороны их	1	1
