N	3gram	Tiupa_Lite_3	Myslijsy
1	по отношению к	4	8
2	то что я	2	7
3	в том что	4	7
4	не может быть	3	5
5	о том что	4	5
6	то же самое	2	4
7	и т п	1	4
8	и то что	1	4
9	на то что	2	4
10	для того чтобы	1	4
11	тем не менее	1	4
12	в ряду других	1	3
13	на самом деле	1	3
14	с точки зрения	3	3
15	вместе с тем	1	3
16	лишь тогда когда	1	3
17	то же время	7	3
18	не только не	1	3
19	поэзия и проза	1	3
20	в то же	7	3
21	что иное как	1	2
22	подобно тому как	2	2
23	только в том	1	2
24	хотя бы и	1	2
25	между тем как	1	2
26	то что в	1	2
27	в данном случае	4	2
28	так или иначе	2	2
29	то есть от	1	2
30	и в том	1	2
31	при этом в	1	2
32	вопрос о том	1	2
33	тогда когда оно	1	2
34	не что иное	1	2
35	но уже и	1	1
36	хотя и не	1	1
37	других но при	1	1
38	он сам не	1	1
39	и к тому	1	1
40	не об отсутствии	1	1
41	в том числе	3	1
42	о том как	1	1
43	потому что не	2	1
44	и не только	1	1
45	но и не	2	1
46	так как мы	1	1
47	но и в	2	1
48	в этом отношении	5	1
49	встречаются и в	1	1
50	могли бы быть	1	1
51	может быть только	1	1
52	и потому не	1	1
53	тогда как в	3	1
54	ничего общего с	1	1
55	может быть не	1	1
56	в нас самих	1	1
57	с одной стороны	4	1
58	на первый взгляд	1	1
59	на том пути	1	1
60	в связи с	1	1
61	она коренится в	1	1
62	одним из первых	1	1
63	но при этом	1	1
64	сказать и о	1	1
65	в свою очередь	1	1
66	а не как	2	1
67	со второй половины	1	1
68	с другой стороны	2	1
69	на вопрос что	1	1
70	того что у	1	1
71	это последнее имеет	2	1
72	в том чтобы	2	1
73	и вместе с	2	1
74	что у меня	1	1
75	в одном из	2	1
76	и в самом	2	1
77	том числе и	2	1
78	если бы они	1	1
79	друг от друга	1	1
80	во второй половине	1	1
81	в его руках	1	1
82	мы уже не	1	1
83	и поэзии и	1	1
84	к тому что	1	1
85	быть не может	1	1
86	что он в	1	1
