N	2gram	Tiupa_Teor_1	VrazhdaK
1	в году	1	18
2	не только	16	9
3	и достоевского	1	9
4	в этом	8	8
5	и в	18	8
6	и что	3	8
7	тургенева в	1	7
8	но и	9	7
9	то что	3	7
10	что в	9	7
11	но в	9	6
12	в нем	4	6
13	как и	4	6
14	и даже	2	6
15	– это	18	6
16	в романе	3	6
17	то же	7	5
18	об этом	2	5
19	в то	6	5
20	же время	5	5
21	между тем	5	5
22	у него	1	5
23	не было	1	5
24	и не	13	5
25	что он	1	4
26	целый ряд	1	4
27	что достоевский	1	4
28	при этом	12	4
29	это не	2	4
30	все это	2	4
31	в виду	5	4
32	о том	1	4
33	может быть	17	4
34	как бы	5	4
35	в своих	1	4
36	так же	2	4
37	одним из	2	3
38	я не	2	3
39	в чем	1	3
40	с его	5	3
41	в своем	4	3
42	и как	2	3
43	раз в	1	3
44	на то	1	3
45	его в	2	3
46	он не	3	3
47	далеко не	2	3
48	том что	9	3
49	но он	3	3
50	в русской	6	3
51	и его	8	3
52	связи с	1	3
53	и о	4	3
54	русской литературе	2	3
55	в его	6	3
56	в том	16	3
57	дворянского гнезда	1	3
58	в конце	2	3
59	тем что	1	3
60	в связи	1	3
61	о себе	2	3
62	отношения к	2	2
63	же как	1	2
64	и то	2	2
65	столь же	2	2
66	но как	1	2
67	тогда как	15	2
68	человека с	2	2
69	отнюдь не	3	2
70	в известном	1	2
71	в той	2	2
72	в этой	3	2
73	в себе	9	2
74	время и	1	2
75	их в	3	2
76	таким образом	3	2
77	в мире	19	2
78	в них	2	2
79	рядом с	1	2
80	а с	3	2
81	на первый	1	2
82	точки зрения	9	2
83	в своей	6	2
84	и ее	3	2
85	с точки	3	2
86	место в	5	2
87	не менее	4	2
88	том же	1	2
89	в повести	2	2
90	никогда не	4	2
91	в момент	2	2
92	его с	1	2
93	на это	1	2
94	и это	2	2
95	на основе	2	2
96	так в	4	2
97	еще не	4	2
98	а также	6	2
99	тем более	1	2
100	что ж	1	2
101	с нею	1	2
102	уже не	4	2
103	из них	1	2
104	для него	2	2
105	отношение к	5	2
106	к ним	1	2
107	как раз	2	2
108	и т.п	4	2
109	с которым	1	2
110	о чем	1	2
111	не может	4	2
112	вместе с	2	2
113	и а	4	2
114	в это	1	2
115	а в	13	2
116	личность и	1	2
117	в свою	3	2
118	а между	1	1
119	можно говорить	1	1
120	также и	1	1
121	человека и	1	1
122	того же	3	1
123	идет о	1	1
124	ему не	1	1
125	по преимуществу	4	1
126	свое место	1	1
127	в их	2	1
128	той же	1	1
129	именно к	1	1
130	начинается с	1	1
131	совпадает с	3	1
132	говорить о	3	1
133	в полной	1	1
134	это отношение	3	1
135	в составе	1	1
136	меня в	1	1
137	собой в	1	1
138	на них	1	1
139	содержания в	1	1
140	служит для	1	1
141	по своему	2	1
142	за него	1	1
143	как правило	4	1
144	одним словом	1	1
145	совсем не	1	1
146	но не	9	1
147	а тем	1	1
148	в сторону	1	1
149	не все	3	1
150	если в	2	1
151	и т.д	3	1
152	в комедии	1	1
153	говорилось выше	1	1
154	что они	1	1
155	и я	1	1
156	как говорит	3	1
157	из которого	3	1
158	первый взгляд	1	1
159	независимо от	1	1
160	как в	5	1
161	для всех	1	1
162	как к	2	1
163	то в	2	1
164	в самом	4	1
165	что это	1	1
166	в целом	3	1
167	момент его	1	1
168	за это	1	1
169	еще один	1	1
170	рассказ о	2	1
171	во многих	1	1
172	не могла	1	1
173	в первой	5	1
174	ключ к	2	1
175	при виде	1	1
176	в силу	1	1
177	уже говорилось	1	1
178	ним на	1	1
179	однако в	7	1
180	одно и	1	1
181	не будет	2	1
182	не имело	1	1
183	самим собой	3	1
184	это было	2	1
185	заключается в	2	1
186	дома и	2	1
187	было бы	1	1
188	задолго до	1	1
189	в итоге	2	1
190	в жизни	2	1
191	соответствии с	2	1
192	всю жизнь	1	1
193	одного и	3	1
194	но я	1	1
195	со мной	1	1
196	в этих	3	1
197	в войне	2	1
198	и их	1	1
199	на свою	1	1
200	своего рода	7	1
201	сам же	1	1
202	войне и	2	1
203	привлекает внимание	1	1
204	тем не	3	1
205	по крайней	1	1
206	не могли	1	1
207	с такими	1	1
208	тем самым	4	1
209	знаком и	1	1
210	героев и	1	1
211	также что	1	1
212	в уме	1	1
213	только не	2	1
214	нельзя не	1	1
215	и позитивно	1	1
216	иными словами	1	1
217	по своей	3	1
218	и мире	2	1
219	ему и	1	1
220	потому что	3	1
221	в эпизоде	3	1
222	– так	1	1
223	в каком	1	1
224	в бою	1	1
225	тем это	1	1
226	в мировой	1	1
227	могут быть	4	1
228	глаза в	2	1
229	сама жизнь	1	1
230	мнения о	1	1
231	отличается от	2	1
232	она же	1	1
233	у себя	1	1
234	с ее	3	1
235	свою очередь	2	1
236	в ее	5	1
237	не могло	2	1
238	оценке его	1	1
239	то время	1	1
240	роль в	2	1
241	и сам	1	1
242	так и	10	1
243	на нее	1	1
244	не с	3	1
245	просьбы о	1	1
246	нам уже	1	1
247	вошел в	1	1
248	во второй	7	1
249	но у	1	1
250	жизнь и	1	1
251	с героем	1	1
252	быть может	1	1
253	вышел в	1	1
254	это была	1	1
255	к нему	1	1
256	во всех	1	1
257	говорить об	1	1
258	я думаю	1	1
259	из своего	1	1
260	во всей	1	1
261	в форме	2	1
262	крайней мере	1	1
263	в другой	1	1
264	новая форма	1	1
265	вслед за	2	1
266	также в	1	1
267	встречается лишь	1	1
268	человека как	1	1
269	в литературе	2	1
270	к которому	3	1
271	этом смысле	2	1
272	один из	2	1
273	но с	1	1
274	сложности и	1	1
275	в качестве	24	1
276	себя в	6	1
277	внимание в	1	1
278	писал об	1	1
279	на свое	1	1
280	в душе	8	1
281	что для	1	1
282	говорит о	1	1
283	никто не	2	1
284	узнает в	1	1
285	в известной	1	1
286	в одном	2	1
287	ее не	1	1
288	лишь один	2	1
289	в особенности	1	1
290	с другой	7	1
291	именно в	3	1
292	любви она	1	1
293	прежде всего	2	1
294	в соответствии	3	1
295	в рассказе	2	1
296	одну из	1	1
297	что из	1	1
298	не об	1	1
299	и литературные	1	1
300	с помощью	1	1
301	– этого	2	1
302	в частности	16	1
303	человека к	3	1
304	– не	4	1
305	этого типа	1	1
306	и маргариты	1	1
307	того что	4	1
308	романе достоевского	1	1
309	я с	5	1
310	известном смысле	1	1
311	в условиях	1	1
312	ближе к	1	1
313	более того	1	1
314	и от	1	1
315	но на	1	1
316	наполеона в	1	1
317	поскольку вместо	2	1
318	котором он	1	1
319	и другими	1	1
320	о котором	1	1
321	тот кто	2	1
322	хотя и	3	1
323	бы в	1	1
324	в литературной	1	1
325	и последовательность	1	1
326	отношении к	2	1
327	нам не	1	1
328	судьбы они	1	1
329	а о	1	1
330	о своем	2	1
331	быть и	2	1
332	другой стороны	5	1
333	из этого	1	1
334	только о	1	1
335	точно так	1	1
336	все что	1	1
337	они не	1	1
