N	3gram	Tiupa_Disk_2	Marksizm
1	с точки зрения	2	13
2	не может быть	3	10
3	по отношению к	4	8
4	то же время	5	8
5	в то же	4	8
6	в том что	6	6
7	в самом деле	1	5
8	с самого начала	1	5
9	в большинстве случаев	1	5
10	и того же	2	4
11	бы то ни	1	4
12	то ни было	1	4
13	той или иной	3	4
14	одного и того	2	4
15	в той или	1	3
16	и не может	2	3
17	в отличие от	12	3
18	одно и то	2	3
19	с одной стороны	4	3
20	и то же	2	3
21	о том что	3	3
22	одной стороны и	2	2
23	нашли свое наиболее	1	2
24	того или иного	1	2
25	по крайней мере	1	2
26	отнюдь не является	1	2
27	в значительной степени	1	2
28	во всяком случае	1	2
29	чужой речи и	1	2
30	и прежде всего	2	2
31	в другом месте	1	1
32	в сочетании с	2	1
33	прежде всего на	1	1
34	может быть сведена	1	1
35	дело в том	2	1
36	как и всякое	2	1
37	не говоря уже	1	1
38	между внутренним и	1	1
39	к другому в	1	1
40	в том числе	1	1
41	в соответствии с	2	1
42	в этом случае	2	1
43	не имеют никакого	1	1
44	говоря уже о	1	1
45	до известной степени	1	1
46	в первую очередь	2	1
47	в этом отношении	4	1
48	что приводит к	1	1
49	том числе и	1	1
50	одна из них	1	1
51	в этом качестве	1	1
52	и в большинстве	1	1
53	в равной степени	1	1
54	тем не менее	1	1
55	не могут быть	1	1
56	а с другой	1	1
57	внутренним и внешним	1	1
58	быть сведена к	1	1
59	она отнюдь не	1	1
60	между ним и	1	1
61	с другой стороны	1	1
62	могло бы стать	1	1
63	не совпадает с	1	1
64	так и в	3	1
65	от утверждения что	1	1
66	в себе не	1	1
67	в конечном счете	1	1
68	в русской литературе	2	1
69	не менее в	1	1
70	не было в	2	1
71	можно сказать что	1	1
72	друг от друга	1	1
73	имеют никакого отношения	1	1
74	не сводится к	2	1
75	мы все же	1	1
76	к выводу о	1	1
77	то есть оно	1	1
78	но также и	1	1
79	тем что он	1	1
80	лицом к лицу	1	1
81	но в этом	1	1
82	с той или	1	1
83	как и в	5	1
84	здесь как и	1	1
