N	3gram	Bakhtin_Pr_3	Myshleni
1	в том что	1	31
2	с точки зрения	4	11
3	мы могли бы	1	9
4	в этом смысле	4	8
5	с другой стороны	3	8
6	в этом отношении	1	7
7	и тот же	1	7
8	смысле этого слова	2	7
9	один и тот	1	7
10	друг с другом	2	7
11	в самом деле	3	6
12	одно и то	1	6
13	и то же	1	6
14	и того же	1	5
15	друг на друга	2	5
16	не только не	1	5
17	одного и того	1	5
18	для того чтобы	1	5
19	и то что	1	4
20	на то что	1	4
21	в этом случае	2	3
22	вместе с тем	2	3
23	во всяком случае	5	3
24	о том что	2	3
25	как мы уже	1	3
26	что они действительно	2	2
27	и для других	1	2
28	в отличие от	2	2
29	в данном случае	1	2
30	в высшей степени	3	2
31	и в отношении	1	2
32	то что они	1	2
33	все более и	1	2
34	мы уже говорили	3	2
35	между этими двумя	1	2
36	в свою очередь	1	2
37	никогда не бывает	2	2
38	более и более	1	2
39	подобно тому как	2	2
40	мы видели что	1	2
41	на всем протяжении	1	2
42	могли бы сказать	1	2
43	как мы видели	2	2
44	и только в	1	2
45	если бы он	1	1
46	может войти в	2	1
47	является как раз	1	1
48	одних и тех	1	1
49	как и у	3	1
50	но как мы	1	1
51	можем сказать что	1	1
52	потому что в	1	1
53	прежде всего в	1	1
54	как бы не	1	1
55	на самом деле	10	1
56	понятно что в	1	1
57	как и во	1	1
58	но даже и	1	1
59	чем иным как	1	1
60	ибо как мы	1	1
61	во всей своей	1	1
62	что он не	1	1
63	не входит в	2	1
64	бы то ни	4	1
65	оно вообще не	1	1
66	до сих пор	1	1
67	заключает в себе	1	1
68	по сравнению со	1	1
69	и тех же	1	1
70	нашли бы в	1	1
71	как если бы	1	1
72	мы видели также	1	1
73	к тому что	1	1
74	слова и его	3	1
75	то ни было	4	1
76	не чем иным	1	1
77	может быть не	1	1
78	имел в виду	1	1
79	в противоречии с	1	1
80	лежит в основе	1	1
81	на этот раз	1	1
82	возвращает нас к	1	1
83	в конце концов	3	1
84	как и самое	1	1
85	того в чем	1	1
86	и как бы	1	1
87	благодаря тому что	1	1
88	его к тому	1	1
89	в такой же	2	1
90	мы сейчас увидим	1	1
91	к тому же	2	1
92	друг к другу	1	1
93	как бы в	1	1
94	не может быть	6	1
95	мы говорили что	1	1
96	есть еще одна	1	1
97	по отношению к	5	1
98	то что в	1	1
99	отношением его к	1	1
100	только в отношении	1	1
101	мы можем сказать	1	1
102	именно тем что	2	1
103	с самого начала	8	1
104	вопрос о том	1	1
105	как мы сейчас	1	1
106	и так же	1	1
107	но все же	1	1
108	это давно уже	1	1
109	можно сказать что	1	1
110	внутренние и внешние	1	1
111	бы они ни	1	1
112	они ни были	1	1
113	но на самом	4	1
114	с которыми он	1	1
115	и что он	1	1
116	тем не менее	2	1
117	мы уже указывали	1	1
118	и для другого	1	1
119	видит того что	1	1
120	и было бы	1	1
121	как и в	1	1
122	становятся как бы	1	1
123	что и в	1	1
124	но и с	1	1
125	мы увидим что	2	1
126	для этого необходимо	2	1
127	не видит того	1	1
128	в том же	1	1
129	таким образом на	1	1
130	может быть даже	3	1
131	этого слова в	2	1
