N	4gram	Tiupa_Teor_1	DiskursI
1	в то же время	5	4
2	состоит в том что	4	2
3	дело в том что	1	2
4	одного и того же	3	2
5	одно и то же	1	2
6	в той мере в	1	1
7	присутствия в мире на	1	1
8	чего бы то ни	1	1
9	той мере в какой	1	1
10	бог сойти с ума	1	1
11	бы то ни было	1	1
12	выготским и н.и жинкиным	1	1
13	л.с выготским и н.и	1	1
14	нас самих состоят все	1	1
15	потому что из нас	1	1
16	из нас самих состоят	1	1
17	дай мне бог сойти	1	1
18	одном и том же	1	1
19	мне бог сойти с	1	1
20	в том что в	1	1
21	в той или иной	1	1
22	той или иной мере	1	1
23	и в то же	1	1
24	присутствия я в мире	5	1
25	в том числе и	1	1
26	что из нас самих	1	1
27	грани между индивидуальными жизнями	1	1
28	всем потому что из	1	1
29	что в имени тебе	2	1
30	в имени тебе моем	1	1
31	в эпических жанрах а	1	1
32	мы имеем дело не	1	1
33	не дай мне бог	1	1
34	интересно всем потому что	1	1
