N	3gram	Tiupa_Anal_1	Dialekti
1	с точки зрения	4	12
2	в том что	9	7
3	сам по себе	1	6
4	внутреннего и внешнего	2	6
5	ни с какой	1	4
6	то же время	6	4
7	по крайней мере	1	4
8	одно и то	1	4
9	и то же	1	4
10	с другой стороны	2	4
11	в то же	8	4
12	более или менее	1	3
13	в этом смысле	1	3
14	не может быть	16	3
15	той или иной	6	3
16	я никогда не	1	2
17	содержат в себе	1	2
18	до сих пор	1	2
19	на точку зрения	1	2
20	на что не	1	2
21	в этом отношении	2	2
22	и т п	3	2
23	или хотя бы	1	2
24	то или иное	1	2
25	и в частности	1	2
26	с одной стороны	3	2
27	ни на что	1	2
28	во всяком случае	1	2
29	одна и та	1	2
30	случае не есть	1	2
31	что не есть	1	2
32	с той или	1	2
33	о том что	3	2
34	к тому что	1	2
35	и та же	1	2
36	или не будет	1	1
37	в той или	3	1
38	я не могу	1	1
39	в данный момент	1	1
40	мы имеем дело	4	1
41	а не с	1	1
42	и той же	1	1
43	в самом деле	2	1
44	что для науки	1	1
45	что же касается	1	1
46	как раз и	1	1
47	на том или	1	1
48	сами по себе	2	1
49	ни в коем	2	1
50	и быть может	1	1
51	как мы увидим	1	1
52	и дело не	1	1
53	на самом же	1	1
54	только в том	1	1
55	того и другого	2	1
56	из того что	3	1
57	вместе с ним	2	1
58	по себе в	1	1
59	она может быть	1	1
60	есть встреча двух	1	1
61	и не в	4	1
62	говоря не в	1	1
63	в коем случае	2	1
64	не может меня	1	1
65	не есть в	1	1
66	в том чтобы	7	1
67	далеко не всегда	2	1
68	но в то	2	1
69	к своему собственному	1	1
70	и должно быть	1	1
71	с ним и	1	1
72	не в том	3	1
73	в связи с	1	1
74	или ином отношении	1	1
75	перед нами два	1	1
76	имеем дело уже	1	1
77	самом же деле	1	1
78	есть не что	3	1
79	самим по себе	1	1
80	том что именно	1	1
81	коем случае не	2	1
82	а не ее	1	1
83	между тем в	1	1
84	или иное логическое	1	1
85	что иное как	5	1
86	в полной мере	3	1
87	никогда не бывает	1	1
88	одной и той	1	1
89	не что иное	4	1
90	тех или иных	2	1
91	друг с другом	1	1
92	дело не в	1	1
93	для того чтобы	3	1
94	том или ином	3	1
95	на первый взгляд	1	1
96	к тому же	4	1
97	ничто не может	1	1
98	то же самое	2	1
