N	2gram	Voloshinov_1	Istorich
1	и в	3	25
2	может быть	1	17
3	не только	1	13
4	но и	1	13
5	в его	1	12
6	и не	1	11
7	и на	1	8
8	связи с	1	8
9	мы видим	1	8
10	не может	4	6
11	в ней	1	5
12	то же	1	4
13	с другими	1	4
14	не менее	1	4
15	если в	2	3
16	в то	1	3
17	в особенности	1	3
18	и все	1	3
19	тех же	1	2
20	несмотря на	1	2
21	точки зрения	1	2
22	на нее	1	2
23	если бы	1	2
24	а не	1	2
25	один из	2	2
26	и заставляет	1	1
27	становится особенно	1	1
28	он в	1	1
29	в иную	1	1
30	и социальной	1	1
31	смысл и	1	1
32	лучше всего	1	1
33	на месте	1	1
34	с точки	1	1
35	же время	1	1
36	к тому	1	1
37	для него	1	1
38	можно назвать	1	1
39	работ это	1	1
40	к историческому	1	1
41	форм нет	1	1
42	бы в	1	1
