1	в то же	4	7
2	то же время	4	7
3	в отношении к	4	5
4	не только в	2	4
5	в том что	4	4
6	с точки зрения	3	3
7	сами по себе	1	3
8	с одной стороны	5	3
9	в том числе	1	2
10	но и в	1	2
11	одной стороны и	3	2
12	и не только	1	2
13	и в то	1	2
14	как бы она	1	1
15	и не может	1	1
16	хотя бы и	2	1
17	в нем в	3	1
18	не может быть	15	1
19	в применении к	1	1
20	в отличие от	12	1
21	том что в	1	1
22	но в этом	1	1
23	бы она ни	1	1
24	во всяком случае	2	1
25	для того чтобы	2	1
26	том числе и	1	1
27	более или менее	2	1
28	в собственном смысле	3	1
29	в частности в	1	1
30	не только как	1	1
31	и т д	2	1
32	собственном смысле не	1	1
33	далеко не все	1	1
34	тем и другим	1	1
35	не входят в	1	1
36	с другой стороны	1	1
37	должна быть именно	1	1
38	и не столько	1	1
39	но в то	3	1
40	гоголя и достоевского	1	1
41	может не только	1	1
42	в большинстве случаев	5	1
