N	2gram	Tiupa_Disk_1	Komedia
1	и в	16	22
2	и не	11	21
3	том что	19	13
4	таким образом	3	12
5	в том	23	12
6	со стороны	7	11
7	потому что	4	10
8	в самом	3	9
9	до сих	1	9
10	вместе с	1	9
11	сих пор	1	9
12	в этом	15	8
13	в своем	6	8
14	что отец	1	8
15	о том	8	8
16	если бы	1	8
17	в его	7	8
18	что и	3	8
19	что он	4	8
20	едва ли	2	7
21	то же	7	7
22	при этом	13	7
23	не по	1	7
24	об этом	2	7
25	в конце	1	7
26	о чем	2	7
27	а в	5	7
28	в свою	3	7
29	того же	3	6
30	самом деле	1	6
31	еще не	14	6
32	тому же	5	6
33	в то	3	6
34	и его	2	6
35	к тому	5	6
36	свою очередь	3	6
37	и что	2	6
38	может быть	17	6
39	как раз	1	6
40	во время	1	6
41	к этому	2	6
42	речь идет	1	5
43	не хочет	1	5
44	что его	1	5
45	отношение к	4	5
46	более чем	2	5
47	но в	8	5
48	не только	28	5
49	в жены	1	5
50	а по	2	5
51	он не	1	5
52	в своей	5	5
53	в которых	4	5
54	не менее	2	5
55	же время	4	5
56	связи с	4	5
57	к себе	2	5
58	и сам	1	5
59	хотя и	2	5
60	к нему	1	5
61	что в	4	5
62	по отношению	9	5
63	из них	3	5
64	тем что	3	5
65	прежде всего	11	5
66	как это	1	5
67	то ли	2	4
68	на себя	2	4
69	с другой	10	4
70	тут же	1	4
71	нет и	1	4
72	отнюдь не	8	4
73	все же	3	4
74	когда он	2	4
75	то что	5	4
76	что к	1	4
77	в себе	7	4
78	что она	1	4
79	но все	1	4
80	совпадают с	1	4
81	с тем	1	4
82	несмотря на	1	4
83	точки зрения	3	4
84	не в	7	4
85	однако в	3	4
86	самого начала	1	4
87	на него	1	4
88	с самого	1	4
89	друг друга	1	4
90	так и	8	4
91	между собой	2	4
92	с помощью	1	4
93	до нас	1	4
94	но и	14	4
95	до конца	1	4
96	ничем не	1	4
97	а не	22	4
98	в связи	1	4
99	не является	4	4
100	тем более	1	4
101	хотя бы	3	4
102	идет о	1	3
103	говорить о	1	3
104	из того	1	3
105	на них	1	3
106	столь же	3	3
107	с его	4	3
108	в ее	3	3
109	с этим	3	3
110	и к	4	3
111	тем же	1	3
112	ситуации в	1	3
113	в которой	1	3
114	представляет собой	17	3
115	в этой	2	3
116	на то	1	3
117	в нем	9	3
118	что ни	1	3
119	приводит к	2	3
120	было бы	1	3
121	в них	4	3
122	далеко не	10	3
123	как и	16	3
124	том как	1	3
125	с точки	1	3
126	тем не	1	3
127	к ним	3	3
128	не имеет	1	3
129	никогда не	2	3
130	же самое	2	3
131	одного из	2	3
132	не позволяет	1	3
133	должно было	1	3
134	и мы	1	3
135	не о	1	3
136	одной из	4	3
137	с одной	9	3
138	со временем	1	3
139	в начале	2	3
140	что не	4	3
141	это обстоятельство	1	3
142	всяком случае	1	3
143	мы можем	1	3
144	отношению к	9	3
145	и даже	3	3
146	даже не	1	3
147	на ее	2	3
148	перед ним	1	3
149	один из	3	3
150	в частности	9	3
151	не может	9	3
152	по своему	3	3
153	одной стороны	9	3
154	как бы	5	3
155	с этой	1	3
156	в целом	4	3
157	не знает	1	3
158	дело с	2	3
159	в какой	2	3
160	во всяком	2	3
161	отношения к	2	2
162	из его	1	2
163	в и	1	2
164	мы не	1	2
165	в сущности	2	2
166	х годов	2	2
167	представление о	1	2
168	и он	2	2
169	но при	3	2
