1	в то же	4	7
2	то же время	4	7
3	не только в	5	4
4	в том что	3	4
5	с точки зрения	8	3
6	сами по себе	2	3
7	с одной стороны	1	3
8	в том числе	3	2
9	но и в	3	2
10	и не только	1	2
11	и в то	3	2
12	в значительной мере	1	2
13	в тот же	1	2
14	тот или иной	1	1
15	тем более что	2	1
16	или что то	1	1
17	не может быть	1	1
18	в отличие от	1	1
19	ибо то что	1	1
20	в этих двух	1	1
21	что то же	1	1
22	и в этом	3	1
23	в этом мире	6	1
24	по сравнению с	1	1
25	но в этом	1	1
26	бы она ни	2	1
27	вместе с тем	1	1
28	для того чтобы	7	1
29	том числе и	2	1
30	в частности в	1	1
31	можно говорить о	1	1
32	но и другие	1	1
33	и т д	3	1
34	что в этом	2	1
35	друг с другом	4	1
36	есть прежде всего	1	1
37	не входят в	1	1
38	не было бы	2	1
39	с другой стороны	1	1
40	но в то	1	1
41	в борьбе с	2	1
42	в большинстве случаев	3	1
