N	2gram	Trubetskoy_1	Marksizm
1	точки зрения	11	34
2	может быть	9	26
3	и не	19	26
4	не может	22	24
5	с точки	9	20
6	и в	14	19
7	таким образом	11	17
8	в этом	17	16
9	как бы	4	15
10	как мы	1	13
11	языка и	1	13
12	прежде всего	8	13
13	как и	4	12
14	если мы	1	11
15	так и	1	11
16	связи с	3	11
17	и для	6	11
18	самом деле	7	10
19	в нем	5	10
20	ни было	1	10
21	в самом	3	10
22	лишь в	3	9
23	только в	5	9
24	для него	6	9
25	в результате	2	9
26	бы то	4	8
27	все же	4	8
28	не только	9	8
29	при этом	5	8
30	то ни	4	8
31	друг друга	3	8
32	до сих	5	8
33	но и	10	8
34	сих пор	5	8
35	то что	13	8
36	во всех	5	7
37	в ее	1	7
38	точка зрения	1	7
39	но в	2	7
40	все эти	2	7
41	и те	2	7
42	то же	11	7
43	психики и	1	7
44	а не	2	7
45	в связи	1	7
46	так же	2	7
47	отнюдь не	7	6
48	мы не	1	6
49	и того	1	6
50	настоящее время	2	6
51	в его	4	6
52	на почве	2	6
53	в том	17	6
54	– не	2	6
55	является не	2	6
56	в настоящее	2	6
57	того же	1	6
58	связи между	1	5
59	конечно не	5	5
60	входит в	1	5
61	одного и	1	5
62	не в	4	5
63	необходимо чтобы	1	5
64	того чтобы	8	5
65	те же	1	5
66	и все	1	5
67	этот вопрос	2	5
68	ясно что	2	5
69	в начале	2	5
70	в конце	3	5
71	вовсе не	1	5
72	с другой	1	5
73	именно в	3	5
74	до конца	1	5
75	мы знаем	1	5
76	и потому	3	5
77	хотя бы	5	5
78	к этому	1	5
79	во всяком	9	5
80	оно может	1	4
81	вопрос о	5	4
82	и на	5	4
83	нет и	1	4
84	выражение в	1	4
85	и тот	2	4
86	к одному	1	4
87	лишь с	1	4
88	здесь мы	1	4
89	не будет	7	4
90	было бы	5	4
91	не столько	1	4
92	не менее	1	4
93	по себе	2	4
94	самого начала	1	4
95	не является	1	4
96	в ней	2	4
97	с самого	1	4
98	еще не	3	4
99	только на	2	4
100	это –	1	4
101	от того	4	4
102	для того	6	4
103	как же	1	4
104	с этим	2	4
105	в данном	7	4
106	что же	4	4
107	а в	5	4
108	отношении к	2	4
109	жизни в	5	4
110	что в	4	4
111	на самом	6	3
112	он может	1	3
113	и есть	2	3
114	имеет свою	1	3
115	в сущности	1	3
116	в большинстве	3	3
117	по отношению	2	3
118	в истории	1	3
119	целый ряд	2	3
120	и как	3	3
121	и к	6	3
122	в которой	1	3
123	в корне	4	3
124	но все	1	3
125	его в	4	3
126	он не	5	3
127	том что	9	3
128	эта последняя	1	3
129	в своей	5	3
130	в котором	2	3
131	мы говорили	3	3
132	место в	2	3
133	войти в	1	3
134	в то	10	3
135	для каждого	1	3
136	же время	10	3
137	этом отношении	1	3
138	в области	2	3
139	не могут	4	3
140	же самое	1	3
141	должны быть	1	3
142	не есть	3	3
143	и это	1	3
144	только при	1	3
145	и ту	1	3
146	сводится к	3	3
147	одного из	1	3
148	можно сказать	1	3
149	с другими	1	3
