N	2gram	Tiupa_Anal_3	Dialekti
1	не есть	4	54
2	и не	12	27
3	а не	9	26
4	точки зрения	3	25
5	и в	18	24
6	не только	22	23
7	по себе	4	20
8	не может	2	19
9	ничего не	3	17
10	и есть	1	16
11	с точки	2	14
12	то что	2	14
13	в таком	1	14
14	таким образом	4	13
15	что он	4	13
16	вовсе не	1	13
17	может быть	9	13
18	и даже	8	13
19	в мифе	1	13
20	того что	1	12
21	есть и	1	12
22	не менее	4	11
23	таком случае	1	10
24	в сущности	5	10
25	отнюдь не	4	10
26	тем не	2	10
27	только не	3	10
28	есть не	2	9
29	что она	2	9
30	но и	13	9
31	в этом	14	8
32	и как	4	8
33	учение о	1	8
34	так что	1	8
35	прежде всего	5	8
36	что мы	2	8
37	том что	12	8
38	это и	2	7
39	есть нарушение	1	7
40	в самом	5	7
41	как и	14	7
42	никогда не	5	7
43	как раз	7	7
44	потому что	1	7
45	в особенности	3	7
46	я уже	1	7
47	что в	9	7
48	самом деле	2	6
49	д и	1	6
50	что иное	1	6
51	я не	1	6
52	иное как	1	6
53	то же	3	6
54	об этом	2	6
55	превращается в	1	6
56	оно не	1	6
57	если бы	1	6
58	что и	5	6
59	и только	1	6
60	о том	6	6
61	и все	2	6
62	все это	3	6
63	от всего	1	6
64	но если	1	6
65	не что	1	6
66	сам по	1	5
67	вопрос о	1	5
68	хотя и	2	5
69	и к	4	5
70	само по	1	5
71	он не	6	5
72	по крайней	4	5
73	так и	14	5
74	было бы	3	5
75	в них	2	5
76	мы не	3	5
77	и тогда	1	5
78	в том	9	5
79	в то	3	5
80	и его	13	5
81	только в	2	5
82	уже не	5	5
83	одно из	1	5
84	крайней мере	4	5
85	что не	3	5
86	есть явление	1	5
87	как это	3	5
88	с этой	1	5
89	но это	1	5
90	личности и	2	5
91	только как	1	5
92	жизни и	1	5
93	как на	1	5
94	говорить о	3	4
95	мы и	1	4
96	сама по	2	4
97	в истории	1	4
98	субъекта и	2	4
99	подобно тому	3	4
100	это не	2	4
101	от себя	1	4
102	как о	1	4
103	не могут	1	4
104	нет никакой	1	4
105	жизнь и	3	4
106	к тому	6	4
107	с другой	7	4
108	для него	6	4
109	или иной	5	4
110	говорит о	2	4
111	у нас	1	4
112	тому как	2	4
113	хотя бы	1	4
114	сказать что	2	4
115	из самых	1	3
116	мы уже	1	3
117	той же	5	3
118	зависимости от	1	3
119	и на	4	3
120	мифом и	1	3
121	за пределы	1	3
122	мере в	2	3
123	с этим	3	3
124	границы и	1	3
125	в своем	4	3
126	все же	4	3
127	перед нами	4	3
128	все эти	2	3
129	тем более	1	3
130	на то	1	3
131	в нем	2	3
132	в силу	1	3
133	не будет	3	3
134	того или	1	3
135	он есть	1	3
136	на свои	1	3
137	он и	3	3
138	должно быть	1	3
139	как все	1	3
140	и без	3	3
141	нечто или	1	3
142	мир и	1	3
143	не в	6	3
144	того кто	1	3
145	из которых	1	3
146	тем самым	4	3
147	одна из	2	3
148	в основе	1	3
149	на себя	2	3
150	же время	3	3
151	во всем	3	3
152	и о	1	3
153	из двух	1	3
154	это было	1	3
155	и ее	2	3
156	с одной	2	3
157	есть ни	1	3
158	есть в	1	3
159	мы знаем	1	3
160	случае не	1	3
161	не говорит	1	3
162	тем что	2	3
163	для того	1	3
164	эти две	1	3
165	и прежде	2	3
166	не было	3	3
167	его как	3	3
168	одной стороны	2	3
169	а если	1	3
170	в сферу	1	3
171	как бы	10	3
172	сравнении с	2	3
173	с полной	1	3
174	и от	2	3
175	мира и	2	3
176	не знает	1	3
177	в сравнении	2	3
178	все что	1	3
179	в слове	5	3
180	я и	3	2
181	например в	2	2
182	в частности	12	2
183	или к	1	2
184	в первом	2	2
185	не имеют	1	2
186	в зависимости	1	2
187	уже по	2	2
188	его не	3	2
189	что если	1	2
190	оно есть	1	2
191	и он	2	2
192	в ней	2	2
193	целое и	1	2
194	еще не	6	2
195	на них	1	2
196	всего этого	1	2
197	с его	8	2
198	но не	7	2
199	не видно	2	2
200	своей и	1	2
201	первых двух	1	2
202	но в	2	2
203	то в	2	2
204	из этих	3	2
205	на стадии	1	2
206	в себе	2	2
207	тому же	3	2
208	при этом	11	2
209	и вот	2	2
210	что у	1	2
211	и по	2	2
212	ко второму	3	2
213	чаще всего	1	2
214	только одно	1	2
215	солнце и	1	2
216	из нее	1	2
217	мира где	1	2
218	во внимание	1	2
219	несмотря на	2	2
220	от своего	1	2
221	к истории	1	2
222	всяком случае	2	2
223	в их	6	2
224	от его	2	2
225	бы быть	1	2
226	как видим	1	2
227	же мы	1	2
228	но они	2	2
229	а для	2	2
230	о ней	1	2
231	и является	1	2
232	как я	1	2
233	личности в	3	2
234	уже о	1	2
235	его внутренней	1	2
236	когда мы	2	2
237	истории не	2	2
238	могут быть	2	2
239	той или	3	2
240	все еще	1	2
241	для себя	1	2
242	как мы	1	2
243	говоря уже	1	2
244	так в	3	2
245	разного рода	1	2
246	и всякого	1	2
247	для этого	1	2
248	нас к	1	2
249	и здесь	2	2
250	есть само	1	2
251	никак не	1	2
252	однако что	4	2
253	в его	7	2
254	тех пор	2	2
255	отца и	1	2
256	тот или	2	2
257	со всеми	2	2
258	себя в	4	2
259	не можем	1	2
260	и у	1	2
261	своим собственным	1	2
262	же в	2	2
263	ведь это	1	2
264	не о	1	2
265	у него	1	2
266	так или	1	2
267	со стороны	9	2
268	или иначе	1	2
269	именно в	3	2
270	а именно	1	2
271	еще и	3	2
272	но о	1	2
273	себя и	1	2
274	только к	2	2
275	зависит от	1	2
276	без которых	1	2
277	но как	3	2
278	и потому	2	2
279	в данном	4	2
280	с тех	1	2
281	и формы	1	2
282	и для	2	2
283	себя самого	1	2
284	бы в	1	2
285	а в	10	2
286	личность и	1	2
287	может и	1	2
288	не говоря	1	2
289	другой стороны	5	2
290	совершенно не	2	2
291	по одному	1	2
292	о себе	2	2
293	или иного	1	2
294	из этого	1	2
295	тогда не	2	2
296	но еще	1	2
297	к этой	1	2
298	ее в	1	2
299	в своих	1	2
300	они не	1	2
301	который не	2	2
302	во всяком	2	2
303	речь идет	1	1
304	кто бы	1	1
305	говоря о	1	1
306	в применении	1	1
307	отношения к	2	1
308	и фактически	1	1
309	начинается с	1	1
310	этом отношении	3	1
311	на самом	1	1
312	идет о	1	1
313	его внутреннюю	1	1
314	и так	1	1
315	к другому	1	1
316	по преимуществу	2	1
317	едва ли	3	1
318	если к	1	1
319	по его	3	1
320	и ниже	1	1
321	и само	1	1
322	и себя	1	1
323	на первом	1	1
324	и момент	1	1
325	превратилась в	1	1
326	что уже	1	1
327	на свою	1	1
328	до полного	1	1
329	и самого	6	1
330	так если	1	1
331	истории в	1	1
332	объекта или	1	1
333	во всех	2	1
334	противоположная ей	1	1
335	то мы	1	1
336	конечном счете	2	1
337	в общем	2	1
338	тогда как	20	1
339	свободы и	1	1
340	до которого	1	1
341	независимо от	1	1
342	как к	2	1
343	бы действительно	1	1
344	не это	1	1
345	этой стороны	1	1
346	тем кто	1	1
347	себе не	1	1
348	историей он	1	1
349	силе и	1	1
350	от этого	1	1
351	то ли	2	1
352	со своей	8	1
353	к чему	1	1
354	понятия о	1	1
355	та же	1	1
356	как то	1	1
357	во многих	1	1
358	право на	1	1
359	есть одна	1	1
360	мы можем	2	1
361	при виде	1	1
362	всех этих	1	1
363	свою собственную	1	1
364	принадлежат и	1	1
365	чем у	1	1
366	этом мире	1	1
367	ли от	1	1
368	его можно	1	1
369	факт что	1	1
370	и может	1	1
371	в мире	5	1
372	видит что	1	1
373	в глубине	2	1
374	сознание не	1	1
375	которых вероятно	1	1
376	его в	3	1
377	на почве	1	1
378	же если	1	1
379	только лишь	1	1
380	нет в	1	1
381	далеко не	4	1
382	как об	1	1
383	мы имеем	5	1
384	место и	1	1
385	не всегда	3	1
386	которой он	1	1
387	о чем	4	1
388	происходит как	1	1
389	жизни но	1	1
390	в чистом	1	1
391	они в	1	1
392	и становится	1	1
393	но я	1	1
394	менее чем	1	1
395	не выдерживает	1	1
396	не становится	1	1
397	страсти и	1	1
398	место в	1	1
399	оно живет	1	1
400	не от	2	1
401	не как	2	1
402	бы мы	1	1
403	по своей	2	1
404	то от	1	1
405	одном из	1	1
406	мифа с	1	1
407	и той	2	1
408	что было	1	1
409	отнюдь еще	1	1
410	свобода и	1	1
411	в устах	1	1
412	для нее	1	1
413	даже в	2	1
414	же самого	1	1
415	то с	1	1
416	вплоть до	2	1
417	отличается в	1	1
418	исторического бытия	1	1
419	дело не	3	1
420	на него	1	1
421	одной и	2	1
422	ставит его	1	1
423	себе самом	1	1
424	казалось бы	1	1
425	в самой	1	1
426	имеем дело	4	1
427	этих двух	1	1
428	между мифом	1	1
429	связи с	1	1
430	перенесено в	1	1
431	не столь	1	1
432	что на	1	1
433	за ними	1	1
434	перед ним	1	1
435	в стиле	1	1
436	чистом виде	2	1
437	уже было	1	1
438	как некое	1	1
439	пор как	1	1
440	с ее	3	1
441	были только	1	1
442	в ее	3	1
443	данном случае	3	1
444	только при	1	1
445	были бы	3	1
446	чего она	1	1
447	человека я	1	1
448	в себя	2	1
449	культуры для	1	1
450	где подлинная	1	1
451	и сам	4	1
452	целое как	1	1
453	не с	2	1
454	достигает своей	1	1
455	мог бы	1	1
456	логикой и	1	1
457	связанных с	1	1
458	личности на	1	1
459	строго говоря	1	1
460	с этого	1	1
461	бывает в	1	1
462	с ним	1	1
463	быть ни	1	1
464	о смерти	3	1
465	смерти ни	1	1
466	миф это	1	1
467	то есть	10	1
468	себя не	1	1
469	внимание на	4	1
470	можно сказать	4	1
471	есть система	1	1
472	мы понимаем	1	1
473	все их	1	1
474	в конечном	2	1
475	тем или	2	1
476	а потому	1	1
477	не более	2	1
478	об исторических	1	1
479	бы и	2	1
480	наконец в	1	1
481	он был	1	1
482	интерпретация и	1	1
483	и мир	1	1
484	но с	2	1
485	всякого рода	1	1
486	здесь не	3	1
487	тот же	1	1
488	одной из	1	1
489	этот вопрос	1	1
490	сына в	1	1
491	все той	1	1
492	в качестве	12	1
493	каждый из	1	1
494	вопроса о	2	1
495	ни одного	1	1
496	бог не	1	1
497	отношения не	1	1
498	каким образом	1	1
499	другой с	1	1
500	единая и	1	1
501	но от	1	1
502	в одном	4	1
503	к ним	1	1
504	при всей	1	1
505	особенности это	1	1
506	и никогда	1	1
507	и делает	1	1
508	невозможно не	1	1
509	указание на	2	1
510	до сих	1	1
511	к которому	1	1
512	нами не	1	1
513	между ними	1	1
514	их можно	1	1
515	но лишь	1	1
516	стремится к	1	1
517	и картины	1	1
518	своей любви	1	1
519	есть непосредственно	1	1
520	слово а	1	1
521	или с	1	1
522	в связи	1	1
523	не видит	1	1
524	уже давно	1	1
525	ни за	1	1
526	связь с	2	1
527	вместе с	2	1
528	тот факт	1	1
529	по своему	2	1
530	в область	1	1
531	в течение	1	1
532	применении к	1	1
533	внутри себя	1	1
534	жизни ибо	1	1
535	никакой возможности	1	1
536	да и	2	1
537	я с	2	1
538	мыслится как	1	1
539	внешнего мира	1	1
540	и несамостоятельность	1	1
541	простого факта	1	1
542	мы могли	1	1
543	сих пор	1	1
544	оба они	1	1
545	в культуре	2	1
546	не носит	1	1
547	не мог	2	1
548	иной модус	1	1
549	глубине души	1	1
550	живет и	1	1
551	объекта и	1	1
552	в результате	5	1
553	хома брут	1	1
554	а все	1	1
555	могут обладать	1	1
556	от него	1	1
557	и новое	1	1
558	бытия личности	1	1
559	с таким	1	1
560	как показывает	2	1
561	но всегда	2	1
562	тезис о	1	1
563	к ее	1	1
564	поскольку не	1	1
565	нам не	2	1
566	это все	1	1
567	же самой	1	1
568	особенности с	1	1
569	гоголевский хома	1	1
570	привязан к	1	1
571	с самим	2	1
