N	3gram	Vinokur_Vv_1	Problemy
1	и т п	5	9
2	с точки зрения	2	8
3	до сих пор	5	7
4	сам по себе	1	5
5	то же время	5	5
6	в то же	5	5
7	по отношению к	4	5
8	в самом деле	5	4
9	не может быть	8	4
10	и т д	37	4
11	в отличие от	3	4
12	сама по себе	3	4
13	но в то	3	3
14	никак не может	1	3
15	можно было бы	3	3
16	той или иной	1	3
17	с другой стороны	5	3
18	в этом смысле	10	2
19	в этих случаях	2	2
20	которая как мы	1	2
21	имеют первостепенное значение	1	2
22	и то же	1	2
23	в конце концов	2	2
24	может быть и	2	2
25	здесь не место	1	2
26	как если бы	1	2
27	в том или	1	2
28	в настоящее время	1	2
29	но все же	3	2
30	может быть более	1	2
31	на этот вопрос	3	2
32	тем не менее	8	2
33	одно и то	1	2
34	о том что	12	1
35	уже в первом	1	1
36	с одной стороны	4	1
37	в том же	1	1
38	так или иначе	4	1
39	большей или меньшей	2	1
40	во всех его	1	1
41	бы то ни	1	1
42	на тему о	1	1
43	том или ином	1	1
44	и не в	1	1
45	что в нем	2	1
46	это еще не	2	1
47	в какой они	1	1
48	не есть и	1	1
49	что может быть	3	1
50	отношению к нему	1	1
51	в точном смысле	1	1
52	сообщение о том	1	1
53	можно сказать что	3	1
54	того о чем	1	1
55	т д но	5	1
56	на этой почве	2	1
57	и в том	3	1
58	т е в	4	1
59	о возможности и	1	1
60	бы оно было	1	1
61	здесь таким образом	1	1
62	то ни было	1	1
63	а между тем	1	1
64	в котором они	1	1
65	хотя бы и	2	1
66	на самом деле	1	1
67	в высшем смысле	1	1
68	само по себе	3	1
69	в сущности лишь	1	1
70	все это не	1	1
71	в том что	12	1
72	в каждом своем	1	1
73	как один из	1	1
74	то же самое	2	1
75	крайней мере не	1	1
76	того что могло	1	1
77	или меньшей степени	1	1
78	в его собственной	1	1
79	о котором идет	1	1
80	но в этом	1	1
81	особой точки зрения	1	1
82	как мы знаем	1	1
83	связи между словами	1	1
84	в каждом из	1	1
85	то что когда-то	1	1
86	нет он умеет	1	1
87	как мы уже	1	1
88	в значительной степени	1	1
89	как мы видим	1	1
90	никогда не была	1	1
91	не признать его	1	1
92	то что у	1	1
93	в связи с	2	1
94	после того как	2	1
95	смысле этого слова	2	1
96	прежде всего в	1	1
97	у него в	1	1
98	и в каждом	1	1
99	в большей или	1	1
100	сплошь да рядом	1	1
101	во второй части	1	1
102	в собственном смысле	2	1
103	как на свой	1	1
104	собственном смысле слова	1	1
105	если бы оно	1	1
106	но и в	1	1
107	дело в том	2	1
108	всего того что	1	1
109	также и в	2	1
110	в нем не	1	1
111	но уже и	1	1
112	оно направлено на	1	1
113	во всяком случае	3	1
114	этой точки зрения	1	1
115	так как если	1	1
116	одной стороны и	3	1
117	этом смысле не	1	1
118	в этом пункте	1	1
119	по крайней мере	4	1
120	между ними и	1	1
