N	4gram	Tiupa_Narr_1	EvropaiE
1	в то же время	3	14
2	и в то же	1	8
3	с этой точки зрения	1	5
4	бы то ни было	3	4
5	в той или иной	2	3
6	дело в том что	1	1
7	очевидно что в этом	1	1
8	и с точки зрения	1	1
9	одного и того же	1	1
10	как же обстоит дело	1	1
11	в качестве одного из	1	1
12	в том числе и	4	1
13	один и тот же	1	1
14	в качестве одной из	1	1
15	может быть сведена к	1	1
16	не кто иной как	1	1
17	той или иной степени	1	1
18	совершенно очевидно что в	1	1
19	но само по себе	1	1
20	поскольку речь идет о	1	1
