N	2gram	Medvedev_V_1	formyVre
1	и в	2	50
2	в этом	1	25
3	и его	1	16
4	и не	1	14
5	по существу	1	12
6	то же	1	11
7	в том	2	9
8	в конце	2	9
9	в самом	1	8
10	время в	1	6
11	в их	1	6
12	так как	1	6
13	в частности	1	6
14	и то	1	4
15	том что	2	4
16	потому что	1	4
17	только в	1	4
18	все это	1	4
19	одно и	1	3
20	для них	1	3
21	именно в	1	3
22	да и	1	3
23	ни к	1	3
24	к этому	1	3
25	а только	1	2
26	ясно что	1	2
27	в которых	1	2
28	том же	1	2
29	дело в	1	2
30	с большой	1	2
31	все то	1	2
32	в значительной	1	2
33	даже не	1	2
34	далеко не	1	2
35	хотя бы	1	2
36	я не	1	1
37	самом деле	1	1
38	совершенно ясно	1	1
39	значительной степени	1	1
40	главным образом	1	1
41	говорили в	1	1
42	же месте	1	1
43	другом месте	1	1
44	так в	1	1
45	в другом	1	1
46	одном и	1	1
47	и т.д	1	1
48	на одном	1	1
49	и только	1	1
50	в теории	1	1
51	же все	1	1
52	от других	1	1
53	ведь это	1	1
54	и составляет	1	1
55	и том	1	1
56	этом и	1	1
57	тем более	1	1
58	гораздо более	1	1
