N	3gram	Berdyaev_M_2	Hudozhes
1	в том что	2	11
2	по отношению к	2	7
3	о том что	2	7
4	так и не	1	4
5	подобно тому как	2	4
6	к тому что	3	4
7	том что в	1	3
8	а между тем	1	3
9	не может быть	8	3
10	как и в	2	3
11	для того чтобы	4	3
12	что она не	2	2
13	а не в	2	2
14	и в этом	3	2
15	с точки зрения	1	2
16	до сих пор	3	2
17	так же как	3	2
18	и сам он	1	2
19	все те же	1	2
20	человека к богу	1	1
21	в тот момент	1	1
22	той или иной	1	1
23	и не случайно	1	1
24	в ней все	1	1
25	оправдать все что	1	1
26	и в последней	1	1
27	же как и	3	1
28	никогда не будет	1	1
29	что он не	1	1
30	между тем как	1	1
31	в этом отношении	1	1
32	в другом и	1	1
33	с самим собою	2	1
34	с самим собой	1	1
35	из нас в	1	1
36	человека в его	1	1
37	в человеческой жизни	1	1
38	уже не существует	1	1
39	в значительной степени	1	1
40	что это за	1	1
41	что нет у	1	1
42	чтобы не было	1	1
43	все та же	1	1
44	он не любил	1	1
45	и не было	1	1
46	между тем в	1	1
47	она не знает	2	1
48	но и его	1	1
49	за пределы своего	1	1
50	он уже не	1	1
51	я не могу	1	1
52	на этом пути	2	1
53	этот смысл в	1	1
54	что же такое	1	1
55	с себя бремя	1	1
56	на наших глазах	1	1
57	они были бы	1	1
58	та или иная	1	1
59	берет на себя	1	1
60	именно потому что	1	1
61	и не то	1	1
62	и теперь я	1	1
63	лежит в основе	1	1
64	если бы не	1	1
65	после того как	2	1
66	у нее нет	1	1
67	человеческой жизни то	1	1
68	что и в	4	1
