N	3gram	Losev_Dial_4	Analitik
1	о том что	1	6
2	в том что	9	6
3	в данном случае	1	5
4	и в этом	3	4
5	в этом случае	1	4
6	мы имеем дело	1	3
7	подобно тому как	4	3
8	по крайней мере	7	3
9	содержит в себе	1	3
10	той или иной	1	3
11	тем не менее	2	3
12	в обоих случаях	1	2
13	в этом смысле	4	2
14	с точки зрения	9	2
15	в то же	6	2
16	и то что	1	2
17	а не только	1	2
18	не только в	1	2
19	в отличие от	1	2
20	по природе своей	1	2
21	с другой стороны	1	2
22	то же время	6	2
23	не только не	1	2
24	на то что	3	2
25	тех или иных	1	2
26	с той или	1	2
27	что иное как	8	1
28	одних и тех	2	1
29	можно сказать что	1	1
30	сказать что в	1	1
31	в данный момент	2	1
32	но ведь и	1	1
33	и даже не	1	1
34	имеется в виду	3	1
35	и что же?	1	1
36	которые могут быть	1	1
37	с одной из	1	1
38	хотя бы и	2	1
39	не имеет никаких	1	1
40	что она не	1	1
41	с этой точки	2	1
42	то и другое	2	1
43	и тех же	2	1
44	при этом эстетическая	1	1
45	есть в сущности	2	1
46	не только его	1	1
47	еще ничего не	2	1
48	из них в	1	1
49	и все его	1	1
50	тот же самый	1	1
51	в сущности это	1	1
52	что с ними	1	1
53	себе ничего не	1	1
54	это не так	1	1
55	до некоторой степени	1	1
56	в нашем случае	1	1
57	как и на	1	1
58	так или иначе	1	1
59	по себе ничего	1	1
60	в свою очередь	2	1
61	в связи с	1	1
62	не говорит о	3	1
63	прежде всего в	1	1
64	но если бы	1	1
65	этой точки зрения	2	1
66	есть не что	5	1
67	не может быть	6	1
68	и воля и	1	1
69	за пределы этой	1	1
70	во всех языках	1	1
71	мы могли уже	1	1
72	ни одна из	1	1
73	в нас самих	1	1
74	не что иное	8	1
75	речь идет о	1	1
76	ничего не говорит	4	1
77	в отношении к	1	1
78	сама по себе	5	1
79	могут быть в	1	1
80	точно так же	2	1
81	в себе не	1	1
